
[00:00:00.000 --> 00:00:07.000]  各位聽眾你好 又是我們敬拜的時間了
[00:00:07.000 --> 00:00:13.000]  最近我一直在想著主在快來的訊息
[00:00:13.000 --> 00:00:17.000]  因為最近有很多人問我
[00:00:17.000 --> 00:00:24.000]  疫情這麼厲害 最近美國暴亂的事件這麼厲害
[00:00:24.000 --> 00:00:28.000]  整個世界好像在沸騰當中
[00:00:28.000 --> 00:00:33.000]  很多人失業了 有幾千萬美國人失業
[00:00:33.000 --> 00:00:40.000]  有人問我是否已經在聖經所說的大災難中間
[00:00:40.000 --> 00:00:45.000]  尤其是他們記得在啟示錄第六章說到
[00:00:45.000 --> 00:00:50.000]  那七個印的災 這個是第一批的災
[00:00:50.000 --> 00:00:53.000]  有七個的災 七個的印
[00:00:53.000 --> 00:00:58.000]  到了第四個印的時候 第六章第八節是這麼說的
[00:00:58.000 --> 00:01:04.000]  約翰說他觀看見到有一匹灰色的馬
[00:01:04.000 --> 00:01:08.000]  騎在馬上的名字叫做死
[00:01:08.000 --> 00:01:13.000]  陰虎也隨著他 有權並賜給他
[00:01:13.000 --> 00:01:19.000]  可以用刀劍 機方 瘟疫 野獸來殺害他
[00:01:19.000 --> 00:01:22.000]  殺害地上四分之一的人
[00:01:22.000 --> 00:01:25.000]  特別提到瘟疫
[00:01:25.000 --> 00:01:27.000]  所以大家就想起了
[00:01:27.000 --> 00:01:31.000]  今天我們這個肺炎是一個瘟疫
[00:01:31.000 --> 00:01:35.000]  是一個全球的災難 不是一個地區的災難
[00:01:35.000 --> 00:01:43.000]  一個全球的災難 我們又在當中很多人死亡
[00:01:43.000 --> 00:01:47.000]  現在全世界已經死了 幾十萬人
[00:01:47.000 --> 00:01:54.000]  我們是不是在啟示錄說的大災難當中呢?
[00:01:54.000 --> 00:01:59.000]  因為啟示錄裡面記載到有七年的大災難
[00:01:59.000 --> 00:02:02.000]  如果我們在這個大災難當中
[00:02:02.000 --> 00:02:06.000]  是不是主耶穌很快就回來呢?
[00:02:06.000 --> 00:02:08.000]  這些問題都非常好
[00:02:08.000 --> 00:02:11.000]  但是我首先要告訴大家
[00:02:11.000 --> 00:02:16.000]  我不相信我們現在是在七年的大災難裡面
[00:02:16.000 --> 00:02:18.000]  原因很簡單
[00:02:18.000 --> 00:02:22.000]  因為聖經裡面所記載七年的大災難
[00:02:22.000 --> 00:02:27.000]  是先會有一個叫做敵基督出現的
[00:02:27.000 --> 00:02:29.000]  Anti-Christ
[00:02:29.000 --> 00:02:34.000]  這個敵基督不單止是敵對基督 迫害基督徒
[00:02:34.000 --> 00:02:38.000]  而且這個Anti-Christ還有一個意思
[00:02:38.000 --> 00:02:40.000]  就是他模仿主耶穌
[00:02:40.000 --> 00:02:44.000]  所以他出來也是頭部受傷
[00:02:44.000 --> 00:02:48.000]  表面好像死了 但是他三天又復活
[00:02:48.000 --> 00:02:53.000]  到時也有一位叫做假先知
[00:02:53.000 --> 00:02:56.000]  告訴世上的人聽
[00:02:56.000 --> 00:02:59.000]  這個就是你們的上帝
[00:02:59.000 --> 00:03:02.000]  但是我們今天看不到有敵基督的出現
[00:03:02.000 --> 00:03:05.000]  雖然我們有瘟疫
[00:03:05.000 --> 00:03:09.000]  我們也有啟示錄裡面所記載
[00:03:09.000 --> 00:03:13.000]  七個災難裡面有些戰爭、死亡、饑荒、地震
[00:03:13.000 --> 00:03:16.000]  我們也看到的
[00:03:16.000 --> 00:03:22.000]  但是那個不等於我們已經進入了大災難的時期
[00:03:22.000 --> 00:03:28.000]  其實主耶穌在最後的星期三
[00:03:28.000 --> 00:03:32.000]  那天他整天在聖殿裡面教訓人
[00:03:32.000 --> 00:03:35.000]  那天是他最後公開的講道
[00:03:35.000 --> 00:03:37.000]  然後到黃昏的時候
[00:03:37.000 --> 00:03:39.000]  他就從聖殿那裡出來
[00:03:39.000 --> 00:03:44.000]  然後到聖殿另一邊東邊一個山那裡
[00:03:44.000 --> 00:03:47.000]  那個山叫做鑒欖山
[00:03:47.000 --> 00:03:48.000]  今天還在那裡
[00:03:48.000 --> 00:03:51.000]  我已經去了十八、十九次了
[00:03:51.000 --> 00:03:54.000]  這個鑒欖山主耶穌在那裡
[00:03:54.000 --> 00:03:56.000]  有些門徒來問他
[00:03:56.000 --> 00:04:00.000]  你們回來之前有什麼預兆?
[00:04:00.000 --> 00:04:04.000]  主耶穌就在那裡說了
[00:04:04.000 --> 00:04:08.000]  他很出名的英文叫做Olivet Discourse
[00:04:08.000 --> 00:04:13.000]  鑒欖山的教導、鑒欖山的對話
[00:04:13.000 --> 00:04:18.000]  在那裡主耶穌說了很多的signs
[00:04:18.000 --> 00:04:20.000]  signs是一些預兆
[00:04:20.000 --> 00:04:24.000]  好像一些告示牌、一些指標
[00:04:24.000 --> 00:04:28.000]  是告訴你有些東西在前面
[00:04:28.000 --> 00:04:31.000]  主耶穌就有說到
[00:04:31.000 --> 00:04:33.000]  是有一些預兆
[00:04:33.000 --> 00:04:38.000]  這些預兆就是指向他會再回來的
[00:04:38.000 --> 00:04:42.000]  但是他就提醒那些門徒
[00:04:42.000 --> 00:04:44.000]  你看到這些事情發生
[00:04:44.000 --> 00:04:46.000]  但是末期還沒來到
[00:04:46.000 --> 00:04:47.000]  他還沒回來
[00:04:47.000 --> 00:04:53.000]  這些是他來之前很多的指標
[00:04:53.000 --> 00:04:57.000]  這個鑒欖山的對話
[00:04:57.000 --> 00:05:03.000]  就在路加福音第21章、馬太福音第24章
[00:05:03.000 --> 00:05:08.000]  和馬可福音第13章都分別有記載
[00:05:08.000 --> 00:05:13.000]  耶穌說到你們要謹慎不要受迷惑
[00:05:13.000 --> 00:05:17.000]  因為將來有些人會冒耶穌的名字
[00:05:17.000 --> 00:05:18.000]  說他就是基督
[00:05:18.000 --> 00:05:21.000]  又說時間緊了
[00:05:21.000 --> 00:05:23.000]  就是說耶穌就回來了
[00:05:23.000 --> 00:05:25.000]  他就是那個回來的耶穌
[00:05:25.000 --> 00:05:28.000]  但是耶穌說你們不要跟從他們
[00:05:28.000 --> 00:05:32.000]  你們如果聽到打仗和擾亂的聲音
[00:05:32.000 --> 00:05:35.000]  好像我們現在經常打仗也有擾亂
[00:05:35.000 --> 00:05:37.000]  他說不要怕
[00:05:37.000 --> 00:05:41.000]  因為這些事必須先有
[00:05:41.000 --> 00:05:45.000]  只是末期不能及時就到
[00:05:45.000 --> 00:05:47.000]  你看到這些事情
[00:05:47.000 --> 00:05:50.000]  不等於說你已經在災難當中
[00:05:50.000 --> 00:05:52.000]  或者主耶穌已經回來了
[00:05:52.000 --> 00:05:59.000]  因為這些大災難當中所形容的災難
[00:05:59.000 --> 00:06:03.000]  在他未進入大災難之前
[00:06:03.000 --> 00:06:06.000]  在世界上已經有出現
[00:06:06.000 --> 00:06:08.000]  因為有這些signs
[00:06:08.000 --> 00:06:11.000]  路加福音第21章第十字主耶穌繼續說
[00:06:11.000 --> 00:06:14.000]  對他們說民要攻打民
[00:06:14.000 --> 00:06:15.000]  國要攻打國
[00:06:15.000 --> 00:06:17.000]  地大大震動
[00:06:17.000 --> 00:06:19.000]  多處必有饑荒
[00:06:19.000 --> 00:06:20.000]  瘟疫
[00:06:20.000 --> 00:06:22.000]  耶穌在這裡提到瘟疫
[00:06:22.000 --> 00:06:26.000]  又有可怕的異象和大神跡
[00:06:26.000 --> 00:06:28.000]  在天上顯現
[00:06:28.000 --> 00:06:29.000]  十二節耶穌說
[00:06:29.000 --> 00:06:31.000]  但是這一切的事
[00:06:31.000 --> 00:06:34.000]  以先人會捉拿你
[00:06:34.000 --> 00:06:37.000]  逼迫你交給會堂
[00:06:37.000 --> 00:06:38.000]  交到監獄裡
[00:06:38.000 --> 00:06:44.000]  又因我的名拉你們去到君王諸侯的面前
[00:06:44.000 --> 00:06:46.000]  就是說耶穌指出
[00:06:46.000 --> 00:06:50.000]  在末世的時候會有這些指標出現
[00:06:50.000 --> 00:06:54.000]  包括假先知的出現
[00:06:54.000 --> 00:06:56.000]  假基督的出現
[00:06:56.000 --> 00:06:57.000]  打仗的風聲
[00:06:57.000 --> 00:06:59.000]  民要攻打民
[00:06:59.000 --> 00:07:00.000]  國要攻打國
[00:07:00.000 --> 00:07:02.000]  地大震動
[00:07:02.000 --> 00:07:03.000]  有饑荒
[00:07:03.000 --> 00:07:04.000]  有瘟疫
[00:07:04.000 --> 00:07:07.000]  有天上可怕的異象
[00:07:07.000 --> 00:07:11.000]  和基督徒會受到迫害
[00:07:11.000 --> 00:07:15.000]  這些都是他來之前的預兆
[00:07:15.000 --> 00:07:17.000]  然後基督出現
[00:07:17.000 --> 00:07:22.000]  這個世界進入最後的七年
[00:07:22.000 --> 00:07:24.000]  就是大災難
[00:07:24.000 --> 00:07:27.000]  在以下我想用一些時間
[00:07:27.000 --> 00:07:31.000]  很快速地帶大家去看一看
[00:07:31.000 --> 00:07:33.000]  這個末世的時間表
[00:07:33.000 --> 00:07:35.000]  和今天我們處於哪裡
[00:07:35.000 --> 00:07:38.000]  將來會發生什麼事呢
[00:07:38.000 --> 00:07:40.000]  當我們知道的時候
[00:07:40.000 --> 00:07:42.000]  我們遇到這些事情
[00:07:42.000 --> 00:07:45.000]  打仗、饑荒、瘟疫、地震
[00:07:45.000 --> 00:07:47.000]  是受迫害的
[00:07:47.000 --> 00:07:51.000]  雖然我們知道我們不在大災難當中
[00:07:51.000 --> 00:07:54.000]  但是我們知道我們已經很接近了
[00:07:54.000 --> 00:07:58.000]  就快這個教會時代結束了
[00:07:58.000 --> 00:08:01.000]  就會進入大災難
[00:08:01.000 --> 00:08:03.000]  主耶穌就快會回來
[00:08:03.000 --> 00:08:05.000]  我想我們每一個做基督徒的
[00:08:05.000 --> 00:08:07.000]  都要稍微明白一下
[00:08:07.000 --> 00:08:09.000]  這個時間表
[00:08:09.000 --> 00:08:12.000]  和這個計劃是怎麼樣
[00:08:12.000 --> 00:08:16.000]  聖經裏面是很清楚告訴我們
[00:08:16.000 --> 00:08:18.000]  一點都不模糊
[00:08:18.000 --> 00:08:20.000]  當然一會兒我們會說
[00:08:20.000 --> 00:08:21.000]  上帝有一些事情
[00:08:21.000 --> 00:08:23.000]  他沒有清楚告訴我們
[00:08:23.000 --> 00:08:25.000]  不是上帝漏了
[00:08:25.000 --> 00:08:27.000]  而是他故意有些事情
[00:08:27.000 --> 00:08:30.000]  不讓你和我知道
[00:08:30.000 --> 00:08:35.000]  好叫我們懷著警覺的心
[00:08:35.000 --> 00:08:37.000]  警醒的心
[00:08:37.000 --> 00:08:43.000]  我們要明白主在快來末世的藍圖
[00:08:43.000 --> 00:08:46.000]  我們首先要從但義理說起
[00:08:46.000 --> 00:08:53.000]  但義理是生活在主前大概六百多七百年
[00:08:53.000 --> 00:08:55.000]  他生活在那個時代
[00:08:55.000 --> 00:08:59.000]  是猶太人、以色列人、神的選民
[00:08:59.000 --> 00:09:01.000]  最黑暗的時代
[00:09:01.000 --> 00:09:04.000]  因為他們亡國
[00:09:04.000 --> 00:09:06.000]  那個時代是尼泊爾和尼沙
[00:09:06.000 --> 00:09:08.000]  即是巴比倫
[00:09:08.000 --> 00:09:10.000]  今日的伊拉克
[00:09:10.000 --> 00:09:13.000]  攻入耶路撒冷
[00:09:13.000 --> 00:09:17.000]  分開三次把他們擄掠到
[00:09:17.000 --> 00:09:22.000]  六百多七百里之外的巴比倫伊拉克的地方
[00:09:22.000 --> 00:09:24.000]  由那時候開始
[00:09:24.000 --> 00:09:28.000]  一直到1948年有兩千多年的時間
[00:09:28.000 --> 00:09:30.000]  他們是亡國的
[00:09:30.000 --> 00:09:33.000]  這段時間也是主耶穌
[00:09:33.000 --> 00:09:37.000]  在路加福音第21章第24節說到
[00:09:37.000 --> 00:09:40.000]  那個叫做外邦人的時間
[00:09:40.000 --> 00:09:42.000]  即是沒有了神的選民
[00:09:42.000 --> 00:09:46.000]  沒有了以色列、沒有了猶太國
[00:09:46.000 --> 00:09:50.000]  只是他們成為亡國奴
[00:09:50.000 --> 00:09:52.000]  分散在世界各地
[00:09:52.000 --> 00:09:54.000]  沒有自己的國家
[00:09:54.000 --> 00:09:58.000]  到今日我覺得仍然還是外邦人的時間
[00:09:58.000 --> 00:10:00.000]  是外邦人統治的
[00:10:00.000 --> 00:10:05.000]  不是以色列人來掌管這個世界
[00:10:05.000 --> 00:10:09.000]  在但爾利書第9章第24節
[00:10:09.000 --> 00:10:11.000]  但爾利看到一個異象
[00:10:11.000 --> 00:10:14.000]  天使讓他看到一個異象
[00:10:14.000 --> 00:10:18.000]  這個異象是將猶太人整個歷史
[00:10:18.000 --> 00:10:20.000]  由但爾利的時代
[00:10:20.000 --> 00:10:26.000]  一直到世界的末了說了出來
[00:10:26.000 --> 00:10:29.000]  第9章第24節
[00:10:29.000 --> 00:10:31.000]  天使和但爾利說
[00:10:31.000 --> 00:10:35.000]  為了你本國之民即猶太人
[00:10:35.000 --> 00:10:40.000]  以下這些預言我覺得主要是為猶太人
[00:10:40.000 --> 00:10:43.000]  因為他們才是本國之民
[00:10:43.000 --> 00:10:45.000]  還有你的聖城
[00:10:45.000 --> 00:10:48.000]  你的聖城即是耶路撒冷
[00:10:48.000 --> 00:10:51.000]  已經定了70.7、490
[00:10:51.000 --> 00:10:54.000]  這70.7是甚麼呢?
[00:10:54.000 --> 00:10:57.000]  這70.7是490年
[00:10:57.000 --> 00:11:01.000]  這490年第24節說
[00:11:01.000 --> 00:11:03.000]  要有六件事發生
[00:11:03.000 --> 00:11:09.000]  要止住罪過、除正罪惡、贖盡罪孽
[00:11:09.000 --> 00:11:12.000]  開頭這三件事都是和罪有關的
[00:11:12.000 --> 00:11:14.000]  罪的問題要解決
[00:11:14.000 --> 00:11:19.000]  然後引進永遠的公義
[00:11:19.000 --> 00:11:21.000]  地上有神的公義
[00:11:21.000 --> 00:11:23.000]  封住異象和預言
[00:11:23.000 --> 00:11:24.000]  不再需要了
[00:11:24.000 --> 00:11:27.000]  因為異象和預言都已經實現了
[00:11:27.000 --> 00:11:30.000]  還有併告致勝者
[00:11:30.000 --> 00:11:35.000]  有一位致勝者要被高納成為世界的王
[00:11:35.000 --> 00:11:37.000]  這六件事我自己覺得
[00:11:37.000 --> 00:11:43.000]  前面那三件事在主耶穌釘十字架已經成就了
[00:11:43.000 --> 00:11:46.000]  已經為我們解決了罪惡的問題
[00:11:46.000 --> 00:11:49.000]  但後面那三件事還未來
[00:11:49.000 --> 00:11:53.000]  即是這個預言在但爾利的時代是完全未出現的
[00:11:53.000 --> 00:11:55.000]  這才是預言
[00:11:55.000 --> 00:11:58.000]  但今天我們經過兩千年之後
[00:11:58.000 --> 00:12:01.000]  我們知道發生了甚麼
[00:12:01.000 --> 00:12:04.000]  但我們知道有甚麼未發生
[00:12:04.000 --> 00:12:10.000]  所以現在我們處於主耶穌第一次來已經成就了
[00:12:10.000 --> 00:12:14.000]  但主耶穌第二次回來我們還在等待
[00:12:14.000 --> 00:12:18.000]  第25節天使繼續和但爾利說
[00:12:18.000 --> 00:12:21.000]  你當知道當明白
[00:12:21.000 --> 00:12:25.000]  由出令重新重建耶路撒冷
[00:12:25.000 --> 00:12:28.000]  但爾利時代耶路撒冷被完全毀壞
[00:12:28.000 --> 00:12:32.000]  所羅門的聖殿也被毀壞
[00:12:32.000 --> 00:12:36.000]  但這裏說是會有命令出來
[00:12:36.000 --> 00:12:40.000]  讓他們重新建造耶路撒冷
[00:12:40.000 --> 00:12:44.000]  直到有受高君的時候
[00:12:44.000 --> 00:12:46.000]  這裏說受高君
[00:12:46.000 --> 00:12:51.000]  這裏有7.7和62.7分開兩段時間
[00:12:51.000 --> 00:12:53.000]  7.7是49年
[00:12:53.000 --> 00:12:56.000]  62.7按一按機
[00:12:56.000 --> 00:12:59.000]  你會知道是434年
