
[00:00:00.000 --> 00:00:02.000]  我都知道有些大兄姐妹出去了羅盛京
[00:00:02.000 --> 00:00:06.000]  我們不如趁這個時候認識蕭牧師更多
[00:00:06.000 --> 00:00:09.000]  蕭牧師想問一下關於你家人
[00:00:09.000 --> 00:00:14.000]  你家裡是否有兩個子女?
[00:00:14.000 --> 00:00:16.000]  (笑)
[00:00:16.000 --> 00:00:18.000]  我不知道
[00:00:18.000 --> 00:00:22.000]  可不可以介紹一下你家裡的家人?
[00:00:22.000 --> 00:00:25.000]  我來到營會好像發覺自己多了很多子女
[00:00:25.000 --> 00:00:31.000]  我有兩個子女,一個兒子23歲,一個女兒20歲
[00:00:31.000 --> 00:00:35.000]  兒子應該是今年畢業了
[00:00:35.000 --> 00:00:40.000]  女兒是讀第二年,兩個都在大學裡
[00:00:40.000 --> 00:00:42.000]  兩個都在香港讀書?
[00:00:42.000 --> 00:00:45.000]  兒子在加拿大,女兒在香港
[00:00:45.000 --> 00:00:47.000]  OK
[00:00:47.000 --> 00:00:49.000]  (笑)
[00:00:49.000 --> 00:00:56.000]  趁這個機會你問
[00:00:56.000 --> 00:00:58.000]  師母做什麼?
[00:00:58.000 --> 00:01:02.000]  我太太蕭師母在家裡教鋼琴
[00:01:02.000 --> 00:01:04.000]  她是讀音樂的
[00:01:04.000 --> 00:01:07.000]  我兒子也是讀音樂的
[00:01:07.000 --> 00:01:11.000]  他是讀音樂的piano performance
[00:01:11.000 --> 00:01:14.000]  所以我家裡有很多音樂
[00:01:14.000 --> 00:01:17.000]  很多音樂聲音,各種樂器
[00:01:17.000 --> 00:01:23.000]  你可能猜不到我家裡有四部鋼琴
[00:01:23.000 --> 00:01:26.000]  (笑)
[00:01:26.000 --> 00:01:31.000]  蕭牧師你有沒有學音樂?
[00:01:31.000 --> 00:01:35.000]  我小時候玩violin
[00:01:35.000 --> 00:01:37.000]  現在violin已經封了一層
[00:01:37.000 --> 00:01:39.000]  所以不敢告訴你
[00:01:39.000 --> 00:01:41.000]  我會偶爾彈琴
[00:01:41.000 --> 00:01:45.000]  我中學時候靜悄悄去教會
[00:01:45.000 --> 00:01:47.000]  別人都不知道的時候
[00:01:47.000 --> 00:01:50.000]  我就偷偷地用琴彈聖詩
[00:01:50.000 --> 00:01:53.000]  自己彈著彈著就被我彈熄了聖詩
[00:01:53.000 --> 00:01:55.000]  我可以彈聖詩
[00:01:55.000 --> 00:01:57.000]  不過我沒有學過琴
[00:01:57.000 --> 00:02:01.000]  多謝蕭牧師你分享
[00:02:01.000 --> 00:02:03.000]  我現在是在香港讀書
[00:02:03.000 --> 00:02:05.000]  我現在是在香港讀書
[00:02:05.000 --> 00:02:09.000]  多謝蕭牧師你分享
[00:02:09.000 --> 00:02:18.000]  我想我們都將時間交給牧師
[00:02:18.000 --> 00:02:19.000]  好
[00:02:19.000 --> 00:02:25.000]  我很樂意說一下我家裡的事情
[00:02:25.000 --> 00:02:30.000]  我很歡喜神給我一個很蒙恩的家庭
[00:02:30.000 --> 00:02:32.000]  當中有很多快樂和開心的事情
[00:02:32.000 --> 00:02:34.000]  我一個人認識我多一點
[00:02:34.000 --> 00:02:38.000]  有時候容顏比較嚴肅
[00:02:38.000 --> 00:02:42.000]  但我太太是很樂天快樂的人
[00:02:42.000 --> 00:02:47.000]  所以她常常有很多搞笑的東西出現
