
[00:00:00.000 --> 00:00:08.000]  各位電視節目的朋友們,今天很開心見到至少有五位新朋友
[00:00:08.000 --> 00:00:12.000]  坐在這邊,待會再介紹
[00:00:12.000 --> 00:00:15.000]  其中一個應該是全場最高的了
[00:00:15.000 --> 00:00:17.000]  先歡迎你們
[00:00:17.000 --> 00:00:21.000]  好,我先試試能不能動這個PowerPoint
[00:00:21.000 --> 00:00:23.000]  今天分享的題目是
[00:00:23.000 --> 00:00:29.000]  禱告出來的能力
[00:00:29.000 --> 00:00:31.000]  究竟大家怎樣看祈禱呢?
[00:00:31.000 --> 00:00:34.000]  怎樣理解祈禱呢?
[00:00:34.000 --> 00:00:37.000]  怎樣祈禱呢?
[00:00:37.000 --> 00:00:39.000]  這個非常重要
[00:00:39.000 --> 00:00:42.000]  有些年青人,也不一定是年青人
[00:00:42.000 --> 00:00:45.960]  他說:女傳道我也有時期禱的
[00:00:45.960 --> 00:00:47.760]  不過記得就祈啦
[00:00:47.760 --> 00:00:51.820]  或者你都叫我們晚上臨睡可以祈禱啦
[00:00:51.820 --> 00:00:53.320]  不過就期期下呢
[00:00:53.320 --> 00:00:55.500]  什麼時候才說阿們呢?
[00:00:55.500 --> 00:00:57.780]  哎呀 你們好像很熟練似的
[00:00:57.780 --> 00:00:59.300]  第二天早上才說阿們
[00:00:59.300 --> 00:01:00.560]  就期期下呢
[00:01:00.560 --> 00:01:02.520]  你自己也睡了
[00:01:02.520 --> 00:01:04.420]  那究竟祈禱 有些人就說
[00:01:04.420 --> 00:01:06.400]  廣東話叫念口往
[00:01:06.400 --> 00:01:09.320]  有時候就不斷地說 說完
[00:01:09.320 --> 00:01:11.620]  究竟可能你馬上問他說什麼呢?
[00:01:11.620 --> 00:01:13.280]  他可能都未必知道
[00:01:13.280 --> 00:01:15.580]  究竟我們怎麼祈禱呢?
[00:01:15.580 --> 00:01:17.500]  上一次我們就提到
[00:01:17.500 --> 00:01:18.680]  好像電影一樣
[00:01:18.680 --> 00:01:20.380]  有一個預告
[00:01:20.380 --> 00:01:22.060]  有個叫Trailer
[00:01:22.060 --> 00:01:23.120]  預告什麼呢?
[00:01:23.120 --> 00:01:27.500]  就是說到耶穌和一幫門徒
[00:01:27.500 --> 00:01:30.500]  去登山變象
[00:01:30.500 --> 00:01:32.780]  預告是什麼呢?
[00:01:32.780 --> 00:01:34.240]  就說到耶穌說
[00:01:34.240 --> 00:01:35.220]  在聖經裡面說
[00:01:35.220 --> 00:01:36.120]  過了六天
[00:01:36.120 --> 00:01:39.920]  耶穌就帶著彼得、雅各、約翰、阿們
[00:01:39.920 --> 00:01:41.440]  就上了高山
[00:01:41.440 --> 00:01:45.340]  在他們面前變了形象
[00:01:45.340 --> 00:01:46.620]  變成什麼樣呢?
[00:01:46.620 --> 00:01:48.880]  是衣服發光
[00:01:48.880 --> 00:01:50.920]  是白到在這個世界上
[00:01:50.920 --> 00:01:55.240]  沒有一個布是見過這麼白的
[00:01:55.240 --> 00:01:59.620]  忽然有兩位舊約的人物出現
[00:01:59.620 --> 00:02:02.740]  以利亞和摩西向他們顯現
[00:02:02.740 --> 00:02:06.080]  還要和耶穌一起說話
[00:02:06.080 --> 00:02:08.320]  有一個雲彩遮蓋了他們
[00:02:08.320 --> 00:02:11.420]  有聲音從雲彩出來說
[00:02:11.420 --> 00:02:13.340]  這是我的愛子
[00:02:13.340 --> 00:02:15.500]  你們要聽他
[00:02:15.500 --> 00:02:19.160]  那一刻其實是對門徒十分之震撼
[00:02:19.160 --> 00:02:21.080]  那一刻為什麼會說是預告
[00:02:21.080 --> 00:02:23.940]  因為原來讓我們知道有一天
[00:02:23.940 --> 00:02:26.780]  我們會用另一個形體
[00:02:26.780 --> 00:02:28.240]  原來是可以再見
[00:02:28.240 --> 00:02:30.280]  原來我們可以認到大家
[00:02:30.280 --> 00:02:35.060]  原來是真的有永恆的生命
[00:02:35.060 --> 00:02:37.060]  當說完那句話的時候
[00:02:37.060 --> 00:02:38.800]  門徒忽然周圍一看
[00:02:38.800 --> 00:02:41.000]  沒有再見到以利亞和摩西
[00:02:41.000 --> 00:02:43.360]  只是耶穌和他們一起
[00:02:43.360 --> 00:02:45.400]  這個這麼震撼的經歷
[00:02:45.400 --> 00:02:46.840]  接著發生什麼事呢?
[00:02:46.840 --> 00:02:48.480]  今天一會兒會和大家說
[00:02:48.480 --> 00:02:53.240]  其實是另一件對門徒來說是極尷尬的經歷
[00:02:53.240 --> 00:02:54.400]  當下山的時候
[00:02:54.400 --> 00:02:55.760]  耶穌和他們說
[00:02:55.760 --> 00:02:58.800]  當人子還沒有從死裡復活
[00:02:58.800 --> 00:03:03.120]  你們不要將所看見的告訴別人
[00:03:03.120 --> 00:03:04.440]  一路下山的時候
[00:03:04.440 --> 00:03:06.160]  耶穌繼續和門徒聊天
[00:03:06.160 --> 00:03:07.880]  說了其中一句話
[00:03:07.880 --> 00:03:09.120]  但是說完之後
[00:03:09.120 --> 00:03:12.800]  聖經說門徒將這句話傳在心裡
[00:03:12.800 --> 00:03:16.040]  彼此議論從死裡復活
[00:03:16.040 --> 00:03:18.880]  其實是什麼意思
[00:03:18.880 --> 00:03:19.640]  他們在聊
[00:03:19.640 --> 00:03:23.160]  究竟什麼叫從死裡復活呢?
[00:03:23.160 --> 00:03:25.040]  我們現在就很明白
[00:03:25.040 --> 00:03:29.280]  但我們要想當時耶穌是沒有從死裡復活的
[00:03:29.280 --> 00:03:33.240]  所以門徒根本就不知道發生什麼事
[00:03:33.240 --> 00:03:36.280]  什麼尷尬的經歷發生呢?
[00:03:36.280 --> 00:03:38.120]  當下了山之後
[00:03:38.120 --> 00:03:40.280]  山上就很震撼
[00:03:40.280 --> 00:03:41.840]  登山變象
[00:03:41.840 --> 00:03:45.000]  山下發生什麼事呢?
[00:03:45.000 --> 00:03:46.840]  《馬科蘭九章》14節
[00:03:46.840 --> 00:03:48.480]  他們到了門徒那裡
[00:03:48.480 --> 00:03:52.360]  這裡為什麼聖經說他們呢?
[00:03:52.360 --> 00:03:55.400]  原來就是在說耶穌和那幾個門徒
[00:03:55.400 --> 00:03:56.760]  下山的時候
[00:03:56.760 --> 00:03:58.680]  就看到以下景象
[00:03:58.680 --> 00:04:01.800]  看見有一大群人圍著那些門徒
[00:04:01.800 --> 00:04:03.280]  就是山下的那些
[00:04:03.280 --> 00:04:07.480]  又有文士和他們辯論
[00:04:07.480 --> 00:04:09.560]  辯論什麼呢?
[00:04:09.560 --> 00:04:10.840]  當辯論的時候
[00:04:10.840 --> 00:04:12.160]  眾人一見到耶穌
[00:04:12.160 --> 00:04:13.440]  哇 就很出奇了
[00:04:13.440 --> 00:04:16.760]  然後就跑上去和他們問安
[00:04:16.760 --> 00:04:18.720]  接著耶穌就問他們
[00:04:18.720 --> 00:04:21.680]  你們和他們在辯論什麼
[00:04:21.680 --> 00:04:24.840]  在辯論什麼
[00:04:24.840 --> 00:04:27.800]  其中有一個人就回答說
[00:04:27.800 --> 00:04:32.480]  老師 我帶了我的兒子去你們那裡
[00:04:32.480 --> 00:04:37.280]  然後他就被阿爸的靈附著
[00:04:37.280 --> 00:04:39.360]  原來他是被鬼附著
[00:04:39.360 --> 00:04:42.200]  就是有個人的兒子是被鬼附著的
[00:04:42.200 --> 00:04:45.640]  然後就帶了去那群門徒那裡
[00:04:45.640 --> 00:04:47.200]  他說無論在哪裡
[00:04:47.200 --> 00:04:50.160]  那個靈 邪靈都好像抓住他
[00:04:50.160 --> 00:04:52.440]  又把他搞到躺在地上
[00:04:52.440 --> 00:04:54.760]  然後又吐了白泡
[00:04:54.760 --> 00:04:57.600]  牙關又緊鎖
[00:04:57.600 --> 00:04:58.920]  就是咬牙切齒
[00:04:58.920 --> 00:05:01.520]  然後身體都硬了
[00:05:01.520 --> 00:05:03.640]  他說我請過你的門徒
[00:05:03.640 --> 00:05:05.080]  將這個靈趕出去
[00:05:05.080 --> 00:05:08.000]  就是想門徒去幫忙趕鬼
[00:05:08.000 --> 00:05:09.800]  但是他們不行
[00:05:09.800 --> 00:05:13.760]  原來這個尷尬經歷的小小背景就是說
[00:05:13.760 --> 00:05:16.000]  這個爸爸就帶著兒子
[00:05:16.000 --> 00:05:18.200]  然後就被鬼附著
[00:05:18.200 --> 00:05:19.800]  就想找門徒
[00:05:19.800 --> 00:05:21.080]  可能他想找耶穌
[00:05:21.080 --> 00:05:23.120]  但是耶穌上了山上面
[00:05:23.120 --> 00:05:24.760]  然後就只有門徒在那裡
[00:05:24.760 --> 00:05:27.520]  那門徒其實都見過耶穌
[00:05:27.520 --> 00:05:29.800]  很多次醫病趕鬼
[00:05:29.800 --> 00:05:32.520]  他見過耶穌怎麼做的
[00:05:32.520 --> 00:05:34.920]  但是門徒做不到
[00:05:34.920 --> 00:05:36.480]  趕不到鬼
[00:05:36.480 --> 00:05:38.280]  耶穌就回答了剛才
[00:05:38.280 --> 00:05:41.720]  Lancy幫我們讀經其中一些的說話
[00:05:41.720 --> 00:05:43.120]  耶穌就說
[00:05:43.120 --> 00:05:47.600]  你們這個不信的世代
