
[00:00:00.000 --> 00:00:06.000]  今天很想和大家先分享一個真人真事
[00:00:06.000 --> 00:00:10.160]  一個我覺得都很美麗的愛情故事
[00:00:10.160 --> 00:00:15.200]  話說男主角都是生於加拿大
[00:00:15.200 --> 00:00:16.360]  曾經生活過
[00:00:16.360 --> 00:00:18.000]  不是生於加拿大
[00:00:18.000 --> 00:00:23.120]  他自己是波士頓大學的音樂教授
[00:00:23.120 --> 00:00:27.400]  他爸爸是愛丁堡和倫敦大學的音樂教授
[00:00:27.400 --> 00:00:29.680]  有一個主人 就是我們今天這樣
[00:00:29.680 --> 00:00:31.720]  他去教會崇拜
[00:00:31.720 --> 00:00:34.920]  遠遠見到一個美麗的女孩子
[00:00:34.920 --> 00:00:38.080]  現在在PowerPoint見到這個美麗的女孩子
[00:00:38.080 --> 00:00:42.280]  然後上前想和她聊天打招呼
[00:00:42.280 --> 00:00:46.600]  誰知這個女孩子不理她 不理她
[00:00:46.600 --> 00:00:48.560]  她有點不開心
[00:00:48.560 --> 00:00:50.680]  結果後來他發覺
[00:00:50.680 --> 00:00:53.360]  他知道原來這個女孩子是失聰的
[00:00:53.360 --> 00:00:54.880]  聽不到話的
[00:00:54.880 --> 00:00:57.680]  因為愛情的魔力和偉大
[00:00:57.680 --> 00:01:00.960]  他決定用兩年時間甚麼都不做
[00:01:00.960 --> 00:01:02.480]  只研究一件事
[00:01:02.480 --> 00:01:06.240]  就是希望可以令這個女孩子再聽話
[00:01:06.240 --> 00:01:10.000]  結果他真的再去將他自己的專業
[00:01:10.000 --> 00:01:11.040]  因為音樂嘛
[00:01:11.040 --> 00:01:12.520]  再加上聲樂
[00:01:12.520 --> 00:01:14.160]  再運用機器
[00:01:14.160 --> 00:01:16.040]  再運用一些聲波
[00:01:16.040 --> 00:01:17.560]  我都不知道是甚麼來的
[00:01:17.560 --> 00:01:19.400]  結果兩年後
[00:01:19.400 --> 00:01:21.720]  他真的發明了一件事
[00:01:21.720 --> 00:01:23.800]  就是發明了電話
[00:01:23.800 --> 00:01:25.520]  當發明了電話之後
[00:01:25.520 --> 00:01:27.480]  接著他還未聽到話
[00:01:27.480 --> 00:01:28.920]  接著半年後
[00:01:28.920 --> 00:01:32.560]  他真的發明了坐聽器
[00:01:32.560 --> 00:01:34.960]  結果他將第一個製成品
[00:01:34.960 --> 00:01:38.720]  放在這個美麗的女孩子的耳朵上
[00:01:38.720 --> 00:01:41.920]  嘩!真的聽話了
