
[00:00:00.000 --> 00:00:04.760]  我們感謝主恩典
[00:00:04.760 --> 00:00:07.680]  能夠回到教會裡來敬拜
[00:00:07.680 --> 00:00:11.080]  實在充滿著歡欣 充滿著喜樂
[00:00:11.080 --> 00:00:15.680]  主讓我們有平安 讓我們有忠人
[00:00:15.680 --> 00:00:17.920]  大家在主裡面都有健康
[00:00:17.920 --> 00:00:19.320]  我們感謝主
[00:00:19.320 --> 00:00:22.520]  我們今天思想這個題目
[00:00:22.520 --> 00:00:25.880]  怎樣在彼得前書裡來看
[00:00:25.880 --> 00:00:29.360]  有關建立一個健康教會
[00:00:29.360 --> 00:00:32.440]  我們大家都希望身體健康
[00:00:32.440 --> 00:00:37.040]  同樣教會都需要有一個健康的發展
[00:00:37.040 --> 00:00:41.680]  我們感謝主讓我們今天連續有五次的時間
[00:00:41.680 --> 00:00:46.240]  和大家一起每一章每一堂講一章彼得前書
[00:00:46.240 --> 00:00:50.520]  所以我鼓勵你有機會回去將彼得前書看一兩次
[00:00:50.520 --> 00:00:55.920]  讓我們能夠在整個話語裡面有一個很好的吸收
[00:00:55.920 --> 00:00:59.640]  彼得前書 如果你讀聖經的時候
[00:00:59.640 --> 00:01:03.360]  我們需要將它打開來看它的全貌
[00:01:03.360 --> 00:01:07.120]  整本書究竟它的思路是怎樣
[00:01:07.120 --> 00:01:08.280]  它的發展是怎樣
[00:01:08.280 --> 00:01:13.000]  彼得在神面前所領受的是什麼信息呢
[00:01:13.000 --> 00:01:18.480]  所以我們有時候用一個這樣的圖表來表示
[00:01:18.480 --> 00:01:21.120]  一個圖表有一個好處
[00:01:21.120 --> 00:01:26.240]  就是幫助我們去認識到
[00:01:26.240 --> 00:01:30.760]  究竟整本書當我們一開展出來的時候
[00:01:30.760 --> 00:01:33.640]  它這麼複雜的五章聖經
[00:01:33.640 --> 00:01:38.320]  怎樣能夠將它的思路抽絲剝繭地表達呢
[00:01:38.320 --> 00:01:41.200]  所以我們讀聖經有時候需要這樣的
[00:01:41.200 --> 00:01:44.760]  整本書一打開可以分成兩部分
[00:01:44.760 --> 00:01:48.840]  前面那部分就講到一個很結實的
[00:01:48.840 --> 00:01:50.560]  很紮實的一個生命
[00:01:50.560 --> 00:01:55.680]  神怎樣賜給我們一個永不衰殘的生命
[00:01:55.680 --> 00:02:00.040]  所以在第一章第一節一直到十二節就講到這方面
[00:02:00.040 --> 00:02:02.800]  接著我們有了這個生命之後
[00:02:02.800 --> 00:02:06.560]  怎樣去活出一個很充實的生活
[00:02:06.560 --> 00:02:11.200]  這個生活就因為我們有了這個生命所帶給我們的
[00:02:11.200 --> 00:02:17.120]  你知道最近在多倫多有很多黑色的蟲
[00:02:17.120 --> 00:02:21.440]  叫做吉卜賽的蟲
[00:02:21.440 --> 00:02:25.560]  到處跑的 在牆上 在樹上
[00:02:25.560 --> 00:02:31.200]  有一天牠就會搖身一變 吐絲
[00:02:31.200 --> 00:02:36.240]  然後結成一個繭 裡面有一個堆邊
[00:02:36.240 --> 00:02:39.000]  然後經過一段時間之後
[00:02:39.000 --> 00:02:40.800]  就咬一個洞出來
[00:02:40.800 --> 00:02:46.080]  然後就會形成一隻飛蛾或者一隻蝴蝶
[00:02:46.080 --> 00:02:48.360]  這個是一個生命的改變
[00:02:48.360 --> 00:02:50.080]  當牠還是蟲的時候
[00:02:50.080 --> 00:02:53.360]  就在樹上爬行 在地上爬行
[00:02:53.360 --> 00:02:55.400]  但一天牠改變之後
[00:02:55.400 --> 00:02:57.120]  牠不再爬行了
[00:02:57.120 --> 00:02:59.800]  因為牠有翅膀 有翅膀翅膀
[00:02:59.800 --> 00:03:02.480]  可以飛翔在花間
[00:03:02.480 --> 00:03:03.960]  我們一樣的
[00:03:03.960 --> 00:03:07.400]  每個基督徒生命都是有一個改變的
[00:03:07.400 --> 00:03:11.080]  我們領受這個生命不再在地上
[00:03:11.080 --> 00:03:14.560]  只是在顧念地上的熟悉的事情
[00:03:14.560 --> 00:03:19.960]  只是為了賺錢 為了要照顧家庭
[00:03:19.960 --> 00:03:22.400]  雖然這一切都是重要的 都是好的
[00:03:22.400 --> 00:03:26.000]  但是神給我們的有一個更崇高的
[00:03:26.000 --> 00:03:28.880]  一個屬天的生命
[00:03:28.880 --> 00:03:31.840]  叫我們領受這麼紮實的
[00:03:31.840 --> 00:03:34.480]  永不衰殘的生命之後
[00:03:34.480 --> 00:03:38.280]  我們來過一個踏踏實實的
[00:03:38.280 --> 00:03:43.200]  很紮實的 很充實的一個人生
[00:03:43.200 --> 00:03:46.480]  所以今天我們來思想這個題目的時候
[00:03:46.480 --> 00:03:51.840]  我們怎樣來首先領受一個很紮實的生命
[00:03:51.840 --> 00:03:54.400]  然後在我們個人方面
[00:03:54.400 --> 00:03:56.600]  從我們個人開始
[00:03:56.600 --> 00:04:00.480]  來怎樣建立一個健康的
[00:04:00.480 --> 00:04:02.160]  一個紮實的一個人生
[00:04:02.160 --> 00:04:04.800]  然後推廣到家庭 工作
[00:04:04.800 --> 00:04:08.760]  社會 國家 教會等等方面
[00:04:08.760 --> 00:04:10.600]  從我們個人開始
[00:04:10.600 --> 00:04:14.160]  就好像我們論語之道
[00:04:14.160 --> 00:04:15.520]  大學之道
[00:04:15.520 --> 00:04:17.000]  從我們的修身
[00:04:17.000 --> 00:04:20.160]  然後齊家 治國 平天下
[00:04:20.160 --> 00:04:22.960]  一直都是從個人建立起來
[00:04:22.960 --> 00:04:27.600]  一直推廣到整個社會和天下
[00:04:27.600 --> 00:04:29.800]  所以我們教會一樣如是
[00:04:29.800 --> 00:04:33.160]  當我們說教會要健康的發展
[00:04:33.160 --> 00:04:35.280]  我們需要每一個個體
[00:04:35.280 --> 00:04:39.040]  每一個弟兄姊妹都要有健康的發展
[00:04:39.040 --> 00:04:41.560]  這個革命先驅孫中山
[00:04:41.560 --> 00:04:44.040]  他就是看見這方面
[00:04:44.040 --> 00:04:46.840]  他知道中國要強大起來
[00:04:46.840 --> 00:04:50.920]  就每個信徒 每個人都要能夠健康強大
[00:04:50.920 --> 00:04:52.920]  因為當時晚清的時候
[00:04:52.920 --> 00:04:58.480]  英國已經用鴉片來荼毒我們的年輕人
[00:04:58.480 --> 00:05:01.880]  所以年輕人被稱為東亞病夫
[00:05:01.880 --> 00:05:03.600]  這樣的情況下
[00:05:03.600 --> 00:05:06.160]  你要怎樣將國家富強起來
[00:05:06.160 --> 00:05:10.800]  你要讓每一個人 每一個成員都能夠健康
[00:05:10.800 --> 00:05:12.800]  能夠強身健體
[00:05:12.800 --> 00:05:14.040]  所以教會一樣
[00:05:14.040 --> 00:05:15.960]  教會不再是說
[00:05:15.960 --> 00:05:17.560]  每一個人都很疲弱
[00:05:17.560 --> 00:05:18.960]  經常在一個罪裡面
[00:05:18.960 --> 00:05:20.040]  不能夠得勝
[00:05:20.040 --> 00:05:22.160]  不能夠過一個活潑的
[00:05:22.160 --> 00:05:24.560]  有見證的生活
[00:05:24.560 --> 00:05:27.720]  所以我們首先開始來看
