
[00:00:00.000 --> 00:00:05.200]  路德記第二章
[00:00:05.200 --> 00:00:09.200]  記不記得上一次我們說了路德記第一章
[00:00:09.200 --> 00:00:11.700]  我發覺原來路德記
[00:00:11.700 --> 00:00:13.200]  這次再看回路德記
[00:00:13.200 --> 00:00:15.700]  看到裡面每一章經文
[00:00:15.700 --> 00:00:18.700]  都有一個很寶貴很寶貴的信息在裏面
[00:00:18.700 --> 00:00:21.200]  第一章我們上次說
[00:00:21.200 --> 00:00:24.700]  就是要回到能夠被神祝福的領域
[00:00:24.700 --> 00:00:26.700]  很多時候我們不知不覺
[00:00:26.700 --> 00:00:29.200]  已經離棄了神離開了他
[00:00:29.200 --> 00:00:32.200]  去到一個不能被祝福的地方
[00:00:32.200 --> 00:00:36.200]  我們應該好像拿訛米和路德一樣
[00:00:36.200 --> 00:00:38.200]  他們回到伯利恆
[00:00:38.200 --> 00:00:39.200]  我們也是一樣
[00:00:39.200 --> 00:00:41.200]  我們如果離開了
[00:00:41.200 --> 00:00:45.200]  應該回到一個能夠被神祝福的地方
[00:00:45.200 --> 00:00:49.200]  今天第二章又有一個主題
[00:00:49.200 --> 00:00:50.200]  是什麼呢
[00:00:50.200 --> 00:00:53.200]  如果我們要改變我們的環境
[00:00:53.200 --> 00:00:57.200]  我們需要先改變我們的內心
[00:00:57.200 --> 00:01:01.200]  神在改變我們環境之前
[00:01:01.200 --> 00:01:05.200]  祂是要我們首先改變我們的內心
[00:01:05.200 --> 00:01:09.200]  這個是做父母的我們都很清楚
[00:01:09.200 --> 00:01:14.200]  如果我們不斷地改變我們子女的生活環境
[00:01:14.200 --> 00:01:17.200]  使他們的環境越來越好
[00:01:17.200 --> 00:01:21.200]  但我們不要要他們改變他們的內心的話
[00:01:21.200 --> 00:01:25.200]  我們絕對是會縱壞我們的子女
[00:01:25.200 --> 00:01:28.200]  所以在我們子女身上我們都能夠看得到
[00:01:28.200 --> 00:01:32.200]  何況在我們自己的身上都是一樣
