
[00:00:00.000 --> 00:00:09.000]  今天是第三個講座,第一個講座就是面陽和山陽的秘語
[00:00:09.000 --> 00:00:22.000]  第二個講座就是敬畏上帝,今天是第三個講座,上次我們討論的時候有丁姐妹提出可不可以講一講約伯記
[00:00:22.000 --> 00:00:32.000]  我今天只是講頭一張和二張的十節,因為約伯記比較上是很複雜很深奧的一個書卷
[00:00:32.000 --> 00:00:42.000]  我首先會做一個介紹約伯記的結構,然後我就會去解這段經文
[00:00:42.000 --> 00:01:00.000]  或者我解經之前或者講這個結構之前我想和大家看一段的推論,因為現在很多哲學家或者很多不相信上帝的人都會用一些哲學的推論去證明上帝的缺乏或者是不存在
[00:01:00.000 --> 00:01:13.000]  我在溫米耀的書《上帝與人間的苦難》那本書裡面就拿了一個最好的例子出來,因為無論現在的哲學家或者反對上帝的人
[00:01:13.000 --> 00:01:31.000]  他們的推論認為上帝是存在或者不存在都是基於幾個的推論,第一個今天我和大家介紹的就是邱莫是一個十九世紀的蘇格蘭的哲學家
[00:01:31.000 --> 00:01:48.000]  他用人的智慧去說上帝是一個怎樣的上帝,在他的心目中,他就說如果上帝是至善的,他一定是不會容忍世上有苦難和罪惡
[00:01:48.000 --> 00:02:04.000]  如果上帝是全能的,他一定有能力去阻止罪案和苦難的發生,但是這個世界是充滿苦難和罪惡,所以他的推論就是說如果上帝是至善的,他一定不是全能的
[00:02:04.000 --> 00:02:19.000]  因為如果他全能的話,他一定制止罪惡,他一定不全能,因為我們看到這麼多的苦難和罪惡,第二個推論就是說如果上帝是全能的,他又不去阻止苦難和罪惡發生,他一定不是至善的
[00:02:19.000 --> 00:02:40.000]  所以他就說上帝不可能同時間全能和至善,一個不可以全能也不是至善的上帝,對一些人來說,根本上就不是上帝,所以這些就是現在很多哲學家,很多人喜歡爭論有神沒有神的人
[00:02:40.000 --> 00:02:55.000]  這些就是用哲學的推論,那我為什麼要給大家介紹這個人的智慧想的東西呢?因為我們看到,原來聖經裡面的智慧是超過人所想的
[00:02:55.000 --> 00:03:16.000]  約伯其實是一個很有智慧認識神的、夠弱的人物,如果我們說阿伯拉罕是信心之父,約瑟是敬畏上帝有上帝同在的人,我們會看到其實約伯不單只是正如聖經說的一個完全的異人
[00:03:16.000 --> 00:03:29.000]  他也是一個很偉大的神學家,因為我們看到約伯解釋他對神的認知的時候,其實這個認知是超過我們人的智慧可以明白的
[00:03:29.000 --> 00:03:36.000]  只是神藉著他可以和他的交往讓我們知道神本身的屬性是怎樣的
[00:03:36.000 --> 00:03:46.000]  所以今天我會開始的時候,我會做一個背景的介紹,講一講約伯記的結構,和澄清幾樣有關神學的觀點
[00:03:46.000 --> 00:03:59.000]  接著我就會用結尾約伯和神對話之後悔改的那段說話去做一個結論,然後就做一個約伯記我們今天解經的結論
[00:03:59.000 --> 00:04:14.000]  如果有時間的時候,我都會解釋魔鬼在約伯記提出的那些對神的挑戰,其實有一些很嚴肅的問題,我就會去解釋,和在講到罪惡的根源
[00:04:14.000 --> 00:04:24.000]  因為在約伯記我們可以說是苦難,但是罪惡的部分,約伯記這裡不是很提出,不是講罪惡的根源
[00:04:24.000 --> 00:04:34.000]  我會有時間用聖經的說話去解釋罪惡的根源在哪裏,我們上帝的問題就是說,如果上帝是全能聖潔公義的,是慈愛的
[00:04:34.000 --> 00:04:54.000]  為甚麼我們現在有苦難,有天災有人禍,兩次大戰死了這麼多人,當時上帝在哪裏呢,為甚麼有人先天殘缺,會有這麼多的痛楚,一輩子有這麼多的痛楚呢
[00:04:54.000 --> 00:05:11.000]  為甚麼有些惡人好像很得逝,很順利,但是有些異人要受害呢,甚至我們會問,為甚麼上帝要做魔鬼呢,如果上帝不做魔鬼,他不忍受當下娃犯錯,我們就不用搞這麼大的事情
[00:05:11.000 --> 00:05:16.000]  為甚麼上帝容許魔鬼去試探人呢,這些是很多我們要常見的問題
