
[00:00:00.000 --> 00:00:06.720]  好像讀了未曾完的感覺
[00:00:06.720 --> 00:00:10.000]  再讀另外一段
[00:00:10.000 --> 00:00:12.800]  《新命記》第五章
[00:00:12.800 --> 00:00:18.000]  長子藍第一節到第七節
[00:00:18.000 --> 00:00:24.320]  創出利民生 摩世五經第五卷
[00:00:24.320 --> 00:00:30.720]  《新命記》第五章第一節到第七節
[00:00:30.720 --> 00:00:35.520]  大家都找到了 我們一起慢慢讀
[00:00:35.520 --> 00:00:39.680]  摩世將以色列眾人調了來
[00:00:39.680 --> 00:00:43.280]  對他們說:以色列人啊
[00:00:43.280 --> 00:00:47.680]  我今日曉遇你們的律例演章
[00:00:47.680 --> 00:00:51.040]  你們要聽可以學習
[00:00:51.040 --> 00:00:58.080]  謹守進行 耶和華我們的神在河列山與我們立約
[00:00:58.080 --> 00:01:02.000]  這約不是與我們列祖立的
[00:01:02.000 --> 00:01:08.000]  乃是與我們今日在這裡存活的人立的
[00:01:08.000 --> 00:01:14.880]  耶和華在山上從火中面對面與你們說話
[00:01:14.880 --> 00:01:19.040]  那時我站在耶和華和你們中間
[00:01:19.040 --> 00:01:22.880]  要將耶和華的話傳給你們
[00:01:22.880 --> 00:01:28.240]  因為你們懼怕那火沒有上山
[00:01:28.240 --> 00:01:32.160]  說:我是耶和華你的神
[00:01:32.160 --> 00:01:37.760]  曾將你從埃及地遺奴之家領出來
[00:01:37.760 --> 00:01:44.000]  除了我以外 你不可有別的神
[00:01:44.000 --> 00:01:51.680]  誓死與你們同在 祈求你們的聖體與你們的聖體
[00:01:51.680 --> 00:01:57.840]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:01:57.840 --> 00:02:03.840]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:02:03.840 --> 00:02:09.280]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:02:09.280 --> 00:02:14.400]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:02:14.400 --> 00:02:19.520]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:02:19.520 --> 00:02:24.640]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:02:24.640 --> 00:02:29.760]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:02:29.760 --> 00:02:34.880]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:02:34.880 --> 00:02:41.280]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:02:41.280 --> 00:02:47.680]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:02:47.680 --> 00:02:54.080]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:02:54.080 --> 00:03:00.480]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:03:00.480 --> 00:03:06.880]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:03:06.880 --> 00:03:13.280]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:03:13.280 --> 00:03:19.680]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:03:19.680 --> 00:03:26.080]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:03:26.080 --> 00:03:32.480]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:03:32.480 --> 00:03:38.880]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:03:38.880 --> 00:03:45.280]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:03:45.280 --> 00:03:51.680]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:03:51.680 --> 00:03:58.080]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:03:58.080 --> 00:04:04.480]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:04:04.480 --> 00:04:10.880]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:04:10.880 --> 00:04:17.280]  我們在這裡祈求你們 祈求你們的聖體與你們的聖體
[00:04:17.280 --> 00:04:24.640]  其實我們的生命都有很多規則的
[00:04:24.640 --> 00:04:28.240]  你試一下一直不睡覺 是吧?
[00:04:28.240 --> 00:04:31.280]  一直熬夜、熬夜、熬夜、熬夜
[00:04:31.280 --> 00:04:35.040]  很自然你的身體告訴你不行了
[00:04:35.040 --> 00:04:40.480]  開始我們中國人說「熱氣」 是吧?「躁」
[00:04:40.480 --> 00:04:45.280]  開始生「卑脂」 是吧?你的身體有反應的
[00:04:45.280 --> 00:04:53.600]  其實規矩也很視乎是誰告訴你的 是吧?
[00:04:53.600 --> 00:04:59.440]  太太說的那句話 還有朋友說的那句話
[00:04:59.440 --> 00:05:02.640]  都是那句話而已 你聽誰的?
[00:05:02.640 --> 00:05:07.520]  有些人聽太太 有些人就專門聽太太 是吧?
[00:05:07.520 --> 00:05:10.080]  誰告訴你的 那個是好的
[00:05:10.080 --> 00:05:16.160]  因為那個背後其實是有一個關係在的
[00:05:16.160 --> 00:05:20.480]  你運動、打網球也好 你去健身也好
[00:05:20.480 --> 00:05:24.480]  你請一個教練回來 你信任他
[00:05:24.480 --> 00:05:27.920]  於是他才跟你說要幾點鐘睡覺
[00:05:27.920 --> 00:05:31.040]  幾點鐘起床 規矩來的
[00:05:31.040 --> 00:05:33.280]  別人叫你 你就沒那麼聽的
[00:05:33.280 --> 00:05:37.120]  教練叫我 我練大隻
[00:05:37.120 --> 00:05:41.360]  你就聽到足了 吃什麼 不吃什麼
[00:05:41.360 --> 00:05:47.520]  誰跟你說的 其實背後因為有個關係
