
[00:00:00.000 --> 00:00:07.040]  我們一起來看舊約的以斯拉記、尼希米記
[00:00:07.040 --> 00:00:09.040]  看了好幾個月了
[00:00:09.040 --> 00:00:13.040]  今天就來到大結局
[00:00:13.040 --> 00:00:19.040]  大結局你會期待一個很偉大的高潮
[00:00:19.040 --> 00:00:21.040]  大長今
[00:00:21.040 --> 00:00:26.040]  聽說在香港做最後那一集的時候
[00:00:26.040 --> 00:00:31.040]  那一集的時候整個香港經濟停頓
[00:00:31.040 --> 00:00:34.040]  大家都留在家裡
[00:00:34.040 --> 00:00:37.040]  電視台特別安排了連播兩集
[00:00:37.040 --> 00:00:40.040]  接著還有大長今現場轉播
[00:00:40.040 --> 00:00:44.040]  搞得全城高潮迭起
[00:00:44.040 --> 00:00:50.040]  是,以斯拉記、尼希米記來到最後一章
[00:00:50.040 --> 00:00:53.040]  我們說下集大結局
[00:00:53.040 --> 00:00:56.040]  說完之後下一個月開始
[00:00:56.040 --> 00:01:00.040]  我們要讀新一卷舊約的聖經書卷
[00:01:00.040 --> 00:01:02.040]  你還記得吧
[00:01:02.040 --> 00:01:08.040]  以斯拉記開始說到波斯帝國
[00:01:08.040 --> 00:01:16.040]  記得嗎?古列這位新的帝王下了一個新的命令
[00:01:16.040 --> 00:01:24.040]  或者說帝國的國策有了一個新的改變
[00:01:24.040 --> 00:01:28.040]  這些國家的政策經常都改變
[00:01:28.040 --> 00:01:32.040]  就算是你說政府選來選去
[00:01:32.040 --> 00:01:34.040]  現在民選政府也好
[00:01:34.040 --> 00:01:36.040]  其實都有很多改變
[00:01:36.040 --> 00:01:38.040]  我們安省就要選舉了
[00:01:38.040 --> 00:01:40.040]  話題現在說的就是
[00:01:40.040 --> 00:01:42.040]  你現在答應什麼都好
[00:01:42.040 --> 00:01:44.040]  到時候又改變了
[00:01:44.040 --> 00:01:47.040]  改變是天公地道的
[00:01:47.040 --> 00:01:53.040]  波斯帝國准許他的子民
[00:01:53.040 --> 00:02:01.040]  在巴比倫的時候被擄流亡的子民
[00:02:01.040 --> 00:02:04.040]  可以回到自己的故鄉
[00:02:04.040 --> 00:02:09.040]  不但如此還可以有帝國的支持
[00:02:09.040 --> 00:02:12.040]  有實際的援助
[00:02:12.040 --> 00:02:15.040]  金錢、人力各方面
[00:02:15.040 --> 00:02:19.040]  讓他們可以回去重建自己的故鄉
[00:02:19.040 --> 00:02:24.040]  重建他們敬拜的場所
