
[00:00:00.000 --> 00:00:05.200]  烈王記的第二講
[00:00:05.200 --> 00:00:08.700]  今天要講烈王記上的第一章
[00:00:08.700 --> 00:00:10.700]  又要講舊約了
[00:00:10.700 --> 00:00:12.700]  又要講故事了
[00:00:12.700 --> 00:00:13.700]  這個講古佬
[00:00:13.700 --> 00:00:18.200]  由故事當中我們找到神學思想
[00:00:18.200 --> 00:00:20.200]  這個就是舊約
[00:00:20.200 --> 00:00:22.200]  新約就很直接了
[00:00:22.200 --> 00:00:25.700]  我今天給他的題目叫做
[00:00:25.700 --> 00:00:31.700]  王位屬誰 人看智慧 神看英許
[00:00:31.700 --> 00:00:36.700]  其實烈王記上的文筆是非常精彩的
[00:00:36.700 --> 00:00:39.700]  在烈王記裏面的第一章
[00:00:39.700 --> 00:00:41.700]  有兩個字是重複出現的
[00:00:41.700 --> 00:00:43.700]  一個字就是Yada
[00:00:43.700 --> 00:00:46.700]  就是認識、認知
[00:00:46.700 --> 00:00:49.700]  甚至可以解釋做親密的關係
[00:00:49.700 --> 00:00:51.700]  記不記得我和大家說過
[00:00:51.700 --> 00:00:56.700]  在創世紀亞當認識夏娃就出現了甚麼事
[00:00:56.700 --> 00:00:58.700]  生了蓋忍
[00:00:58.700 --> 00:01:01.700]  這個就是認識、認知
[00:01:01.700 --> 00:01:05.700]  就是希伯來文的Yada這個字
[00:01:05.700 --> 00:01:09.700]  但是另外有一個字在第一章重複出現的
[00:01:09.700 --> 00:01:11.700]  就是Shiva
[00:01:11.700 --> 00:01:13.700]  就是死世
[00:01:13.700 --> 00:01:15.700]  這個字都是重複出現的
[00:01:15.700 --> 00:01:17.700]  我今天的題目就是
[00:01:17.700 --> 00:01:20.700]  人看智慧 神看英許
[00:01:20.700 --> 00:01:23.700]  人來講是靠我們的智慧、我們的知識
[00:01:23.700 --> 00:01:28.700]  甚至與人之間有親密的關係 搞關係
[00:01:28.700 --> 00:01:30.700]  但是神是看甚麼的
[00:01:30.700 --> 00:01:32.700]  神是看他的英許
[00:01:32.700 --> 00:01:35.700]  如果他曾經起世的話
[00:01:35.700 --> 00:01:38.700]  是神的誓言就一定會發生
[00:01:38.700 --> 00:01:41.700]  這個就是我們今天的題目
[00:01:41.700 --> 00:01:43.700]  說開又說
[00:01:43.700 --> 00:01:46.700]  有沒有看到我今天的封面 漂亮嗎
[00:01:46.700 --> 00:01:51.700]  我也懂得用AI來幫我設計我的封面
[00:01:51.700 --> 00:01:57.700]  我絕對不會用AI來幫助我有關講道的內容
[00:01:57.700 --> 00:02:00.700]  AI來講你叫他弄一幅圖給你
[00:02:00.700 --> 00:02:02.700]  弄個片段給你 沒得彈
[00:02:02.700 --> 00:02:04.700]  甚至你要查一查
[00:02:04.700 --> 00:02:07.700]  在聖經裏面這件事有沒有發生過
[00:02:07.700 --> 00:02:09.700]  這些是很準確
[00:02:09.700 --> 00:02:11.700]  但是神學來講
[00:02:11.700 --> 00:02:14.700]  實在是不敢恭維
[00:02:14.700 --> 00:02:16.700]  你要甚麼神學觀
[00:02:16.700 --> 00:02:18.700]  AI都懂得給你看
[00:02:18.700 --> 00:02:21.700]  所以有很多時候我們要很小心
[00:02:21.700 --> 00:02:24.700]  現在在網上你聽很多的講道
[00:02:24.700 --> 00:02:27.700]  都可能是AI設計出來
[00:02:27.700 --> 00:02:30.700]  你說牧師英我就不會了
[00:02:30.700 --> 00:02:33.700]  我會選擇那些講完是我喜歡的
[00:02:33.700 --> 00:02:35.700]  都會很危險的
[00:02:35.700 --> 00:02:39.700]  我說你聽 我很喜歡聽Dr. John MacArthur的講道
[00:02:39.700 --> 00:02:42.700]  有一次我在網上看到有一篇道
[00:02:42.700 --> 00:02:44.700]  我沒聽過的
[00:02:44.700 --> 00:02:46.700]  我就去聽
[00:02:46.700 --> 00:02:50.700]  那個視頻是John MacArthur
[00:02:50.700 --> 00:02:53.700]  聲音也是John MacArthur
[00:02:53.700 --> 00:02:55.700]  為甚麼我說他講出來的東西
[00:02:55.700 --> 00:02:58.700]  完全跟他平時講的不同呢
[00:02:58.700 --> 00:03:00.700]  相違反的呢
[00:03:00.700 --> 00:03:03.700]  後來才發覺原來有人用他的樣子
[00:03:03.700 --> 00:03:06.700]  用他的聲音 弄了個視頻出來
[00:03:06.700 --> 00:03:07.700]  弄了篇道
[00:03:07.700 --> 00:03:09.700]  不是他 是AI
[00:03:09.700 --> 00:03:13.700]  所以我們現在在網上聽道都要很小心
[00:03:13.700 --> 00:03:17.700]  你不要以為這個就是我喜歡聽的牧師
[00:03:17.700 --> 00:03:20.700]  分分鐘是AI 是假的道理
[00:03:20.700 --> 00:03:23.700]  現在聽道你要很小心
[00:03:23.700 --> 00:03:26.700]  你要知道認識那個網頁
[00:03:26.700 --> 00:03:29.700]  你要認識那個頻道是信得過
[00:03:29.700 --> 00:03:32.700]  你知道不會有假的訊息
[00:03:32.700 --> 00:03:34.700]  你去聽 這樣就對了
[00:03:34.700 --> 00:03:37.700]  但是需要有些智慧
[00:03:37.700 --> 00:03:40.700]  列王紀一開始的時候
[00:03:40.700 --> 00:03:43.700]  大衛已經年紀老邁
[00:03:43.700 --> 00:03:45.700]  他快要離開這個世界
[00:03:45.700 --> 00:03:49.700]  而他的王朝正面臨一個很大的危機
[00:03:49.700 --> 00:03:53.700]  就是有兩股勢力要爭取他的王位
[00:03:53.700 --> 00:03:56.700]  在列王紀裏所記載的
[00:03:56.700 --> 00:04:00.700]  不單止是宮廷裏的明爭暗鬥
[00:04:00.700 --> 00:04:04.700]  也讓我們看到因為以色列人不聽神的話
[00:04:04.700 --> 00:04:09.700]  神在生命記第六章給人民有他的教訓
[00:04:09.700 --> 00:04:14.700]  在生命記第七章給以色列的王有他的教訓
[00:04:14.700 --> 00:04:16.700]  但是以色列人都不聽
[00:04:16.700 --> 00:04:20.700]  最後就應驗了在聖經裏的預言
[00:04:20.700 --> 00:04:23.700]  以色列人會遭到滅國
[00:04:23.700 --> 00:04:25.700]  亡國會被擄
[00:04:25.700 --> 00:04:27.700]  這一切都會被實現
[00:04:27.700 --> 00:04:33.700]  我剛才說大衛的王朝正面臨一個很大的危機
[00:04:33.700 --> 00:04:37.700]  通常當我們面臨危機的時候
[00:04:37.700 --> 00:04:40.700]  會反映出一個人的本性
[00:04:40.700 --> 00:04:43.700]  就好像太陽曬泥土
[00:04:43.700 --> 00:04:45.700]  可以曬到泥土很堅硬
[00:04:45.700 --> 00:04:49.700]  同樣的太陽也可以曬到冰上
[00:04:49.700 --> 00:04:51.700]  令到冰融解
[00:04:51.700 --> 00:04:54.700]  究竟我們遇見危難的時候
[00:04:54.700 --> 00:04:56.700]  我們的心會被軟化
[00:04:56.700 --> 00:04:58.700]  好像冰變成水
[00:04:58.700 --> 00:05:01.700]  還是我們的心會變得更加堅硬
[00:05:01.700 --> 00:05:05.700]  好像泥土越來越曬得乾
[00:05:05.700 --> 00:05:08.700]  以色列人就是變得堅硬
[00:05:08.700 --> 00:05:10.700]  很可惜
[00:05:10.700 --> 00:05:14.700]  其實今天的獵王紀上的第一章
[00:05:14.700 --> 00:05:17.700]  就有一個非常精彩的首尾結構
[00:05:17.700 --> 00:05:22.700]  我不會用時間一點一點和大家來看這個首尾結構
[00:05:22.700 --> 00:05:24.700]  如果你們喜歡的話
[00:05:24.700 --> 00:05:26.700]  我會留在powerpoint那裏
[00:05:26.700 --> 00:05:28.700]  你們可以自己download來看
[00:05:28.700 --> 00:05:31.700]  但在這個首尾結構我想指出
[00:05:31.700 --> 00:05:33.700]  有兩件很重要的事
[00:05:33.700 --> 00:05:36.700]  就是經文最中心的地方
[00:05:36.700 --> 00:05:40.700]  就是獵王紀上的一章28至31節
[00:05:40.700 --> 00:05:45.700]  大衛向拔士巴重申他的誓言
[00:05:45.700 --> 00:05:49.700]  記不記得我說在獵王紀上有兩個字很重要
[00:05:49.700 --> 00:05:52.700]  Yada 形式 形字
[00:05:52.700 --> 00:05:55.700]  還有一個Shaba 起勢
[00:05:55.700 --> 00:06:00.700]  大衛向拔士巴重申他的誓言
