
[00:00:00.000 --> 00:00:11.000]  各位親愛的朋友 早安 非常高興在張林祈的第三個主日和大家分享實事信息
[00:00:11.000 --> 00:00:17.000]  我特別喜歡現場 現場的感覺不一樣 可以對話
[00:00:17.000 --> 00:00:23.000]  在張林祈裏面 如果我們是按nationality(國家性)
[00:00:23.000 --> 00:00:27.000]  四個主日裏面有四個不同的重點
[00:00:27.000 --> 00:00:30.000]  第一個是盼望 第二個是平安
[00:00:30.000 --> 00:00:33.000]  今天第三個主日應該是說喜樂
[00:00:33.000 --> 00:00:39.000]  然後最後的星期就是說愛 去到聖誕節
[00:00:39.000 --> 00:00:43.000]  喜樂我今天說的經文是西班牙書
[00:00:43.000 --> 00:00:49.000]  我想問問有多少人看過西班牙書 都不知道是不是在哪裏
[00:00:49.000 --> 00:00:51.000]  現在都好似digital很容易找
[00:00:51.000 --> 00:00:57.000]  以前我們靠聖經 西班牙小說書裏面只有三章
[00:00:57.000 --> 00:01:00.000]  找頭找尾都好難找
[00:01:00.000 --> 00:01:04.000]  今天是按照經文的安排用西班牙書
[00:01:04.000 --> 00:01:08.000]  西班牙書是甚麼呢 如果我們留意西班牙書第一章第一節
[00:01:08.000 --> 00:01:13.000]  是說當時的背景是南國約西亞王
[00:01:13.000 --> 00:01:19.000]  約西亞王是一個好的皇帝 他行耶和華眼中看為正的事
[00:01:19.000 --> 00:01:24.000]  他八歲登基 當政三歲不一年 是好的
[00:01:24.000 --> 00:01:28.000]  但很可惜他的祖父馬來西 沒聽過這種東西 馬來西
[00:01:28.000 --> 00:01:32.000]  然後他父親阿門都是壞的皇帝
[00:01:32.000 --> 00:01:37.000]  行耶和華眼中看為惡的事 還有流很多人的血
[00:01:37.000 --> 00:01:41.000]  所以雖然約西亞是一個好的皇帝
[00:01:41.000 --> 00:01:45.000]  到南國後期的時候都是好的
[00:01:45.000 --> 00:01:52.000]  但因為之前他的祖父和父親都是行耶華眼中看為惡的
[00:01:52.000 --> 00:01:57.000]  所以當時的國家都來到一個比較困難的處境
[00:01:57.000 --> 00:02:00.000]  即是面對亡國的危機
[00:02:00.000 --> 00:02:03.000]  我們今天的經文是三章的十四二十節
[00:02:03.000 --> 00:02:09.000]  如果你看聖經的話 將會是三章的經文裏面最後的一段
[00:02:09.000 --> 00:02:16.000]  有些解經家說 後面的一段有可能是先知後面加上去的
[00:02:16.000 --> 00:02:21.000]  為何這樣說呢 因為看回整個西班牙書裏面
[00:02:21.000 --> 00:02:26.000]  前面和後面的語調和用語是不一樣的
[00:02:26.000 --> 00:02:33.000]  前面說很多是審判 因為國難當頭 國家就快要亡國了
[00:02:33.000 --> 00:02:38.000]  所以先知在當中大聲疾呼 你們很悔改 否則審判就來了
[00:02:38.000 --> 00:02:44.000]  但你會發覺剛才讀的經文十四至二十節還不是在講審判
[00:02:44.000 --> 00:02:48.000]  剛才如果你留意的時候 你會發覺當中有很多的安慰和鼓勵
[00:02:48.000 --> 00:02:54.000]  所以有些解經家說 可能當時南國已經亡了
[00:02:54.000 --> 00:02:58.000]  然後先知在後面再加這一段上去
[00:02:58.000 --> 00:03:02.000]  所以語調和用語是和前面不一樣的
[00:03:02.000 --> 00:03:06.000]  無論亡了國與不亡國我們不知道
[00:03:06.000 --> 00:03:11.000]  但當時的處境是非常險峻的 這個很明顯
[00:03:11.000 --> 00:03:15.000]  就像今天我們面對疫情 如果不是就好了
[00:03:15.000 --> 00:03:19.000]  如果不是就坐滿人 大家很開心
[00:03:19.000 --> 00:03:23.000]  但今天可能有些弟兄姊妹在家裏面都回不來
[00:03:23.000 --> 00:03:27.000]  最近聽一些消息 有些人研究的 我不知道 聽回來的
[00:03:27.000 --> 00:03:31.000]  你聽著好了 他說真的要打了疫苗
[00:03:31.000 --> 00:03:37.000]  真的能夠過疫情 應該可能去到2023年的年尾
[00:03:37.000 --> 00:03:41.000]  我剛剛從溫哥華回來 因為我們在溫哥華開會
[00:03:41.000 --> 00:03:45.000]  我們今年2021JMC 已經結束了
[00:03:45.000 --> 00:03:49.000]  我們現在在想2023的JMC就會在溫哥華
[00:03:49.000 --> 00:03:52.000]  我們應該是6月7月那段時間
[00:03:52.000 --> 00:03:56.000]  2023的年尾都還沒完成 真是多麻煩
[00:03:56.000 --> 00:04:00.000]  我們面對一個處境裏面都是很困難的
[00:04:00.000 --> 00:04:04.000]  但今天我們的主題是甚麼 重點在哪裏
[00:04:04.000 --> 00:04:10.000]  「起落」 在這樣的處境裏面我們怎樣能夠起落呢
[00:04:10.000 --> 00:04:14.000]  你會發覺在我們的經文裏面
[00:04:14.000 --> 00:04:17.000]  前面開始第14節 開始的時候
[00:04:17.000 --> 00:04:21.000]  他說「塞安的民應當歌唱」
[00:04:21.000 --> 00:04:28.000]  「以色列應當歡呼」 「耶路撒冷的民應當滿心歡喜快樂」
[00:04:28.000 --> 00:04:31.000]  這三個都是用甚麼 應當
[00:04:31.000 --> 00:04:37.000]  即是說就算處境這樣的時候 我們都應該唱歌應該歡喜快樂
[00:04:37.000 --> 00:04:40.000]  所以今天的主題就是「起落」
[00:04:40.000 --> 00:04:45.000]  但問題是在這樣的處境裏面怎樣可以起落呢
[00:04:45.000 --> 00:04:48.000]  所以你會發覺其實在第14節就說出
[00:04:48.000 --> 00:04:52.000]  他才說就算處境這樣的時候 我們都應該歡喜快樂
[00:04:52.000 --> 00:04:57.000]  然後第15至20節就說出為甚麼會歡喜快樂
[00:04:57.000 --> 00:05:01.000]  所以基本上的經文很簡單 14至20節
[00:05:01.000 --> 00:05:05.000]  前面就說就算現在這樣的處境 疫情這麼難搞
[00:05:05.000 --> 00:05:09.000]  不知道2023年能否解決 但就算環境這樣
[00:05:09.000 --> 00:05:13.000]  我們作為神的子民 我們都應該歡喜快樂
[00:05:13.000 --> 00:05:19.000]  然後後面15至20節就說出我們歡喜快樂的原因
[00:05:19.000 --> 00:05:22.000]  不好意思 因為我的經文縮了一頁
[00:05:22.000 --> 00:05:25.000]  但剛才讀了經大家看到了 所以沒有問題
