
[00:00:00.000 --> 00:00:03.780]  親愛的主耶穌 多謝你的恩典
[00:00:03.780 --> 00:00:08.000]  當我們在寒冷裏面
[00:00:08.000 --> 00:00:12.260]  我感恩的是你給我們有飽足
[00:00:12.260 --> 00:00:15.260]  你給我們有衣服
[00:00:15.260 --> 00:00:18.980]  你給我們有家
[00:00:18.980 --> 00:00:23.340]  我們在這個時候都不忘記
[00:00:23.340 --> 00:00:32.940]  為無數在歐洲是世紀以來最冷的一個冷天
[00:00:32.940 --> 00:00:37.220]  很多方面都不足的難民來土共
[00:00:37.220 --> 00:00:41.220]  同樣為那些在海裏面
[00:00:41.220 --> 00:00:44.940]  剛剛又發生沉船的事件
[00:00:44.940 --> 00:00:50.100]  無數的人可能都已經葬身在大海當中
[00:00:50.100 --> 00:00:52.700]  亦都是無數的人凍死
[00:00:52.700 --> 00:00:57.960]  我們為這一切 為了一切的不幸
[00:00:57.960 --> 00:01:00.640]  為了一切這些的哀歌
[00:01:00.640 --> 00:01:03.400]  是人為造成的哀歌
[00:01:03.400 --> 00:01:05.920]  我們真的感覺到悲哀
[00:01:05.920 --> 00:01:09.880]  但同樣我也求你繼續不斷
[00:01:09.880 --> 00:01:13.880]  來去帶動合理心意的人
[00:01:13.880 --> 00:01:19.180]  在他們能夠到達的地方施以援手
[00:01:19.180 --> 00:01:21.240]  特別我們都知道
[00:01:21.240 --> 00:01:23.480]  面對著歐洲這麼多的難民
[00:01:23.480 --> 00:01:26.160]  我們同樣都有責任
[00:01:26.160 --> 00:01:28.300]  求你幫助我們今天
[00:01:28.300 --> 00:01:30.240]  知道他們的需要之後
[00:01:30.240 --> 00:01:34.240]  預備好我們的心來奉獻
[00:01:34.240 --> 00:01:36.120]  以致我們有一天
[00:01:36.120 --> 00:01:39.920]  看到我們奉獻的一點點
[00:01:39.920 --> 00:01:42.760]  其實能夠溫暖很多人的心
[00:01:42.760 --> 00:01:47.000]  我特別為了在那邊的義工來禱告
[00:01:47.000 --> 00:01:50.160]  求你賜能加力給他們
[00:01:50.160 --> 00:01:54.960]  讓他們有智慧進到這些難民當中
[00:01:54.960 --> 00:01:59.200]  將神的安慰帶給他們
[00:01:59.200 --> 00:02:04.680]  將他們缺乏的物質、愛帶給他們
[00:02:04.680 --> 00:02:07.360]  我更加願望透過難民
[00:02:07.360 --> 00:02:11.600]  將在靈裏的福音
[00:02:11.600 --> 00:02:14.240]  帶回德國的教會
[00:02:14.240 --> 00:02:17.600]  帶回其他歐洲的教會
[00:02:17.600 --> 00:02:19.960]  求你保守我們下面的時間
[00:02:19.960 --> 00:02:21.440]  聽我們禱告
[00:02:21.440 --> 00:02:24.640]  奉耶穌基督的命令
[00:02:24.640 --> 00:02:30.200]  頂智慧 我看看大家
[00:02:30.200 --> 00:02:32.360]  你同不同意
[00:02:32.360 --> 00:02:35.720]  一失足成
[00:02:35.720 --> 00:02:38.040]  大聲一點
[00:02:38.040 --> 00:02:39.700]  有多少人同意的?
[00:02:39.700 --> 00:02:42.840]  好不好舉手?
[00:02:42.840 --> 00:02:45.080]  這麼多人同意
[00:02:45.080 --> 00:02:46.920]  有多少人試過失足的?
[00:02:46.920 --> 00:02:49.360]  好不好舉手?
[00:02:49.360 --> 00:02:50.960]  很多人失足
[00:02:50.960 --> 00:02:55.480]  那有沒有成為你們的千古恨呢?
[00:02:55.480 --> 00:02:58.880]  有的 好不好舉手?
[00:02:58.880 --> 00:03:03.360]  都有 但是不是很多
[00:03:03.360 --> 00:03:05.480]  但是今天呢
[00:03:05.480 --> 00:03:07.640]  我都給大家來看看
[00:03:07.640 --> 00:03:12.160]  一失足成千古恨
[00:03:12.160 --> 00:03:15.800]  失足的人都不覺得是失足
[00:03:15.800 --> 00:03:18.600]  我甚至相信在當時的情形下
[00:03:18.600 --> 00:03:22.760]  絕大部份人都會覺得他沒有失足的
