
[00:00:00.000 --> 00:00:06.160]  好 各位姐妹 讓我們在聆聽主的說話
[00:00:06.160 --> 00:00:10.120]  以示我們再次同心低頭禱告仰望主愛的一神
[00:00:10.120 --> 00:00:13.760]  父神多謝祢讓我們有生命有氣息
[00:00:13.760 --> 00:00:18.600]  也讓我們活在一個非常漂亮的國度裏面
[00:00:18.600 --> 00:00:21.000]  讓我們知道在運行的當中
[00:00:21.000 --> 00:00:23.480]  我們應當怎樣在上主裏面
[00:00:23.480 --> 00:00:26.280]  帶著忠貞來活在其中
[00:00:26.280 --> 00:00:30.600]  但環顧在今天我們營活在這個地上的時候
[00:00:30.600 --> 00:00:34.560]  上主祢讓我們看見這個世界是充滿罪惡
[00:00:34.560 --> 00:00:38.120]  人性的醜惡 人性的詭詐
[00:00:38.120 --> 00:00:47.480]  甚至在親屬之間亦都能夠顯出人怎樣互相攻姦彼此
[00:00:47.480 --> 00:00:52.680]  好在我們在這個世界見到一個這麼恐怖的世界的時候
[00:00:52.680 --> 00:00:56.600]  上帝祢讓我們促成我們更深的思想
[00:00:56.600 --> 00:01:00.280]  究竟我們在這個上帝的倉庫裏面
[00:01:00.280 --> 00:01:05.320]  從來有沒有去感恩上主祢的賦予呢?
[00:01:05.320 --> 00:01:08.160]  環顧今天的世界的每一個人
[00:01:08.160 --> 00:01:12.640]  為著自己的喜好 為著自己的利益而奔走
[00:01:12.640 --> 00:01:15.040]  上主求祢幫助我們
[00:01:15.040 --> 00:01:16.920]  我們一班屬祢的子民
[00:01:16.920 --> 00:01:19.400]  讓我們每一個都能夠真真正正
[00:01:19.400 --> 00:01:22.800]  能夠活出有上主祢的生命樣式
[00:01:22.800 --> 00:01:25.600]  讓我們體貼上帝祢的心腸
[00:01:25.600 --> 00:01:27.760]  好想我們能夠在這個地上
[00:01:27.760 --> 00:01:32.000]  雖然按照祢的意願來活
[00:01:32.000 --> 00:01:33.840]  並不是容易一件的事
[00:01:33.840 --> 00:01:36.640]  甚至可能會受到遭害
[00:01:36.640 --> 00:01:40.200]  但是求主祢讓我們明白到
[00:01:40.200 --> 00:01:44.280]  只要我們活出一個上主祢喜悅的生命
[00:01:44.280 --> 00:01:47.120]  主祢是最大的喜樂
[00:01:47.120 --> 00:01:52.480]  讓我們能夠在其中以上帝祢的喜悅
[00:01:52.480 --> 00:01:57.000]  為我們衷心走在這條屬靈的人生的路上
[00:01:57.000 --> 00:01:58.520]  讓今天的講道
[00:01:58.520 --> 00:02:03.680]  無論聽的講的生命也能夠得到更深化
[00:02:03.680 --> 00:02:07.080]  求祢帶領我們同心的禱告
[00:02:07.080 --> 00:02:11.160]  奉靠主耶穌基督得勝的名字而靠
