
[00:00:00.000 --> 00:00:09.000]  大家就一齊祈禱,多謝天父給我們今天有侍奉動員主日
[00:00:09.000 --> 00:00:13.000]  我們一齊也去思想回對你的侍奉
[00:00:13.000 --> 00:00:16.000]  祝我們心中仰望,仰望聖靈
[00:00:16.000 --> 00:00:19.000]  幫助你明白你自己的真道
[00:00:19.000 --> 00:00:23.000]  也知道去聽從,求你伺服這段時間
[00:00:23.000 --> 00:00:26.000]  我們仰望祈禱,奉耶穌聖靈教
[00:00:26.000 --> 00:00:31.000]  在遠處的短片我不知道大家有什麼感受
[00:00:31.000 --> 00:00:35.000]  我第一次看,但我知道大概的內容
[00:00:35.000 --> 00:00:40.000]  但當我一直想到今天的主日的時候
[00:00:40.000 --> 00:00:44.000]  我就想到真是神透過很多不同的方式
[00:00:44.000 --> 00:00:47.000]  鼓勵我們侍奉上帝
[00:00:47.000 --> 00:00:51.000]  我很記得在這次預備的時候
[00:00:51.000 --> 00:00:53.000]  很快就想到一個故事
[00:00:53.000 --> 00:00:55.000]  所以我想先把這個故事跟大家分享
[00:00:55.000 --> 00:00:57.000]  這個故事講到一件事情
[00:00:57.000 --> 00:01:02.000]  一班美國的遊客去到一個東南亞的國家
[00:01:02.000 --> 00:01:05.000]  在那個地方他們去旅遊
[00:01:05.000 --> 00:01:09.000]  但他們信到參觀當地一間麻瘋病院
[00:01:09.000 --> 00:01:11.000]  還有一間麻瘋病院
[00:01:11.000 --> 00:01:15.000]  他們去到的時候見到有一些義工
[00:01:15.000 --> 00:01:17.000]  一些志願服務的朋友
[00:01:17.000 --> 00:01:22.000]  在幫助那些麻瘋病患者去清洗傷口
[00:01:22.000 --> 00:01:25.000]  特別是腳上面很多傷口
[00:01:25.000 --> 00:01:28.000]  其中一位遊客走過去的時候
[00:01:28.000 --> 00:01:35.000]  就留意到這個病人他的身體已經很受傷
[00:01:35.000 --> 00:01:37.000]  但當他留意到那個傷口
[00:01:37.000 --> 00:01:39.000]  腳上面的傷口的時候
[00:01:39.000 --> 00:01:41.000]  是很難看
[00:01:41.000 --> 00:01:46.000]  因為麻瘋病者那些腳部的傷患
[00:01:46.000 --> 00:01:49.000]  是一種很潰爛的情況
[00:01:49.000 --> 00:01:53.000]  而且是流出很多的膿
[00:01:53.000 --> 00:01:55.000]  當他一看的時候
[00:01:55.000 --> 00:01:57.000]  他感覺很互心
[00:01:57.000 --> 00:01:59.000]  就在那個時候
[00:01:59.000 --> 00:02:01.000]  他就突然大聲地說
[00:02:01.000 --> 00:02:05.000]  這些事情你給我一百萬
[00:02:05.000 --> 00:02:07.000]  美國人當然講一美金
[00:02:07.000 --> 00:02:09.000]  你給我一百萬美金
[00:02:09.000 --> 00:02:11.000]  我都不會做這些事情
[00:02:11.000 --> 00:02:15.000]  當他停一停的時候
[00:02:15.000 --> 00:02:20.000]  這位義工突然抬起頭來
[00:02:20.000 --> 00:02:22.000]  因為他明白他所說
[00:02:22.000 --> 00:02:24.000]  然後他就說
[00:02:24.000 --> 00:02:26.000]  對呀
[00:02:26.000 --> 00:02:28.000]  如果不是因為主遊宿的緣故
[00:02:28.000 --> 00:02:30.000]  你給我一百萬美金
[00:02:30.000 --> 00:02:32.000]  我都不會做這些事情
[00:02:32.000 --> 00:02:39.000]  這位遊客很突然對方這樣的反應
[00:02:39.000 --> 00:02:41.000]  我記得這個故事的時候
[00:02:41.000 --> 00:02:42.000]  我聽到的時候
[00:02:42.000 --> 00:02:46.000]  我心裡面都覺得一種很特別的感受就是
[00:02:46.000 --> 00:02:48.000]  這位弟兄
[00:02:48.000 --> 00:02:51.000]  他不是為了金錢
[00:02:51.000 --> 00:02:54.000]  也不是為了積責
[00:02:54.000 --> 00:02:56.000]  只是因為主耶穌的緣故
[00:02:56.000 --> 00:02:58.000]  他樂意做一些
[00:02:58.000 --> 00:03:00.000]  人以為好像是
[00:03:00.000 --> 00:03:03.000]  很厭惡性的服侍
[00:03:03.000 --> 00:03:06.000]  我想回頭為什麼剛才看到一套短片
[00:03:06.000 --> 00:03:08.000]  其中一個很重要的一句話
