
[00:00:00.000 --> 00:00:08.000]  在這個世界裡 凡事都講求關係
[00:00:08.000 --> 00:00:14.000]  但是關係這東西 卻正是今天這個世紀當中
[00:00:14.000 --> 00:00:18.000]  很多人最弱的一環
[00:00:18.000 --> 00:00:24.000]  而在這個世界裡 很多時候被我們看見的現象就是
[00:00:24.000 --> 00:00:29.000]  無論是人與人關係 甚至男女之間的關係
[00:00:29.000 --> 00:00:33.000]  以至於我們與這個世界的關係
[00:00:33.000 --> 00:00:38.000]  我們都越來越疏離 甚至是破裂
[00:00:38.000 --> 00:00:41.000]  所以今天我們在這個世界當中
[00:00:41.000 --> 00:00:47.000]  我們發現到很多人將關係這東西 開始貶抑
[00:00:47.000 --> 00:00:52.000]  在中文的言詞上 關係這個字眼
[00:00:52.000 --> 00:00:58.000]  很多時候都只不過是用 講到兩者之間的連結
[00:00:58.000 --> 00:01:02.000]  但英文上面有一個很清楚的界定
[00:01:02.000 --> 00:01:06.000]  關係不單只是一個relationship
[00:01:06.000 --> 00:01:13.000]  而且關係也有一種層面是比較低的叫做networking
[00:01:13.000 --> 00:01:16.000]  兩者的分別在哪裡呢
[00:01:16.000 --> 00:01:21.000]  前者是一個真正人與人有一個緊密的連結
[00:01:21.000 --> 00:01:31.000]  他們是彼此互為影響 並且帶著一份彼此關懷去建造的目的去做的
[00:01:31.000 --> 00:01:34.000]  但networking就很不同了
[00:01:34.000 --> 00:01:39.000]  networking就只不過是一個連繫
[00:01:39.000 --> 00:01:47.000]  在電腦世界裡 我們很喜歡用到叫做node
[00:01:47.000 --> 00:01:50.000]  人只不過是一個點
[00:01:50.000 --> 00:01:55.000]  每一個點會為我帶來一些好處
[00:01:55.000 --> 00:02:00.000]  或者帶來一些資訊 使我能夠受惠
[00:02:00.000 --> 00:02:05.000]  所以你們大家也有上網 有用手提電話
[00:02:05.000 --> 00:02:09.000]  上網其實只不過是一個連繫
[00:02:09.000 --> 00:02:12.000]  手機只不過是一個點
[00:02:12.000 --> 00:02:19.000]  我要看打球 我要看奧運 我要看某一些其他等等的活動
