
[00:00:00.000 --> 00:00:03.040]  因為之前的爭論 大家知道
[00:00:03.040 --> 00:00:06.400]  朋友說你一定有問題 你一定是我的
[00:00:06.400 --> 00:00:07.640]  快點悔改
[00:00:07.640 --> 00:00:09.640]  他說不關我的事
[00:00:09.640 --> 00:00:13.040]  現在他就要在朋友面前起個勢
[00:00:13.040 --> 00:00:15.640]  即是說除非你拿出證據
[00:00:15.640 --> 00:00:17.640]  否則你就不要再說我了
[00:00:17.640 --> 00:00:20.280]  叫朋友不要再說
[00:00:20.280 --> 00:00:23.000]  所以這不是哲學說法
[00:00:23.000 --> 00:00:28.480]  其實他是要阻止或者停止這個爭論
[00:00:28.480 --> 00:00:31.000]  辦法就是他起個勢
[00:00:31.000 --> 00:00:35.640]  而朋友就不能再拿出實際的證據證明他
[00:00:35.640 --> 00:00:37.040]  是錯的
[00:00:37.040 --> 00:00:39.680]  結果朋友就不再說話了
[00:00:39.680 --> 00:00:41.080]  以後都不說了
[00:00:41.080 --> 00:00:42.440]  即是你不能說了
[00:00:42.440 --> 00:00:43.880]  因為他已經起了個勢
[00:00:43.880 --> 00:00:45.880]  其實簡單就是這樣
[00:00:45.880 --> 00:00:48.880]  我不詳細說那個勢
[00:00:48.880 --> 00:00:50.480]  他就說不關我的事
[00:00:50.480 --> 00:00:52.880]  即是我沒有做過甚麼事
[00:00:52.880 --> 00:00:56.600]  好了 到29章也是這樣
[00:00:56.600 --> 00:00:58.600]  這次是對神起勢
[00:00:58.600 --> 00:01:01.400]  大家看不看到那個不同
[00:01:01.400 --> 00:01:03.720]  一個是對人 叫你的朋友不要再說了
[00:01:03.720 --> 00:01:05.320]  即是你再說下去也沒有用
[00:01:05.320 --> 00:01:06.800]  因為我們上一次說到
[00:01:06.800 --> 00:01:10.640]  大家辯論一下都根本是各一各說
[00:01:10.640 --> 00:01:12.640]  沒有用的 繼續說下去也不行
[00:01:12.640 --> 00:01:14.640]  但對神說的意思是甚麼呢
[00:01:14.640 --> 00:01:16.640]  即是迫神說你一定要給出證據
[00:01:16.640 --> 00:01:18.640]  或者說你一定要幫我交代
[00:01:18.640 --> 00:01:21.160]  這個就是迫神說的
[00:01:21.160 --> 00:01:23.160]  所以後面就是神有說
[00:01:23.160 --> 00:01:26.160]  即是30年那個規則是這樣的
[00:01:26.160 --> 00:01:28.160]  所以他在神面前
