
[00:00:00.000 --> 00:00:08.600]  在這裡首先多謝楊牧師和會助會給我這個機會
[00:00:08.600 --> 00:00:12.000]  能夠和大家一起分享上帝的說話
[00:00:12.000 --> 00:00:14.000]  簡單介紹一下我自己
[00:00:14.000 --> 00:00:17.200]  我本身是教會的會友
[00:00:17.200 --> 00:00:19.700]  我在1993年的時候回來
[00:00:19.700 --> 00:00:22.800]  從多倫多讀完書回到香港
[00:00:22.800 --> 00:00:26.000]  接著沒多久就加入到這個大家庭
[00:00:26.000 --> 00:00:28.500]  後來因為神的呼召
[00:00:28.500 --> 00:00:30.500]  將我帶回加拿大
[00:00:30.500 --> 00:00:34.800]  在當中已經是經過了21、22個年頭
[00:00:34.800 --> 00:00:36.000]  很快日子過了
[00:00:36.000 --> 00:00:39.200]  這次來到大家當中去靜悟
[00:00:39.200 --> 00:00:42.400]  可以說是我第一次回來香港的靜悟
[00:00:42.400 --> 00:00:44.400]  大家很榮幸給我這個機會
[00:00:44.400 --> 00:00:47.200]  和大家一起分享神的說話
[00:00:47.200 --> 00:00:51.200]  在聽上帝的說話以先讓我們同心同道
[00:00:51.200 --> 00:00:53.000]  讓我們同心的低頭
[00:00:53.000 --> 00:00:54.100]  慈悲的父神多謝你
[00:00:54.100 --> 00:00:57.400]  讓我們能夠再次回來在你的面前
[00:00:57.400 --> 00:00:58.600]  打開你的說話
[00:00:58.600 --> 00:01:02.100]  同心的去對主你的說話有更深的認識
[00:01:02.100 --> 00:01:04.700]  靠聖靈在當中誘導我們
[00:01:04.700 --> 00:01:06.700]  無論聽的、說的
[00:01:06.700 --> 00:01:09.100]  都能夠同蒙主你的恩福
[00:01:09.100 --> 00:01:12.900]  讓我們都能夠在今天這篇經文裡面
[00:01:12.900 --> 00:01:16.400]  讓我們重新找到真正喜樂的源頭
[00:01:16.400 --> 00:01:18.700]  讓我們在無論得時不得時
[00:01:18.700 --> 00:01:20.600]  讓我們都能夠經歷到
[00:01:20.600 --> 00:01:24.900]  原來喜樂是那份更美更甜美的關係
[00:01:24.900 --> 00:01:25.600]  多謝你
[00:01:25.600 --> 00:01:29.600]  我們同心的禱告奉靠主耶穌基督得聖的名字而求
[00:01:29.600 --> 00:01:30.400]  阿們
[00:01:30.400 --> 00:01:34.900]  很多人來到聖誕節期間
[00:01:34.900 --> 00:01:38.400]  都會考慮到有關於怎樣慶祝
[00:01:38.400 --> 00:01:39.400]  為什麼要慶祝呢?
[00:01:39.400 --> 00:01:42.400]  因為很多時候我們都希望在這個時間
[00:01:42.400 --> 00:01:44.600]  去找到一些真正的喜樂
[00:01:44.600 --> 00:01:46.600]  或者這個也可以這麼說
[00:01:46.600 --> 00:01:50.100]  是基督教裡面一個盛事的日期
[00:01:50.100 --> 00:01:54.600]  希望大家能夠享受到那份真正的喜樂
[00:01:55.300 --> 00:01:58.300]  於是很多人對喜樂有不同的定義
[00:01:58.300 --> 00:02:00.600]  當我在神樂院做研究員的時候
[00:02:00.600 --> 00:02:01.600]  去讀書的時候
[00:02:01.600 --> 00:02:10.800]  原來喜樂這個題目是歷世歷代哲學家所思想和尋索的一個題目
[00:02:10.800 --> 00:02:12.500]  什麼叫做喜樂呢?
[00:02:12.500 --> 00:02:16.100]  很多時候我們覺得喜樂是一些純心的事情
[00:02:16.100 --> 00:02:19.300]  或者是一些能夠順境順意
[00:02:19.300 --> 00:02:22.300]  或者是順著自己的計劃
[00:02:22.300 --> 00:02:24.800]  這些就叫做喜樂的事情
[00:02:24.800 --> 00:02:27.800]  但是在今天我們看這段聖經之前
[00:02:27.800 --> 00:02:29.300]  讓我們一起去思想一下
[00:02:29.300 --> 00:02:33.300]  其實喜樂是不是真的單單只有這個定義呢?
[00:02:33.300 --> 00:02:36.300]  我想和大家一起去思想這個問題
[00:02:36.300 --> 00:02:39.300]  不知道你有沒有遇過一些這樣的情況
[00:02:39.300 --> 00:02:42.300]  在哭泣當中你會有喜樂呢?
[00:02:42.300 --> 00:02:46.800]  或者在傷感當中你是會有喜樂的呢?
[00:02:46.800 --> 00:02:50.300]  這些情況是非常普遍
[00:02:50.300 --> 00:02:52.800]  當我們去看原來
[00:02:52.800 --> 00:02:56.800]  喜樂不是單純於我們覺得事情順暢
[00:02:56.800 --> 00:02:57.800]  那些才叫做喜樂
[00:02:57.800 --> 00:03:00.800]  原來有些時候在哭泣也有喜樂的
[00:03:00.800 --> 00:03:02.300]  打個比方
[00:03:02.300 --> 00:03:04.800]  如果大家去參加一些婚禮的時候
[00:03:04.800 --> 00:03:05.800]  有沒有見過
[00:03:05.800 --> 00:03:09.800]  當雙方男女在結婚的台前
[00:03:09.800 --> 00:03:13.800]  在牧師的面前去作見證納祭的時候
[00:03:13.800 --> 00:03:15.800]  新娘一讀到
[00:03:15.800 --> 00:03:16.800]  或者新郎
[00:03:16.800 --> 00:03:18.300]  有時候新郎也很感動的
[00:03:18.800 --> 00:03:20.800]  他讀到我要將我的一生
[00:03:20.800 --> 00:03:22.800]  無論疾病痛苦
[00:03:22.800 --> 00:03:24.800]  都能夠陪伴你
[00:03:24.800 --> 00:03:27.800]  一起彼此支持的時候
[00:03:27.800 --> 00:03:30.800]  哇,對方感動到落淚
[00:03:30.800 --> 00:03:33.300]  你說他是哭,不開心
[00:03:33.300 --> 00:03:34.300]  還是開心?
