
[00:00:00.000 --> 00:00:04.200]  各位靜姐妹早晨
[00:00:04.200 --> 00:00:12.160]  感謝主讓我在這段安息年在這裡準備寫作的時間
[00:00:12.160 --> 00:00:16.640]  能夠經常可以到溫哥華播道會
[00:00:16.640 --> 00:00:17.920]  和大家分享神的說話
[00:00:17.920 --> 00:00:19.200]  這個是上帝給我的恩典
[00:00:19.200 --> 00:00:26.560]  肯定我在溫哥華播道會的講道機會
[00:00:26.560 --> 00:00:28.800]  是多過所有溫哥華其他教會的了
[00:00:28.800 --> 00:00:33.600]  所以感謝教會陳全道給我這個機會和大家分享
[00:00:33.600 --> 00:00:35.760]  快到聖誕節了
[00:00:35.760 --> 00:00:38.800]  這都是我們很期待的日子
[00:00:38.800 --> 00:00:40.960]  希望在這段日子裡
[00:00:40.960 --> 00:00:44.000]  我們和上帝和人有更好的關係
[00:00:44.000 --> 00:00:48.080]  今天我就選了一段大家非常熟悉的聖誕經文
[00:00:48.080 --> 00:00:49.360]  如果你回教會
[00:00:49.360 --> 00:00:51.280]  甚至在教會以外
[00:00:51.280 --> 00:00:52.960]  你可能初初來教會
[00:00:52.960 --> 00:00:57.920]  你都一定聽過博士來朝這段經文或者這個事蹟
[00:00:57.920 --> 00:01:01.280]  不過熟悉習慣了的經文
[00:01:01.280 --> 00:01:04.640]  就不一定等於我們是正確的
[00:01:04.640 --> 00:01:06.960]  我們先試試做個測驗
[00:01:06.960 --> 00:01:09.200]  你知道我們是教書的
[00:01:09.200 --> 00:01:10.960]  教書人都喜歡測驗
[00:01:10.960 --> 00:01:13.280]  我在神樂院裡有時候和同學玩遊戲
[00:01:13.280 --> 00:01:15.040]  就叫做開心小測驗
[00:01:15.040 --> 00:01:16.480]  我今天也是這樣做
[00:01:16.480 --> 00:01:19.440]  請你在心裡要回答的四條問題
[00:01:19.440 --> 00:01:20.800]  關於這件經文的
[00:01:20.800 --> 00:01:23.680]  看你只回答四條多少條
[00:01:23.680 --> 00:01:25.040]  如果你答對了
[00:01:25.040 --> 00:01:25.840]  很恭喜你了
[00:01:25.840 --> 00:01:29.760]  請你可以幫忙在教會裡教教聖經
[00:01:29.760 --> 00:01:31.840]  如果你答錯
[00:01:31.840 --> 00:01:34.880]  就考慮報復波魯神學院的課程
[00:01:34.880 --> 00:01:37.440]  另外就是請你更以續努力
[00:01:37.440 --> 00:01:39.680]  或者在教會裡查經班主也好
[00:01:39.680 --> 00:01:43.280]  希望你能夠提起你的動機
[00:01:43.280 --> 00:01:45.680]  這四條問題是這樣的
[00:01:45.680 --> 00:01:48.720]  第一條就是時間
[00:01:48.720 --> 00:01:54.960]  這裡記載的博士來朝或者耶穌出生
[00:01:54.960 --> 00:01:58.400]  是不是公元零年
[00:01:58.400 --> 00:02:00.640]  我們現在說公元多少年
[00:02:00.640 --> 00:02:03.440]  多數是用耶穌的出生計算
[00:02:03.440 --> 00:02:05.520]  是不是公元零年
[00:02:05.520 --> 00:02:06.720]  你心裡不回答
[00:02:06.720 --> 00:02:07.600]  你要回答的
[00:02:07.600 --> 00:02:10.640]  包括在螢幕前的家中的弟兄姊妹
[00:02:10.640 --> 00:02:12.160]  請你幫忙回答
[00:02:12.160 --> 00:02:15.120]  第一條你是Yes還是No
[00:02:15.120 --> 00:02:16.640]  OK了
[00:02:16.640 --> 00:02:18.240]  第二條
[00:02:18.240 --> 00:02:19.440]  這件事蹟
[00:02:19.440 --> 00:02:21.280]  馬太平第二章這件事蹟
[00:02:21.280 --> 00:02:24.720]  是不是記載耶穌出生的時候
[00:02:24.720 --> 00:02:27.760]  那段時間的事蹟
[00:02:27.760 --> 00:02:29.360]  出生的時候
[00:02:29.360 --> 00:02:30.160]  那段事蹟
[00:02:30.160 --> 00:02:32.400]  Yes和No
