
[00:00:00.000 --> 00:00:10.600]  最後這一堂我都是帶著很愚易的心
[00:00:10.600 --> 00:00:20.300]  在當中讓我們從華語裡面尋找一些方向
[00:00:20.300 --> 00:00:27.220]  雖然這個世界對我們來說有時候都是沒什麼鼓勵性
[00:00:27.220 --> 00:00:31.460]  耶穌基督說過了 世人若不喜歡你
[00:00:31.460 --> 00:00:36.600]  就不是因為不喜歡我們 是不喜歡耶穌基督
[00:00:36.600 --> 00:00:42.380]  不喜歡祂 因為祂是上帝 祂是真理本身
[00:00:42.380 --> 00:00:48.800]  所以世界不喜歡祂 今天我們就講到第三個
[00:00:48.800 --> 00:00:52.460]  就是個人公義從囚
[00:00:52.460 --> 00:00:57.980]  我們請你下一章
[00:00:57.980 --> 00:01:05.400]  一開始那段經文就是尼加書第六章三字
[00:01:05.400 --> 00:01:07.900]  我們一起讀這一字
[00:01:07.900 --> 00:01:12.380]  我的百姓啊 我向你做了什麼呢
[00:01:12.380 --> 00:01:16.280]  我在什麼事上使你厭煩
[00:01:16.280 --> 00:01:22.680]  很明顯的 我在什麼事上使你厭煩
[00:01:22.680 --> 00:01:28.880]  尼加書論到以色列人 現在不是國家了
[00:01:28.880 --> 00:01:32.260]  不是領袖 是整個以色列民
[00:01:32.260 --> 00:01:35.480]  一個個的以色列人
[00:01:35.480 --> 00:01:38.480]  而以色列人最大的問題
[00:01:38.480 --> 00:01:43.600]  這幫以色列人就是厭煩上帝
[00:01:43.600 --> 00:01:50.240]  厭煩這字令我們讀這經文是很吃驚的
[00:01:50.240 --> 00:01:57.060]  就是上帝為什麼和子民的關係這麼差
[00:01:57.060 --> 00:02:00.400]  上帝在說 為什麼呢?
[00:02:00.400 --> 00:02:05.600]  上帝不是責備他們 祂不是說你不對
[00:02:05.600 --> 00:02:10.240]  上帝只是說 為什麼你這麼煩厭我
[00:02:10.240 --> 00:02:11.220]  覺得我這麼煩
[00:02:11.220 --> 00:02:14.040]  你們做媽媽的兒女有沒有這樣說
[00:02:14.040 --> 00:02:17.520]  媽媽 你很煩啊 你不要說了
[00:02:17.520 --> 00:02:20.620]  我幫你做了很多事 幫你收拾了床
[00:02:20.620 --> 00:02:21.920]  煮了早餐給你吃
[00:02:21.920 --> 00:02:24.520]  是不是收拾了床之後 你覺得很煩呢?
[00:02:24.520 --> 00:02:28.120]  是呀 很煩啊 上帝就是這樣
[00:02:28.120 --> 00:02:32.680]  就是說上帝就好像一個慈母那樣
[00:02:32.680 --> 00:02:36.420]  不是罵兒女 而是我幫你做了很多事
[00:02:36.420 --> 00:02:39.240]  上帝就是屈尊降卑
[00:02:39.240 --> 00:02:44.440]  去問以色列人 我做了什麼 你覺得我很煩呢?
[00:02:44.440 --> 00:02:51.880]  所以上帝那種心情 我們真的要了解
[00:02:51.880 --> 00:02:53.260]  他究竟想什麼呢?
[00:02:53.260 --> 00:02:56.280]  如果我們按照聖經來說
[00:02:56.280 --> 00:03:01.000]  上帝說 是不是我帶你離開埃及做錯了呢?
[00:03:01.000 --> 00:03:05.120]  釋放你 從遺牢之家出來得到自由身份
[00:03:05.120 --> 00:03:08.800]  是不是我做錯了 以致你很煩呢?
[00:03:08.800 --> 00:03:11.120]  是不是我將你原本沒有的身份
[00:03:11.120 --> 00:03:15.200]  現在提升為上帝的兒女身份 你覺得很煩呢?
[00:03:15.200 --> 00:03:18.200]  是不是當時摩西亞倫米利安
[00:03:18.200 --> 00:03:20.720]  幫你做了這麼多事 你覺得很煩呢?
[00:03:20.720 --> 00:03:23.640]  是不是我和你立約 還是律法
[00:03:23.640 --> 00:03:28.120]  叫你好好生活 你覺得很煩呢?
[00:03:28.120 --> 00:03:32.400]  如果按照舊約 一直到離家的時候
[00:03:32.400 --> 00:03:35.640]  上帝就一直問 我做了這麼多事
[00:03:35.640 --> 00:03:39.400]  甚至巴蘭要咒你
[00:03:39.400 --> 00:03:43.960]  我使得他咒了變成祝福 是不是覺得很煩呢?
[00:03:43.960 --> 00:03:49.400]  這一種心情 正正就是上帝不明白
[00:03:49.400 --> 00:03:53.080]  說我幫你做這麼多事 你都覺得這麼煩
[00:03:53.080 --> 00:03:55.560]  有時候做媽媽都很難明白
[00:03:55.560 --> 00:03:59.920]  兒女不停做這麼多事 都不滿意
[00:03:59.920 --> 00:04:04.880]  現在的小孩學了一些東西 很有趣的
[00:04:04.880 --> 00:04:07.760]  兒子在他青年期
[00:04:07.760 --> 00:04:12.360]  他不用在外面學什麼心理學 社工教育
[00:04:12.360 --> 00:04:19.080]  他說 媽媽 你知道我現在是青年反叛期
[00:04:19.080 --> 00:04:21.680]  所以我是會不聽你的話的
[00:04:21.680 --> 00:04:24.320]  不過心理學家就說
[00:04:24.320 --> 00:04:26.960]  過了這段期我就會很聽話了
[00:04:26.960 --> 00:04:31.440]  所以我現在反叛你 是有道理的
[00:04:31.440 --> 00:04:34.000]  媽媽聽了真的很生氣
[00:04:34.000 --> 00:04:37.320]  媽媽就說 兒子 你知不知道
[00:04:37.320 --> 00:04:43.400]  我現在是更年期 我很喜歡罵兒子
[00:04:43.400 --> 00:04:48.000]  她說 過了更年期我就不罵你了
