
[00:00:00.000 --> 00:00:06.000]  各位兄弟姐妹 主佬平安
[00:00:06.000 --> 00:00:08.000]  感謝神
[00:00:08.000 --> 00:00:12.000]  我們今年從一月開始
[00:00:12.000 --> 00:00:16.000]  一起來打開《舊約聖經》
[00:00:16.000 --> 00:00:19.000]  摩西五經
[00:00:19.000 --> 00:00:24.000]  已經讀到今天文掃記了
[00:00:24.000 --> 00:00:28.000]  今天我們選擇要讀的是
[00:00:28.000 --> 00:00:32.000]  文掃記二十七章
[00:00:32.000 --> 00:00:38.000]  第一節到十一節
[00:00:38.000 --> 00:00:41.000]  這一段經文
[00:00:41.000 --> 00:00:46.000]  我不要在講台上說書到
[00:00:46.000 --> 00:00:51.000]  不過我猜想你未必會讀過
[00:00:51.000 --> 00:00:57.000]  尤其是在崇拜港道的當中
[00:00:57.000 --> 00:01:02.000]  上星期我們讀文掃記開頭
[00:01:02.000 --> 00:01:05.000]  數點百姓
[00:01:05.000 --> 00:01:08.000]  二十七章講的是
[00:01:08.000 --> 00:01:16.000]  西羅菲哈這個人的五個女兒
[00:01:16.000 --> 00:01:18.000]  有什麼好說的
[00:01:18.000 --> 00:01:20.000]  我們的主題
[00:01:20.000 --> 00:01:23.000]  我們嘗試從摩西五經
[00:01:23.000 --> 00:01:27.000]  去看聖經是如何教導我們
[00:01:27.000 --> 00:01:31.000]  關於性別的神學
[00:01:31.000 --> 00:01:34.000]  所以從創世紀開始創造天地
[00:01:34.000 --> 00:01:37.000]  神按他的形象
[00:01:37.000 --> 00:01:41.000]  做男做女
[00:01:41.000 --> 00:01:43.000]  你可能沒有印象
[00:01:43.000 --> 00:01:44.000]  給你看看吧
[00:01:44.000 --> 00:01:51.000]  張開及記舊因歷史的開頭
[00:01:51.000 --> 00:01:56.000]  經文記載很多女性的名字
[00:01:56.000 --> 00:02:03.000]  不單單集中在摩西
[00:02:03.000 --> 00:02:06.000]  這個偉大的領袖
[00:02:06.000 --> 00:02:09.000]  一定是男性
[00:02:09.000 --> 00:02:13.000]  四月份我們看了利美記一章
[00:02:13.000 --> 00:02:16.000]  最短的經文在五經當中
[00:02:16.000 --> 00:02:19.000]  但又是最難讀的經文
[00:02:19.000 --> 00:02:21.000]  我不重複了
[00:02:21.000 --> 00:02:25.000]  這些是過去我們解釋了
[00:02:25.000 --> 00:02:27.000]  今天來到文掃記
[00:02:27.000 --> 00:02:32.000]  這章不見經傳的經文
[00:02:32.000 --> 00:02:37.000]  原來是非常之重要的
[00:02:37.000 --> 00:02:40.000]  所以我讀一次給大家聽
[00:02:40.000 --> 00:02:43.000]  我沒有把經文打出來
[00:02:43.000 --> 00:02:45.000]  想你學學
[00:02:45.000 --> 00:02:48.000]  跟初期教會的弟兄姊妹一樣
[00:02:48.000 --> 00:02:51.000]  聽聖經的說話
[00:02:51.000 --> 00:02:53.000]  可以嗎?
[00:02:53.000 --> 00:02:55.000]  專心聆聽
[00:02:55.000 --> 00:02:59.000]  這是一個很簡單的大綱
[00:02:59.000 --> 00:03:02.000]  這十一節的經文
[00:03:02.000 --> 00:03:08.000]  屬約瑟的兒子馬拿西的國族
[00:03:08.000 --> 00:03:11.000]  有馬拿西的元孫
[00:03:11.000 --> 00:03:13.000]  馬吉的曾孫
[00:03:13.000 --> 00:03:15.000]  基列的孫子
[00:03:15.000 --> 00:03:17.000]  希弗的兒子
[00:03:17.000 --> 00:03:21.000]  西羅菲哈的女兒
[00:03:21.000 --> 00:03:31.000]  名叫馬拉羅奧赫拉密加德薩
[00:03:31.000 --> 00:03:33.000]  他們前來
[00:03:33.000 --> 00:03:37.000]  站在會幕門口
[00:03:37.000 --> 00:03:42.000]  在摩西和祭司以利亞薩並眾首領
[00:03:42.000 --> 00:03:47.000]  與全會眾面前說
[00:03:47.000 --> 00:03:50.000]  第三節他們說什麼呢?
[00:03:50.000 --> 00:03:55.000]  我們的父親死在曠野
[00:03:55.000 --> 00:04:01.000]  他不與赫拉同黨聚集攻擊耶和華
[00:04:01.000 --> 00:04:05.000]  是在自己最終死的
[00:04:05.000 --> 00:04:08.000]  他也沒有兒子
[00:04:08.000 --> 00:04:13.000]  為什麼因我們的父親沒有兒子
[00:04:13.000 --> 00:04:19.000]  就把他的名從他族中除掉呢?
[00:04:19.000 --> 00:04:24.000]  求你們在我們父親的弟兄中
