
[00:00:00.000 --> 00:00:06.000]  各位電影姐妹、各位朋友,你們好!
[00:00:06.000 --> 00:00:12.000]  歡迎大家參加我們這個三藩市播道會五堂的網上崇拜
[00:00:12.000 --> 00:00:15.000]  我們繼續是思想啟示錄的信息
[00:00:15.000 --> 00:00:22.000]  今天我們去到二十四講,即是啟示錄第十一章,一節至六節
[00:00:22.000 --> 00:00:24.000]  聖殿風雲
[00:00:24.000 --> 00:00:27.000]  開始的時候請我們同心低頭,我一同討告
[00:00:27.000 --> 00:00:34.000]  慈悲仰天父,我們本心多謝你,給我們機會去查考你的華語
[00:00:34.000 --> 00:00:40.000]  特別是在這個末世的時代,教導我們知道你給我們一個什麼的信息
[00:00:40.000 --> 00:00:48.000]  求主啟開我們的心,讓我們能夠明白你的華語,又懂得怎樣將你的華語活用在我們的心靈裡面
[00:00:48.000 --> 00:00:53.000]  我們這樣去祈禱,奉耶穌基督名求,對
[00:00:53.000 --> 00:01:00.000]  在1967年以色列和阿拉伯國家進行的六日戰爭當中
[00:01:00.000 --> 00:01:08.000]  到六月七日,以色列的軍隊成功進入了耶路撒冷東面
[00:01:08.000 --> 00:01:15.000]  聖殿山和奪取了西場,他們是從約旦的軍中取得的
[00:01:15.000 --> 00:01:20.000]  這個西場有名"哭場",是昔日聖殿唯一流傳的一棟牆
[00:01:20.000 --> 00:01:25.000]  以色列人從奪這個西場到聖殿山有2000年之久
[00:01:25.000 --> 00:01:31.000]  所以所有的以色列士兵都非常歡喜
[00:01:31.000 --> 00:01:37.000]  當時在以色列軍隊裡面的一個拉比,叫Solomo Goran
[00:01:37.000 --> 00:01:43.000]  率領500個以色列的士兵,在哭場之下,吹起國號
[00:01:43.000 --> 00:01:48.000]  並且引用C編137編,就這樣說
[00:01:48.000 --> 00:01:54.000]  耶路撒冷,我若忘記你,請願我們右手忘記技巧
[00:01:54.000 --> 00:02:01.000]  我若不紀念你,若不看耶路撒冷過於我最喜樂的
[00:02:01.000 --> 00:02:05.000]  請願我的舌頭貼於上堂
[00:02:05.000 --> 00:02:10.000]  C編137編,是2000年被擄到巴比倫的時候
[00:02:10.000 --> 00:02:15.000]  他們在巴比倫所寫的,紀念耶路撒冷
[00:02:15.000 --> 00:02:21.000]  如果我忘記耶路撒冷,請願我用來搵食的右手
[00:02:21.000 --> 00:02:25.000]  我都忘記了右手所做的技巧
[00:02:25.000 --> 00:02:30.000]  如果我不紀念你,不看重耶路撒冷過於我所喜愛的
