
[00:00:00.000 --> 00:00:05.000]  我們一起思想神自己的說話 神的真理
[00:00:05.000 --> 00:00:08.000]  今天我們仍然沿著我們北宣家路的主題
[00:00:08.000 --> 00:00:12.000]  我們思想關於祈禱 祈禱的真理
[00:00:12.000 --> 00:00:16.000]  剛才我們所讀的那段聖經就是我們今天特別要思想的
[00:00:16.000 --> 00:00:20.000]  我們請大家打開剛才的《馬太福音》第十五章
[00:00:20.000 --> 00:00:25.000]  《馬太福音》第十五章 第21節至28節
[00:00:25.000 --> 00:00:30.000]  剛才我們讀的時候你也記得那件事
[00:00:30.000 --> 00:00:35.000]  關於耶穌和一個外邦的女人互相對話
[00:00:35.000 --> 00:00:41.000]  和他的女兒被鬼附 得到醫治的事件
[00:00:41.000 --> 00:00:44.000]  其實這件事件不僅在《馬太福音》有記載
[00:00:44.000 --> 00:00:46.000]  在《馬可福音》第七章也有記載
[00:00:46.000 --> 00:00:48.000]  不過記得比較簡略一點
[00:00:48.000 --> 00:00:51.000]  我們對照兩個福音一起的時候就比較全面
[00:00:51.000 --> 00:00:55.000]  不過時間的問題我不會和大家揭來揭去
[00:00:55.000 --> 00:00:56.000]  大家不需要擔心
[00:00:56.000 --> 00:01:00.000]  《馬太福音》基本上大部分的內容都已經在那裡
[00:01:00.000 --> 00:01:03.000]  我相信剛才我們讀這段聖經的時候
[00:01:03.000 --> 00:01:07.000]  我們很多弟兄姊妹都會有一種困擾
[00:01:07.000 --> 00:01:11.000]  首先困擾就是為什麼耶穌好像很冷酷
[00:01:11.000 --> 00:01:14.000]  耶穌好像對這個女人
[00:01:14.000 --> 00:01:17.000]  因為外邦的女人好像很看不起他
[00:01:17.000 --> 00:01:20.000]  甚至用這個字眼我們覺得很反感
[00:01:20.000 --> 00:01:21.000]  說他是狗
[00:01:21.000 --> 00:01:25.000]  兒女的東西 耶穌說不要給狗吃
[00:01:25.000 --> 00:01:27.000]  幸好新易館也好
[00:01:27.000 --> 00:01:29.000]  叫做小狗
[00:01:29.000 --> 00:01:32.000]  小狗和狗是很不同的
[00:01:32.000 --> 00:01:33.000]  狗是很賤的
[00:01:33.000 --> 00:01:35.000]  我們在中國傳統裡面
[00:01:35.000 --> 00:01:39.000]  當時的猶太人對狗都不是特別有好感
[00:01:39.000 --> 00:01:42.000]  不過這個也很好
[00:01:42.000 --> 00:01:44.000]  新易館也有很多人
[00:01:44.000 --> 00:01:46.000]  這個也很好
[00:01:46.000 --> 00:01:48.000]  新易館也叫做小狗
[00:01:48.000 --> 00:01:50.000]  也不是為了解釋
[00:01:50.000 --> 00:01:52.000]  這個字本身
[00:01:52.000 --> 00:01:55.000]  Cunarion這個字是小狗
[00:01:55.000 --> 00:01:56.000]  就是小狗
[00:01:56.000 --> 00:01:58.000]  家裡養的寵物狗
[00:01:58.000 --> 00:02:01.000]  現在寵物狗的感覺就很不同
[00:02:01.000 --> 00:02:05.000]  尤其是年輕人說小狗很可愛
[00:02:05.000 --> 00:02:07.000]  所以就不會有一種
[00:02:07.000 --> 00:02:09.000]  好像很看不起的感覺
[00:02:09.000 --> 00:02:12.000]  不過始終都好像覺得主耶穌
[00:02:12.000 --> 00:02:14.000]  是他人於千里之外
[00:02:14.000 --> 00:02:17.000]  究竟為什麼會這樣做呢?
[00:02:17.000 --> 00:02:20.000]  首先我們不是要慢慢解釋聖經
[00:02:20.000 --> 00:02:22.000]  很簡單的答案
[00:02:22.000 --> 00:02:25.000]  耶穌有沒有最後治好他的女兒呢?
[00:02:25.000 --> 00:02:26.000]  有
[00:02:26.000 --> 00:02:27.000]  就是了
[00:02:27.000 --> 00:02:28.000]  耶穌怎麼會冷酷呢?
[00:02:28.000 --> 00:02:30.000]  如果冷酷的話就不會治好她
[00:02:30.000 --> 00:02:32.000]  所以整個過程裡面
