
[00:00:00.000 --> 00:00:09.000]  今天是一個所謂的中南子日,根據教會的領歷
[00:00:09.000 --> 00:00:14.000]  不過選了的經文其實都是為了這個壽苦節
[00:00:14.000 --> 00:00:18.000]  這邊的經文其實可以在星期五分享,最適合的
[00:00:18.000 --> 00:00:22.000]  星期五是不會在大家當中,所以就分享這段經文
[00:00:22.000 --> 00:00:25.000]  《書篇》的二篇是一篇很特別的經文
[00:00:25.000 --> 00:00:33.000]  是一個新約的教會,很明顯是覺得耶穌上十教的經驗
[00:00:33.000 --> 00:00:37.000]  是應驗著《書篇》的二篇裡面所提到的內容
[00:00:37.000 --> 00:00:42.000]  我們今天就借用《書篇》的二篇來思想一下
[00:00:42.000 --> 00:00:48.000]  耶穌可能在十教裡面的路上所經歷,他心裡面所經歷的
[00:00:48.000 --> 00:00:51.000]  也都希望成為我們一些的鼓勵
[00:00:51.000 --> 00:00:56.000]  所以今天這篇經文是比較沉重的一段經文
[00:00:56.000 --> 00:00:58.000]  有時候說是說一些開心的
[00:00:58.000 --> 00:01:01.000]  不過今天就說一篇很沉重的經文
[00:01:01.000 --> 00:01:07.000]  如果當中你現在生命很開心的,那你想像一下
[00:01:07.000 --> 00:01:10.000]  如果你的生命之中是很沉重的此刻
[00:01:10.000 --> 00:01:12.000]  希望都帶給大家一些鼓勵
[00:01:12.000 --> 00:01:15.000]  我們開始的時候再做一個討告
[00:01:15.000 --> 00:01:24.000]  主耶穌我們來到你的面前,我們再次去默想這個Vedro Rossa這條受苦的路
[00:01:24.000 --> 00:01:30.000]  我們不明白你怎麼會選擇走上這條路
[00:01:30.000 --> 00:01:39.000]  是什麼驅使你自願去忍受眾人的辱罵,經歷與神的分開
[00:01:39.000 --> 00:01:44.000]  主耶穌我們不明白,但是我們謝謝你
[00:01:44.000 --> 00:01:48.000]  因為你願意走這條路,所以我們知道我們生命之中
[00:01:48.000 --> 00:01:54.000]  無論走到什麼光景,走到人生最低的低谷的時候
[00:01:54.000 --> 00:01:59.000]  其實你在那個時候就最貼近我們,你與我們同行
[00:01:59.000 --> 00:02:05.000]  今天一段聽到的時間,求你再次扶起我們每一個軟弱的心靈
[00:02:05.000 --> 00:02:10.000]  求你祝福我們,討告奉耶穌基督命
[00:02:10.000 --> 00:02:16.000]  《詩篇夜2篇》,我講過新約的作者是很喜歡這一篇的
