
[00:00:00.000 --> 00:00:05.180]  我想和大家分享一個題目是關於亂世的
[00:00:05.180 --> 00:00:07.480]  不知道大家有沒有覺得現在香港
[00:00:07.480 --> 00:00:11.840]  或者我們這個世界都很亂 越來越亂
[00:00:11.840 --> 00:00:17.920]  我們自己這個社會都是很多爭拗
[00:00:17.920 --> 00:00:21.200]  很多都不知道哪個是真理
[00:00:21.200 --> 00:00:25.520]  外面的社會也是 外面的世界
[00:00:25.520 --> 00:00:29.900]  現在有很多恐怖主義 很多戰爭
[00:00:29.900 --> 00:00:33.120]  我想看看我們應該怎麼做呢?
[00:00:33.120 --> 00:00:36.440]  我想說就是聖經
[00:00:36.440 --> 00:00:39.680]  其實它當時的處境比我們更差的
[00:00:39.680 --> 00:00:41.920]  我們這個不是最差的情況
[00:00:41.920 --> 00:00:43.920]  在耶穌這個時候
[00:00:43.920 --> 00:00:51.600]  它就是在說耶穌臨沒上十字架的時候
[00:00:51.600 --> 00:00:54.320]  我們看馬科音第十三章
[00:00:54.320 --> 00:00:57.640]  就是在說一個情況
[00:00:57.640 --> 00:01:00.320]  他們所面對的問題比我們更加差
[00:01:00.320 --> 00:01:03.120]  我們看看耶穌怎麼教他們的門徒
[00:01:03.120 --> 00:01:06.720]  怎麼去自處
[00:01:06.720 --> 00:01:09.540]  我們看馬科音第十三章第一節
[00:01:09.540 --> 00:01:16.140]  我們的聖經是1111頁 很對的 1111
[00:01:16.140 --> 00:01:22.180]  四個一 馬科音十三章第一節
[00:01:22.180 --> 00:01:27.180]  或者大家看我讀 我們讀到第27節
[00:01:27.180 --> 00:01:30.260]  耶穌從電裡出來的時候
[00:01:30.260 --> 00:01:33.860]  有一個門徒對他說
[00:01:33.860 --> 00:01:38.580]  老師請看這個多麼美好的石頭
[00:01:38.580 --> 00:01:40.980]  多麼美好的建築
[00:01:40.980 --> 00:01:42.880]  看著聖殿說
[00:01:42.880 --> 00:01:46.800]  耶穌對他說 你看見這些偉大的建築嗎?
[00:01:46.800 --> 00:01:51.060]  將來必會有一塊石頭留在另一塊石頭上面
[00:01:51.060 --> 00:01:54.980]  每一塊都要拆下來
[00:01:54.980 --> 00:01:59.520]  第三節 耶穌在格蘭山上面對聖殿坐著
[00:01:59.520 --> 00:02:03.760]  彼得、雅各、約翰和安德烈私下問他
[00:02:03.760 --> 00:02:07.980]  請告訴我們什麼時候會有這些事呢?
[00:02:07.980 --> 00:02:13.640]  這一切事將要成就的時候有什麼預兆呢?
[00:02:13.640 --> 00:02:16.680]  耶穌就告訴他們說
[00:02:16.680 --> 00:02:20.740]  你們要小心 不要被人迷惑
[00:02:20.740 --> 00:02:25.340]  有許多人要假冒我的名說我就是基督
[00:02:25.340 --> 00:02:28.680]  並且要迷惑許多的人
[00:02:28.680 --> 00:02:33.420]  你們聽見戰爭和戰爭的風聲也不要驚慌
[00:02:33.420 --> 00:02:37.540]  這是免不了的 不過結局還沒有到
[00:02:37.540 --> 00:02:40.840]  一個民族要起來攻打另一個民族
[00:02:40.840 --> 00:02:43.680]  一個國家要起來攻打另一個國家
[00:02:43.680 --> 00:02:47.220]  到處要有地震、有饑荒
[00:02:47.220 --> 00:02:50.420]  這些不過是痛苦的開始
[00:02:50.420 --> 00:02:52.420]  但你們要小心
[00:02:52.420 --> 00:02:55.180]  因為人要把你們交給公議會
[00:02:55.180 --> 00:02:58.220]  你們要在會堂裡被鞭打
[00:02:58.220 --> 00:03:02.520]  又要為我的原故站在總督和君王面前
[00:03:02.520 --> 00:03:04.520]  向他們作見證
[00:03:04.520 --> 00:03:07.760]  然而福音必須先傳給萬民
[00:03:07.760 --> 00:03:10.240]  人把你們抓去送官的時候
[00:03:10.240 --> 00:03:14.100]  用不著預先思慮要說什麼
[00:03:14.100 --> 00:03:17.940]  到那時候此刻你們什麼話你們就說什麼
[00:03:17.940 --> 00:03:21.140]  因為說話的不是你們而是聖靈
[00:03:21.140 --> 00:03:24.740]  弟兄要出賣弟兄 父親要出賣兒子
[00:03:24.740 --> 00:03:26.920]  甚至把他們置於死地
[00:03:26.920 --> 00:03:30.720]  兒女要搏抑 父母害死他們
[00:03:30.720 --> 00:03:34.000]  你們為我的名要被眾人恨惡
[00:03:34.000 --> 00:03:37.680]  然而堅忍到底的必然得救
[00:03:37.680 --> 00:03:41.360]  當你們看見那造成荒涼的可憎者
[00:03:41.360 --> 00:03:45.140]  站在不該站的地方 讀者必須領悟
[00:03:45.140 --> 00:03:48.580]  那時住在流泰的應當逃到山上
[00:03:48.580 --> 00:03:50.580]  在房頂上的不要下來
[00:03:50.580 --> 00:03:53.980]  也不要進到屋子裡拿什麼東西
[00:03:53.980 --> 00:03:57.420]  在田野的也不要回去取衣服
[00:03:57.420 --> 00:04:02.580]  當那些日子懷孕的和養孩子的有和了
[00:04:02.580 --> 00:04:06.740]  你們應當祈求不要讓這些事在冬天發生
[00:04:06.740 --> 00:04:09.020]  因為那些日子必有災難
[00:04:09.020 --> 00:04:13.420]  這是從神創世的開始到現在未曾有過的
[00:04:13.420 --> 00:04:15.420]  以後也必不會再有
[00:04:15.420 --> 00:04:18.220]  如果不是主減少那些日子
[00:04:18.220 --> 00:04:20.220]  沒有一個人可以存活
[00:04:20.220 --> 00:04:22.220]  但是為了自己的選民
[00:04:22.220 --> 00:04:24.220]  祂必使那些日子減少
[00:04:24.220 --> 00:04:26.820]  那時如果有人對你們說
[00:04:26.820 --> 00:04:29.820]  看那基督在這裡 看那祂在那裡
[00:04:29.820 --> 00:04:31.220]  你們不要信
[00:04:31.220 --> 00:04:35.020]  因為必有假基督和假先知出現
[00:04:35.020 --> 00:04:37.020]  行神跡和其事
[00:04:37.020 --> 00:04:39.020]  如果可以的話
[00:04:39.020 --> 00:04:41.020]  連選民也要迷惑了
[00:04:41.020 --> 00:04:43.020]  所以你們應當小心
[00:04:43.020 --> 00:04:47.020]  我已經事先把一切都告訴你們了
