
[00:00:00.000 --> 00:00:09.000]  我們這個聖經可信媽系列已經講到第四講
[00:00:09.000 --> 00:00:13.000]  第一講我們說聖經是否真是神的話語呢?
[00:00:13.000 --> 00:00:18.000]  我們說是神將祂自己彰顯出來讓我們認識祂
[00:00:18.000 --> 00:00:21.000]  第二講我們說既然是這樣
[00:00:21.000 --> 00:00:25.000]  神如何將這些啟示傳達給作者?
[00:00:25.000 --> 00:00:31.000]  這就是神的密使,神如何密使聖經給作者
[00:00:31.000 --> 00:00:33.000]  上一次我們講了
[00:00:33.000 --> 00:00:37.000]  如果聖經真是神所密使應該是沒有錯的
[00:00:37.000 --> 00:00:40.000]  原稿的聖經是沒有錯的
[00:00:40.000 --> 00:00:44.000]  我們說的確原稿的聖經是沒有錯的
[00:00:44.000 --> 00:00:49.000]  今天要和大家講的就是我們手上的聖經是如何得來的
[00:00:49.000 --> 00:00:54.000]  這也包括了文士抄寫聖經
[00:00:54.000 --> 00:00:57.000]  我們說原稿是沒有錯的
[00:00:57.000 --> 00:00:59.000]  文士抄寫又有沒有錯呢?
[00:00:59.000 --> 00:01:02.000]  我們今天就會來看這個問題
[00:01:02.000 --> 00:01:05.000]  聖經是甚麼呢?
[00:01:05.000 --> 00:01:11.000]  聖經是由希臘文Bliblos這個字來的
[00:01:11.000 --> 00:01:18.000]  Bliblos這個字就是所有抄寫在蒲草紙上的文件
[00:01:18.000 --> 00:01:20.000]  都叫做Bliblos
[00:01:20.000 --> 00:01:24.000]  你將這些蒲草紙的文件集合在一起
[00:01:24.000 --> 00:01:26.000]  變成一本書
[00:01:26.000 --> 00:01:30.000]  這就變成了希臘文的Bliblion這個字
[00:01:30.000 --> 00:01:33.000]  Bliblion只是一本書
[00:01:33.000 --> 00:01:37.000]  我們知道我們手上的聖經有很多本書卷
[00:01:37.000 --> 00:01:40.000]  所以其實應該叫做Bliblia
[00:01:40.000 --> 00:01:43.000]  所以這就是聖經這個字Bliblia
[00:01:43.000 --> 00:01:46.000]  是複數、是眾數的
[00:01:46.000 --> 00:01:52.000]  其實猶太人在耶穌基督來世之前
[00:01:52.000 --> 00:01:56.000]  他們已經叫他們的聖經做The Books
[00:01:56.000 --> 00:01:59.000]  重書就是Bliblia這個字
[00:01:59.000 --> 00:02:02.000]  我們說了聖經
[00:02:02.000 --> 00:02:04.000]  約這個字呢?
[00:02:04.000 --> 00:02:06.000]  新約舊約
[00:02:06.000 --> 00:02:13.000]  約這個字是由原文的希臘文Diathetikis演變而成
[00:02:13.000 --> 00:02:16.000]  變成了拉丁文的Testamentum
[00:02:16.000 --> 00:02:20.000]  再由Testamentum變成Testament這個字
