
[00:00:00.000 --> 00:00:02.000]  我請大家和我一起同心祈禱
[00:00:02.000 --> 00:00:06.000]  主啊!你的說話是靈,是生命
[00:00:06.000 --> 00:00:09.000]  你曾經用你的說話創造天地
[00:00:09.000 --> 00:00:13.000]  又用你的說話來拯救生命
[00:00:13.000 --> 00:00:19.000]  主啊!我們何等需要你自己的真道進入我們生命當中
[00:00:19.000 --> 00:00:24.000]  所以主求你思念我們,癡下你的真道
[00:00:24.000 --> 00:00:30.000]  讓我們心靈靈神
[00:00:30.000 --> 00:00:36.000]  求你賜給我們好像一顆種子落在柔和的土地
[00:00:36.000 --> 00:00:39.000]  能夠去靈神
[00:00:39.000 --> 00:00:43.000]  讓你的道在我們生命中可以紮根,可以結果
[00:00:43.000 --> 00:00:47.000]  主啊!我們等候你,讓我們再次癡下你的恩言
[00:00:47.000 --> 00:00:51.000]  讓我們一同在你面前蒙受恩惠
[00:00:51.000 --> 00:00:56.000]  我們仰望祈禱,奉耶穌基督聖靈祈求,阿門
[00:00:56.000 --> 00:01:00.000]  我們今天繼續思想馬拉基書的經文
[00:01:00.000 --> 00:01:03.000]  來到第二章的第十節
[00:01:03.000 --> 00:01:07.000]  我們一起思想不可以詭詐待人
[00:01:07.000 --> 00:01:13.000]  大家可以翻開聖經,從第二章第十節開始看
[00:01:13.000 --> 00:01:18.000]  講起基督的教導
[00:01:18.000 --> 00:01:24.000]  講起詭詐,我想回到有人曾經說
[00:01:24.000 --> 00:01:30.000]  講述對英國的世代是一個沒有忠信的世代
[00:01:30.000 --> 00:01:36.000]  這個世界越來越少人願意按他的承諾走出來
[00:01:36.000 --> 00:01:39.000]  我們其實有很多體驗
[00:01:39.000 --> 00:01:43.000]  這個世界很多人不再能夠有信用
[00:01:43.000 --> 00:01:48.000]  曾經可以言之鑿鑿地承諾一些事
[00:01:48.000 --> 00:01:51.000]  但可以隔天就推翻
[00:01:51.000 --> 00:01:54.000]  這些山盟海誓的毀身
[00:01:54.000 --> 00:01:58.000]  但很快就放棄了
[00:01:58.000 --> 00:02:01.000]  很多人在社會上很多交往中
[00:02:01.000 --> 00:02:05.000]  很多生意或者一些交往
[00:02:05.000 --> 00:02:09.000]  就會盡量寫下一些契約
[00:02:09.000 --> 00:02:11.000]  寫下很多不同的條款
[00:02:11.000 --> 00:02:14.000]  希望能夠保證自己不會損失
[00:02:14.000 --> 00:02:19.000]  你會發覺今天在社會上很多不同的契約合約
[00:02:19.000 --> 00:02:22.000]  都會越來越長
[00:02:22.000 --> 00:02:25.000]  發覺漏了一樣他都會反悔
[00:02:25.000 --> 00:02:28.000]  漏了一些他都會改變
[00:02:28.000 --> 00:02:30.000]  因此很多契約越來越長
[00:02:30.000 --> 00:02:35.000]  但都不能夠保證對方一定按照承諾做出來
[00:02:35.000 --> 00:02:40.000]  因此後果就是越來越多法律的訴訟
[00:02:40.000 --> 00:02:43.000]  很多不同的案件提上去
[00:02:43.000 --> 00:02:45.000]  很複雜
[00:02:45.000 --> 00:02:50.000]  有人用很多方法嘗試改變曾經有的承諾
[00:02:50.000 --> 00:02:55.000]  有人說這種情況是一種不負責任的個人主義
[00:02:55.000 --> 00:02:58.000]  是充斥著這個社會
[00:02:58.000 --> 00:03:01.000]  或者說我突然間感受不好
[00:03:01.000 --> 00:03:03.000]  突然間不太開心
[00:03:03.000 --> 00:03:06.000]  所以對不起那些事不做了
[00:03:06.000 --> 00:03:10.000]  很容易就會按照自己的情緒和感受
[00:03:10.000 --> 00:03:13.000]  改變了自己的承諾
[00:03:13.000 --> 00:03:16.000]  產生了很多背信的事情
[00:03:16.000 --> 00:03:20.000]  當我們回看這些我們所經歷的社會情況時
[00:03:20.000 --> 00:03:23.000]  都會明白為何上帝在《瑪麗基書》
[00:03:23.000 --> 00:03:26.000]  特別強調一件事情
[00:03:26.000 --> 00:03:30.000]  就是我們屬神的人要守忠信
[00:03:30.000 --> 00:03:32.000]  要忠誠待人
[00:03:32.000 --> 00:03:35.000]  更加是忠心對神
[00:03:35.000 --> 00:03:38.000]  順便說到這位上帝
[00:03:38.000 --> 00:03:41.000]  他本身是一位信實的上帝
[00:03:41.000 --> 00:03:44.000]  順便說到上帝是信實的
[00:03:44.000 --> 00:03:46.000]  你一定會記得詩篇所說
[00:03:46.000 --> 00:03:51.000]  上帝的寶座以公平和公義為寶座的根基
[00:03:51.000 --> 00:03:56.000]  他的慈愛和誠實走在他前面
[00:03:56.000 --> 00:04:03.000]  慈愛和誠實是上帝很核心的屬性
[00:04:03.000 --> 00:04:06.000]  他告訴我們他是不會改變的
[00:04:06.000 --> 00:04:08.000]  因為他是信實的上帝
