
[00:00:00.000 --> 00:00:02.000]  頂智慕人,我想問問大家
[00:00:02.000 --> 00:00:05.800]  有多少人有經歷過巧合
[00:00:05.800 --> 00:00:08.320]  真的想都想不到的
[00:00:08.320 --> 00:00:09.840]  就是這麼巧合
[00:00:09.840 --> 00:00:11.960]  當你最有需要
[00:00:11.960 --> 00:00:13.680]  正在想著那件事的時候
[00:00:13.680 --> 00:00:15.000]  突然間有個人出來
[00:00:15.000 --> 00:00:16.240]  就跟你說那件事
[00:00:16.240 --> 00:00:17.200]  而這個人呢
[00:00:17.200 --> 00:00:18.480]  就經歷過那件事
[00:00:18.480 --> 00:00:20.240]  試過的舉手,好不好?
[00:00:20.240 --> 00:00:21.680]  這麼多人
[00:00:21.680 --> 00:00:22.800]  你都巧合過的
[00:00:22.800 --> 00:00:25.600]  你去找一件事的時候
[00:00:25.600 --> 00:00:27.120]  找來找去找不到的
[00:00:27.120 --> 00:00:28.520]  結果呢
[00:00:28.520 --> 00:00:29.680]  你都放棄了
[00:00:29.960 --> 00:00:31.160]  突然之間呢
[00:00:31.160 --> 00:00:31.920]  嘩
[00:00:31.920 --> 00:00:35.120]  竟然出現在眼前
[00:00:35.120 --> 00:00:38.640]  原來你就是那件事沒有摸過
[00:00:38.640 --> 00:00:39.440]  一揭開
[00:00:39.440 --> 00:00:40.440]  原來就在那裡
[00:00:40.440 --> 00:00:41.880]  有幾人試過的
[00:00:41.880 --> 00:00:43.080]  找來找去找不到
[00:00:43.080 --> 00:00:44.760]  結果就是這樣出現在眼前
[00:00:44.760 --> 00:00:46.640]  嘩,又是這麼多人試過
[00:00:46.640 --> 00:00:48.120]  巧合
[00:00:48.120 --> 00:00:51.200]  人生裡面是不是真的這麼多巧合呢?
[00:00:51.200 --> 00:00:53.480]  我給大家來看看
[00:00:53.480 --> 00:00:57.000]  一些不可以用巧合
[00:00:57.000 --> 00:00:58.560]  解釋的東西
[00:00:59.400 --> 00:01:01.480]  聖經的人物阿伯拉罕
[00:01:01.480 --> 00:01:05.160]  99歲
[00:01:05.160 --> 00:01:09.440]  他仍然都質疑神的話
[00:01:09.440 --> 00:01:12.800]  他說你的後裔會多到
[00:01:12.800 --> 00:01:14.960]  天上的星、地上的沙這麼多
[00:01:14.960 --> 00:01:18.080]  那麼阿伯拉罕就以為
[00:01:18.080 --> 00:01:20.240]  有一個過計了的
