
[00:00:00.000 --> 00:00:03.280]  剛才以琳姐妹來自安徽省
[00:00:03.280 --> 00:00:06.000]  她對電腦真的不熟
[00:00:06.000 --> 00:00:08.000]  我們找同工請她
[00:00:08.000 --> 00:00:09.280]  她真的很憑信心
[00:00:09.280 --> 00:00:10.280]  她說我肯學
[00:00:10.280 --> 00:00:11.600]  做了兩年多
[00:00:11.600 --> 00:00:14.480]  她手上的學生應該超過400個學生
[00:00:14.480 --> 00:00:15.880]  所以不容易
[00:00:15.880 --> 00:00:17.200]  每一天對著電腦
[00:00:17.200 --> 00:00:19.880]  真的眼光發青光
[00:00:19.880 --> 00:00:22.680]  但每天都這樣一直做
[00:00:22.680 --> 00:00:23.880]  所以我很欣賞她本身
[00:00:23.880 --> 00:00:25.880]  她都是空神
[00:00:25.880 --> 00:00:27.880]  不是空神惡煞的空神
[00:00:27.880 --> 00:00:30.880]  是空中神學院的空神
[00:00:30.880 --> 00:00:32.480]  這間明白了吧
[00:00:32.480 --> 00:00:34.080]  剛才我們為何這麼兇
[00:00:34.080 --> 00:00:36.080]  訓練空神出來
[00:00:36.080 --> 00:00:37.680]  不是這個意思
[00:00:37.680 --> 00:00:40.680]  所以希望大家紀念她
[00:00:40.680 --> 00:00:42.880]  她自己也是空中神學院的畢業生
[00:00:42.880 --> 00:00:44.880]  所以我們都很感恩
[00:00:44.880 --> 00:00:46.880]  她能夠參與我們的服侍團隊
[00:00:46.880 --> 00:00:49.880]  我們中國有七位同工
[00:00:49.880 --> 00:00:51.280]  她是其中一位
[00:00:51.280 --> 00:00:52.880]  所以我特意這次
[00:00:52.880 --> 00:00:54.880]  她第一次來香港
[00:00:54.880 --> 00:00:55.880]  第一次來
[00:00:55.880 --> 00:00:57.880]  我要帶她去吃臭豆腐
[00:00:57.880 --> 00:00:59.880]  拿大腸
[00:00:59.880 --> 00:01:01.880]  接著她下年不會來
[00:01:01.880 --> 00:01:02.880]  所以都多謝
[00:01:02.880 --> 00:01:03.880]  我不知道大家知不知道
[00:01:03.880 --> 00:01:04.880]  以琳姐妹是你們教會
[00:01:04.880 --> 00:01:06.880]  支持其中一位宣教士
[00:01:06.880 --> 00:01:08.880]  所以我覺得她要來見一下大家
[00:01:08.880 --> 00:01:10.880]  是應該的
[00:01:10.880 --> 00:01:11.880]  正如我來見一下大家
[00:01:11.880 --> 00:01:13.880]  都是應該的
[00:01:13.880 --> 00:01:16.880]  不過這次預備這五堂訊息
[00:01:16.880 --> 00:01:18.880]  真的不是很容易
[00:01:18.880 --> 00:01:20.880]  如果大家看到你的筆記
[00:01:20.880 --> 00:01:21.880]  你應該明白
[00:01:21.880 --> 00:01:23.880]  真是
[00:01:23.880 --> 00:01:25.880]  是
[00:01:25.880 --> 00:01:27.880]  我不敢說有汗有淚
[00:01:27.880 --> 00:01:31.880]  不過是一番心血
[00:01:31.880 --> 00:01:33.880]  由於我要講摩西五經
[00:01:33.880 --> 00:01:35.880]  經文的章節很多
[00:01:35.880 --> 00:01:37.880]  所以我要求教會如果容許
[00:01:37.880 --> 00:01:39.880]  將經文打出來
[00:01:39.880 --> 00:01:42.880]  而且我都特別highlight了一些你們需要注意的字
[00:01:42.880 --> 00:01:44.880]  這樣讓你看的時候
[00:01:44.880 --> 00:01:46.880]  能夠容易吸收
[00:01:46.880 --> 00:01:48.880]  講摩西五經不容易
[00:01:48.880 --> 00:01:50.880]  我給大家的大綱應該是39頁
[00:01:50.880 --> 00:01:52.880]  一共是11085個字
[00:01:52.880 --> 00:01:54.880]  我不是數過
[00:01:54.880 --> 00:01:55.880]  我用work card
[00:01:55.880 --> 00:01:56.880]  我沒有那麼蠢
[00:01:56.880 --> 00:01:58.880]  就是這樣
