
[00:00:00.000 --> 00:00:08.000]  今天和大家思想經文在楊枯陵六章
[00:00:08.000 --> 00:00:16.000]  經文比較長,我們讀一次,中間有很多解釋
[00:00:16.000 --> 00:00:18.000]  我們讀一次吧
[00:00:18.000 --> 00:00:21.000]  (廣東話)
[00:00:21.000 --> 00:00:24.000]  (廣東話)
[00:00:24.000 --> 00:00:27.000]  (廣東話)
[00:00:27.000 --> 00:00:30.000]  (廣東話)
[00:00:31.000 --> 00:00:34.000]  (廣東話)
[00:00:35.000 --> 00:00:38.000]  (廣東話)
[00:00:38.000 --> 00:00:41.000]  (廣東話)
[00:00:42.000 --> 00:00:45.000]  (廣東話)
[00:00:45.000 --> 00:00:48.000]  (廣東話)
[00:00:48.000 --> 00:00:51.000]  (廣東話)
[00:00:51.000 --> 00:00:54.000]  (廣東話)
[00:00:54.000 --> 00:00:57.400]  这就是上帝的工作
[00:00:57.400 --> 00:00:59.860]  于是他们对他说
[00:00:59.860 --> 00:01:01.920]  你行什么神迹
[00:01:01.920 --> 00:01:05.320]  好让我们看见而信你呢?
[00:01:05.320 --> 00:01:07.740]  你到底要做什么呢?
[00:01:07.740 --> 00:01:11.700]  我们的祖宗在旷野吃过马腩
[00:01:11.700 --> 00:01:13.560]  如经上写着
[00:01:13.560 --> 00:01:17.880]  他从天上赐下良食来给他们吃
[00:01:17.880 --> 00:01:20.340]  于是耶稣对他们说
[00:01:20.340 --> 00:01:23.180]  我实实在在地告诉你们
[00:01:23.180 --> 00:01:24.980]  那从天上来的粮
[00:01:24.980 --> 00:01:27.980]  不是摩西赐给你们的
[00:01:27.980 --> 00:01:30.100]  那从天上来的粮
[00:01:30.100 --> 00:01:32.900]  是从父母赐给你们的
[00:01:32.900 --> 00:01:37.540]  因为上帝的粮就是那位从天上降下来
[00:01:37.540 --> 00:01:40.660]  并且是生命给世界的
[00:01:40.660 --> 00:01:42.660]  于是他们对他说
[00:01:42.660 --> 00:01:46.660]  主啊请上皇赐给我们
[00:01:46.660 --> 00:01:49.420]  好
[00:01:49.420 --> 00:01:52.220]  这段经文
[00:01:52.220 --> 00:01:53.780]  还有六节
[00:01:53.780 --> 00:01:56.260]  我们一会儿再读
[00:01:56.260 --> 00:02:01.620]  是耶稣行完五饼二鱼神迹
[00:02:01.620 --> 00:02:03.700]  那帮人很高兴
[00:02:03.700 --> 00:02:06.820]  因为他发现了一个宝藏
[00:02:06.820 --> 00:02:10.180]  当时的犹太人是很希望
[00:02:10.180 --> 00:02:13.140]  能够从罗马帝国独立出来
[00:02:13.140 --> 00:02:14.740]  而他们发现一个宝藏是什么呢?
[00:02:14.740 --> 00:02:16.660]  就是耶稣能够行神迹
[00:02:16.660 --> 00:02:20.700]  一次过叫五千人吃饱
[00:02:20.700 --> 00:02:23.700]  如果他们和罗马人打仗
[00:02:23.700 --> 00:02:27.260]  带着耶稣就不用带军粮了
[00:02:27.260 --> 00:02:28.620]  三军未动
[00:02:28.620 --> 00:02:29.540]  粮草先行
[00:02:29.540 --> 00:02:29.940]  不用了
[00:02:29.940 --> 00:02:30.900]  带着耶稣
[00:02:30.900 --> 00:02:32.860]  随时可以变很多
[00:02:32.860 --> 00:02:34.580]  这样对于他们来说
[00:02:34.580 --> 00:02:39.940]  所以他们要逼耶稣做王
[00:02:39.940 --> 00:02:41.980]  如果我们从那段经文
[00:02:41.980 --> 00:02:43.940]  耶稣一直和他们说
[00:02:43.940 --> 00:02:46.100]  什么叫做生命之粮
[00:02:46.100 --> 00:02:47.580]  耶稣说你们找我
[00:02:47.580 --> 00:02:51.420]  不是因为我是什么人
[00:02:51.420 --> 00:02:55.100]  而是因为你们吃饼得饱
