
[00:00:00.000 --> 00:00:03.920]  大家好 我很開心有機會在光復堂
[00:00:03.920 --> 00:00:07.100]  和大家一起思想關於基督教的信仰
[00:00:07.100 --> 00:00:09.240]  這個也是我自己很喜歡的
[00:00:09.240 --> 00:00:13.520]  教會就提議我和大家講福音
[00:00:13.520 --> 00:00:15.640]  福音的英文就是Gospel
[00:00:15.640 --> 00:00:19.840]  簡單來說就是Good News 就是好消息
[00:00:19.840 --> 00:00:24.200]  究竟基督教有什麼信仰上的好消息呢?
[00:00:24.200 --> 00:00:29.240]  我自己因為這麼多年都是研究宗教的比較
[00:00:29.240 --> 00:00:31.920]  我也是對於中國的宗教
[00:00:31.920 --> 00:00:36.980]  尤其是中國的儒家思想 孔孟儒家思想
[00:00:36.980 --> 00:00:40.640]  老莊道家的思想 和中國的佛學
[00:00:40.640 --> 00:00:44.080]  尤其是天台宗、花艷宗和禪宗
[00:00:44.080 --> 00:00:46.080]  我也有教這些科
[00:00:46.080 --> 00:00:48.740]  所以奇怪的地方
[00:00:48.740 --> 00:00:51.240]  你今天站在這裡又講基督教的
[00:00:51.240 --> 00:00:54.820]  是啊 我覺得這些都是非常好的宗教
[00:00:54.820 --> 00:00:58.160]  剛才講的那些都是安身立命很好的地方
[00:00:58.160 --> 00:01:00.400]  但是它不能夠取代了基督教
[00:01:00.400 --> 00:01:02.620]  因為基督教有一些很獨特的地方
[00:01:02.620 --> 00:01:04.240]  是其它宗教沒有的
[00:01:04.240 --> 00:01:06.640]  我自己很佩服
[00:01:06.640 --> 00:01:09.120]  我自己除了聖經之外
[00:01:09.120 --> 00:01:10.640]  我告訴你有三本書
[00:01:10.640 --> 00:01:13.140]  我近期差不多每個星期都看一段的
[00:01:13.140 --> 00:01:16.560]  一個就是《論語》 另外一個就是《莊子》
[00:01:16.560 --> 00:01:18.700]  還有一本就是《六祖談經》
[00:01:18.700 --> 00:01:21.400]  這幾本書都幫我很多的啟發
[00:01:21.400 --> 00:01:24.320]  但是基督教有什麼特別
[00:01:24.320 --> 00:01:26.600]  今天我就試著和大家講一下
[00:01:26.600 --> 00:01:28.840]  為什麼我還站在這裡和大家講基督教
[00:01:28.840 --> 00:01:30.500]  因為我覺得基督教有一些東西
[00:01:30.500 --> 00:01:33.060]  是其它宗教不能夠給予的
[00:01:33.060 --> 00:01:35.460]  而那個就是對於你的一個好消息
[00:01:35.460 --> 00:01:39.400]  還有是願意和你一起來分享
[00:01:39.400 --> 00:01:41.140]  究竟基督教是怎麼樣的呢?
[00:01:41.140 --> 00:01:43.320]  我就弄了一點點的圖表
[00:01:43.320 --> 00:01:45.680]  這裡是簡單的講義
[00:01:45.680 --> 00:01:49.600]  教書的人都是找些東西畫一下
[00:01:49.600 --> 00:01:51.060]  這個我自己作的
[00:01:51.060 --> 00:01:53.480]  自己想出來的 這個圖很簡單的
[00:01:53.480 --> 00:01:57.160]  我試著用三分鐘講完基督教是什麼給你聽
[00:01:57.160 --> 00:01:58.680]  三分鐘
[00:01:58.680 --> 00:02:02.200]  一二三四五 這五樣東西
[00:02:02.200 --> 00:02:05.000]  我覺得基督教是第一
[00:02:05.000 --> 00:02:07.580]  基督教告訴我們
[00:02:07.580 --> 00:02:12.480]  和相信宇宙有一位創造的主宰
[00:02:12.480 --> 00:02:14.820]  他是真的 他創造了這個宇宙
[00:02:14.820 --> 00:02:17.480]  並且創造了人類你和我
[00:02:17.480 --> 00:02:19.960]  他不是創造了我們之後就丟了我們一邊
[00:02:19.960 --> 00:02:21.460]  不讓我們自生自滅
[00:02:21.460 --> 00:02:23.680]  他還是一個愛的上帝
[00:02:23.680 --> 00:02:25.160]  所以他創造了我們之後
[00:02:25.160 --> 00:02:26.260]  尤其是對人
[00:02:26.260 --> 00:02:27.960]  給人有一個很重要的
[00:02:27.960 --> 00:02:30.060]  也是最尊嚴的一個禮物
