
[00:00:00.000 --> 00:00:05.920]  各位本納比眾恩堂的弟兄姊妹
[00:00:05.920 --> 00:00:07.800]  大家好 我是高明謙
[00:00:07.800 --> 00:00:10.200]  很高興可以在這個崇拜裏
[00:00:10.200 --> 00:00:13.400]  和大家一起宣講上帝的話語
[00:00:13.400 --> 00:00:15.800]  我們一起祈禱開始
[00:00:15.800 --> 00:00:17.560]  慈悲人愛的天父
[00:00:17.560 --> 00:00:20.800]  多謝你讓我們可以透過馬太福音
[00:00:20.800 --> 00:00:23.680]  讓我們理解一個課題
[00:00:23.680 --> 00:00:26.160]  就是正邪難分的課題
[00:00:26.160 --> 00:00:28.720]  求主你親自和我們說話
[00:00:28.720 --> 00:00:32.600]  並且透過耶穌基督的比喻
[00:00:32.600 --> 00:00:35.080]  讓我們更加明瞭你的真理
[00:00:35.080 --> 00:00:38.040]  幫助孩子宣講你的話語清楚
[00:00:38.040 --> 00:00:40.320]  我們同心謙卑領受
[00:00:40.320 --> 00:00:43.240]  我們的禱告是奉耶穌基督命求
[00:00:43.240 --> 00:00:44.240]  阿們
[00:00:44.240 --> 00:00:49.400]  我今天的題目就是正邪難分
[00:00:49.400 --> 00:00:53.400]  是來自馬太福音13章24-30節
[00:00:53.400 --> 00:00:57.880]  和36-43節這一段經文
[00:00:57.880 --> 00:01:00.120]  大家要明白這段經文
[00:01:00.120 --> 00:01:05.240]  其實就是耶穌基督的物質和拜祭的比喻
[00:01:05.240 --> 00:01:07.320]  為何要拆開兩段經文呢?
[00:01:07.320 --> 00:01:10.120]  因為24-30節
[00:01:10.120 --> 00:01:13.720]  其實就是比喻本身的內容
[00:01:13.720 --> 00:01:16.520]  在這幾節當中描述了
[00:01:16.520 --> 00:01:20.040]  並且要到第36-43節
[00:01:20.040 --> 00:01:24.680]  才有耶穌基督解釋比喻的意思
[00:01:24.680 --> 00:01:26.200]  到底是甚麼
[00:01:26.200 --> 00:01:28.600]  所以我們的確需要兩段經文
[00:01:28.600 --> 00:01:31.560]  和我們一起講解這個情況
[00:01:31.560 --> 00:01:32.840]  讓我們得出
[00:01:32.840 --> 00:01:35.360]  我們今天很想和大家分享的課題
[00:01:35.360 --> 00:01:37.880]  就叫做正邪難分
[00:01:37.880 --> 00:01:39.640]  我們必須要承認
[00:01:39.640 --> 00:01:42.480]  我們活在一個比較複雜的世代
[00:01:42.480 --> 00:01:44.320]  我也覺得是很複雜
[00:01:44.320 --> 00:01:47.320]  在這樣的社會當中
[00:01:47.320 --> 00:01:50.800]  有時黑白分明易分化
[00:01:50.800 --> 00:01:52.800]  這種分野
[00:01:52.800 --> 00:01:55.200]  是比較難做得到的
[00:01:55.200 --> 00:01:58.000]  有時我們要做很多倫理的決定
[00:01:58.000 --> 00:02:01.080]  又或者道德的判斷對與錯的時候
[00:02:01.080 --> 00:02:04.480]  總是會選擇一個取向
[00:02:04.480 --> 00:02:06.240]  就是增加更多的善
[00:02:06.240 --> 00:02:08.120]  去減少更多的惡
[00:02:08.120 --> 00:02:12.680]  並且我們沒有辦法完全剷除那些惡在當中
[00:02:12.680 --> 00:02:17.200]  所以究竟耶穌基督的物質和拜祭的比喻
[00:02:17.200 --> 00:02:19.600]  到底給我們有甚麼的教導
[00:02:19.600 --> 00:02:21.120]  和有甚麼的心意
[00:02:21.120 --> 00:02:23.680]  讓我們在這個磨爛的世代當中
[00:02:23.680 --> 00:02:25.280]  如何去存活呢?
[00:02:25.280 --> 00:02:28.400]  讓我們本來被眾恩堂的弟兄姊妹
[00:02:28.400 --> 00:02:30.560]  一起去思想和物相
[00:02:30.560 --> 00:02:33.520]  所以我們期望透過這兩段的說話
[00:02:33.520 --> 00:02:36.400]  有兩點和大家分享
[00:02:36.400 --> 00:02:37.480]  事不宜遲
[00:02:37.480 --> 00:02:39.560]  我就和大家進入第一點
[00:02:39.560 --> 00:02:42.640]  第一點就是可以分辨
[00:02:42.640 --> 00:02:44.280]  但不能夠分開
[00:02:44.280 --> 00:02:46.280]  經文是這樣說
[00:02:46.280 --> 00:02:49.360]  耶穌又設一個比喻對他們說
[00:02:49.360 --> 00:02:54.720]  天國好將人殺好種在田裡
[00:02:54.720 --> 00:02:56.960]  及至人在睡覺的時候
[00:02:56.960 --> 00:02:58.880]  就有那些仇敵
[00:02:58.880 --> 00:03:03.920]  將拜祭殺在密室裡就走了
[00:03:03.920 --> 00:03:06.560]  到了長苗吐瑞的時候
[00:03:06.560 --> 00:03:08.720]  拜祭也顯出來
[00:03:08.720 --> 00:03:12.240]  田主的僕人就來告訴他
[00:03:12.240 --> 00:03:15.840]  主啊 你不是殺好種在田裡嗎?
[00:03:15.840 --> 00:03:17.840]  哪來的拜祭呢?
[00:03:17.840 --> 00:03:20.640]  主人說這是仇敵做的
[00:03:20.640 --> 00:03:24.000]  僕人說 你要我們吐出來嗎?
[00:03:24.000 --> 00:03:25.520]  主人說不必
[00:03:25.520 --> 00:03:27.600]  恐怕吐出來的拜祭
[00:03:27.600 --> 00:03:30.240]  就連物質也吐出來
[00:03:30.240 --> 00:03:32.320]  用者兩樣一起長
[00:03:32.320 --> 00:03:34.320]  等著收割的時候
[00:03:34.320 --> 00:03:35.760]  當收割的時候
[00:03:35.760 --> 00:03:37.760]  我要對收割的人說
[00:03:37.760 --> 00:03:40.400]  就先將那些拜祭吐出來
[00:03:40.400 --> 00:03:43.200]  菌成菌 流著銷
[00:03:43.200 --> 00:03:46.720]  唯有物質就收在倉裡
[00:03:46.720 --> 00:03:49.760]  這一段是耶穌設一個比喻
[00:03:49.760 --> 00:03:52.160]  我們一向對比喻的解釋
[00:03:52.160 --> 00:03:55.840]  就有兩個原則需要考慮
[00:03:55.840 --> 00:03:59.200]  解經方面這兩個原則就顯而易見
[00:03:59.200 --> 00:04:02.080]  第一個原則就是比喻的出現
[00:04:02.080 --> 00:04:04.080]  並不是為了要娛樂我們
[00:04:04.080 --> 00:04:08.880]  也不是為了要增加我們一些收屎率
[00:04:08.880 --> 00:04:12.160]  又或者是耶穌基督說過笑話而已
[00:04:12.160 --> 00:04:15.840]  比喻的目的其實是要作出一個教訓
[00:04:15.840 --> 00:04:18.400]  這是第一個解經的原則
[00:04:18.400 --> 00:04:19.680]  第二個原則就是
[00:04:19.680 --> 00:04:24.320]  如果比喻是有耶穌基督提供解釋的話
[00:04:24.320 --> 00:04:29.440]  的確我們不是每個耶穌說的比喻都有解釋
[00:04:29.440 --> 00:04:33.120]  但如果耶穌基督有解釋的話
[00:04:33.120 --> 00:04:35.920]  我們就必須用耶穌基督的解釋
[00:04:35.920 --> 00:04:38.320]  成為權威性的解釋
[00:04:38.320 --> 00:04:40.880]  我們就不能夠作另外一些解釋
[00:04:40.880 --> 00:04:43.840]  去蓋過耶穌基督本身的解釋
[00:04:43.840 --> 00:04:48.240]  所以這是第二個原則如何去解釋比喻
[00:04:48.240 --> 00:04:50.240]  根據比喻的內容
[00:04:50.240 --> 00:04:56.480]  讓我們看得出分辨和分開的訊息是很重要
[00:04:56.480 --> 00:05:00.720]  首先,比喻的內容真的叫我們分辨
[00:05:00.720 --> 00:05:02.960]  當中有很多對立的元素
[00:05:02.960 --> 00:05:07.360]  比如人和仇敵、物質和敗子
[00:05:07.360 --> 00:05:10.240]  修在倉裡和留著燒
