
[00:00:00.000 --> 00:00:02.000]  在我們開始的時候
[00:00:02.000 --> 00:00:06.000]  很想讓大家來看看
[00:00:06.000 --> 00:00:08.000]  我去到溫哥華的時候
[00:00:08.000 --> 00:00:10.000]  是有機會有一天的時間
[00:00:10.000 --> 00:00:12.000]  去了一個島
[00:00:12.000 --> 00:00:14.000]  來參觀上面
[00:00:14.000 --> 00:00:16.000]  這個島的情形
[00:00:16.000 --> 00:00:18.000]  我去到這個島的時候
[00:00:18.000 --> 00:00:20.000]  我看到
[00:00:20.000 --> 00:00:22.000]  叢林非常茂密
[00:00:22.000 --> 00:00:26.000]  到處都是青綠的樹林
[00:00:26.000 --> 00:00:28.000]  但沒想到去到一個地方
[00:00:28.000 --> 00:00:30.000]  參觀的時候
[00:00:30.000 --> 00:00:32.000]  我看到那大片的叢林
[00:00:32.000 --> 00:00:34.000]  是全部死光的
[00:00:34.000 --> 00:00:36.000]  這個叢林是什麼呢?
[00:00:36.000 --> 00:00:40.000]  就是種在水下面的樹
[00:00:40.000 --> 00:00:42.000]  全部死光
[00:00:42.000 --> 00:00:44.000]  大家很多人
[00:00:44.000 --> 00:00:46.000]  我們一直傳聞
[00:00:46.000 --> 00:00:48.000]  有水就有生命
[00:00:48.000 --> 00:00:50.000]  是不是?
[00:00:50.000 --> 00:00:52.000]  有水就青綠
[00:00:52.000 --> 00:00:54.000]  有水就有各種不同的植物
[00:00:54.000 --> 00:00:56.000]  去去如生
[00:00:56.000 --> 00:00:58.000]  但我們去到的時間
[00:00:58.000 --> 00:01:00.000]  我們發現有一個很特別的地方
[00:01:00.000 --> 00:01:02.000]  就是流水的地方
[00:01:02.000 --> 00:01:04.000]  溪水旁的地方
[00:01:04.000 --> 00:01:06.000]  叢林非常茂密
[00:01:06.000 --> 00:01:08.000]  樹很大,直不斷
[00:01:08.000 --> 00:01:10.000]  是一百多呎的樹
[00:01:10.000 --> 00:01:12.000]  全部是一樣的尺寸
[00:01:12.000 --> 00:01:14.000]  由最高到最下面
[00:01:14.000 --> 00:01:16.000]  那個大小都是這樣
[00:01:16.000 --> 00:01:18.000]  我們看到那些樹的時候
[00:01:18.000 --> 00:01:22.000]  我們心裡是非常感恩
[00:01:22.000 --> 00:01:24.000]  為什麼樹可以這樣生呢?
[00:01:24.000 --> 00:01:26.000]  一般的樹就是一路細下去
[00:01:26.000 --> 00:01:28.000]  但是他們不是
[00:01:28.000 --> 00:01:30.000]  是由最底一直到最高
[00:01:30.000 --> 00:01:32.000]  都是這麼大
[00:01:32.000 --> 00:01:34.000]  而且去到很高
[00:01:34.000 --> 00:01:36.000]  唯獨去到一個湖
[00:01:36.000 --> 00:01:38.000]  這個湖本來不是一個湖
[00:01:38.000 --> 00:01:40.000]  但在一個沼澤的地帶
[00:01:40.000 --> 00:01:42.000]  但去到這個沼澤地帶的時候
[00:01:42.000 --> 00:01:44.000]  因為水去到那裡是沒得出的
[00:01:44.000 --> 00:01:46.000]  就這樣流在那裡
[00:01:46.000 --> 00:01:48.000]  流在那裡
[00:01:48.000 --> 00:01:50.000]  若干年
[00:01:50.000 --> 00:01:52.000]  他們說其實這個湖
[00:01:52.000 --> 00:01:54.000]  是已經
[00:01:54.000 --> 00:01:56.000]  最少有十幾年的時間
[00:01:56.000 --> 00:01:58.000]  但給大家看到
[00:01:58.000 --> 00:02:00.000]  一件事
[00:02:00.000 --> 00:02:02.000]  原來不是有水就有生命
[00:02:02.000 --> 00:02:04.000]  死水帶來的
[00:02:04.000 --> 00:02:06.000]  是死樹
[00:02:06.000 --> 00:02:10.000]  我很奇怪
[00:02:10.000 --> 00:02:12.000]  我就問
[00:02:12.000 --> 00:02:14.000]  為什麼呢?
[00:02:14.000 --> 00:02:16.000]  他們說原來這些水
[00:02:16.000 --> 00:02:18.000]  不流動的時間
[00:02:18.000 --> 00:02:20.000]  那些不好的菌
[00:02:20.000 --> 00:02:22.000]  就是在那裡生長
[00:02:22.000 --> 00:02:24.000]  然後就蠶食那些樹
[00:02:24.000 --> 00:02:26.000]  而這些樹浸在下面
[00:02:26.000 --> 00:02:28.000]  下面的根
[00:02:28.000 --> 00:02:30.000]  吸不到氧氣
[00:02:30.000 --> 00:02:32.000]  整個面好像有一層東西
[00:02:32.000 --> 00:02:34.000]  沒有氧氣
[00:02:34.000 --> 00:02:36.000]  第二就是菌侵蝕那些樹
[00:02:36.000 --> 00:02:38.000]  而帶來的結果
[00:02:38.000 --> 00:02:40.000]  將他們的生命都拿走
[00:02:40.000 --> 00:02:42.000]  所以大家看到其實是一片
[00:02:42.000 --> 00:02:44.000]  很可惜的
[00:02:44.000 --> 00:02:46.000]  非常大片的叢林
[00:02:46.000 --> 00:02:48.000]  全部是死樹
[00:02:48.000 --> 00:02:50.000]  記得我們去以色列
[00:02:50.000 --> 00:02:52.000]  參觀的時候
[00:02:52.000 --> 00:02:54.000]  同樣看到死海
[00:02:54.000 --> 00:02:56.000]  死海是沒有人捉魚的
[00:02:56.000 --> 00:02:58.000]  死海
[00:02:58.000 --> 00:03:00.000]  是沒有魚的
[00:03:00.000 --> 00:03:02.000]  沒有蝦的
[00:03:02.000 --> 00:03:04.000]  那你捉下去有的是什麼呢?
[00:03:04.000 --> 00:03:06.000]  是泥板杖
[00:03:06.000 --> 00:03:08.000]  所以我們去的地方是每個都浮在那裡
[00:03:08.000 --> 00:03:10.000]  那一趴下的時候
[00:03:10.000 --> 00:03:12.000]  你一摸就要那些泥漿
[00:03:12.000 --> 00:03:14.000]  要那些泥漿你幹什麼?
[00:03:14.000 --> 00:03:16.000]  要來抹臉
[00:03:16.000 --> 00:03:18.000]  那些是美容品來的
[00:03:18.000 --> 00:03:20.000]  全球最
[00:03:20.000 --> 00:03:22.000]  最珍貴的美容品之一
[00:03:22.000 --> 00:03:24.000]  所以我們看得見
[00:03:24.000 --> 00:03:26.000]  原來今天
