
[00:00:00.000 --> 00:00:13.000]  新約四經馬可福音第一章,第一節到第八節。
[00:00:13.000 --> 00:00:16.000]  請聽神的話:
[00:00:16.000 --> 00:00:24.000]  神的兒子耶穌基督福音的起頭,正如先知以塞雅書上記著說:
[00:00:24.000 --> 00:00:31.000]  「看哪!我要差遣我的使者,在你前面預備道路。」
[00:00:31.000 --> 00:00:38.000]  在曠野有人聲喊著說:「預備主的道,收植他的路。」
[00:00:38.000 --> 00:00:42.000]  照者說:「約翰來了。」
[00:00:42.000 --> 00:00:49.000]  在曠野施洗傳悔改的洗禮,使罪得赦。
[00:00:49.000 --> 00:00:59.000]  猶太傳地和耶路撒冷的人都出去到約翰那裡承認他們的罪,在約旦河裡受他的洗。
[00:00:59.000 --> 00:01:06.000]  約翰穿落陀毛的衣服腰束皮帶,吃的是蝗蟲野物。
[00:01:06.000 --> 00:01:14.000]  他傳道說:「有一位在我耳後來的,能力比我更大。
[00:01:14.000 --> 00:01:21.000]  我就是彎腰,給他解鞋帶,也是不賠的。
[00:01:21.000 --> 00:01:31.000]  我是用水給你們施洗,他卻要用聖靈給你們施洗。」
[00:01:31.000 --> 00:01:43.000]  12月,電台開始聽到聖誕歌,商店也提醒我們還有多少天購物。
[00:01:43.000 --> 00:01:48.000]  連No-Frills在Cashier那裡也貼了張這樣的紙。
[00:01:48.000 --> 00:01:54.000]  我不知道買超級市場的東西和聖誕節有什麼重要的關係。
[00:01:54.000 --> 00:02:04.000]  是我們會開始緊張,血壓上升,為了聖誕來臨很多準備,
[00:02:04.000 --> 00:02:08.000]  包括我和太太要討論,或者要爭論,
[00:02:08.000 --> 00:02:16.000]  是找一棵舊的塑膠聖誕樹沒那麼環保,還是比較環保的去買一棵真的聖誕樹,
[00:02:16.000 --> 00:02:21.000]  還拿了20塊coupon,一月可以再去shopping過。
[00:02:21.000 --> 00:02:32.000]  佈置,買東西,送禮物,又或者預備度假,出門,很忙碌。
[00:02:32.000 --> 00:02:42.000]  剛才牧師提醒我們,他說在教會的每一年,其實開始是今天。
[00:02:42.000 --> 00:02:49.000]  今天叫做「張臨期的第一主日」,很長的名字。
[00:02:49.000 --> 00:03:00.000]  教會的一年,我們叫做「聖力Holy Calendar」,是從張臨期開始。
[00:03:00.000 --> 00:03:09.000]  張臨期怎麼計算呢?東方的教會,即希臘東正教會和西方的教會有不同的計法。
[00:03:09.000 --> 00:03:17.000]  我們屬於西方的教會傳統,通常計法是在11月30號最接近的主日開始計算。
[00:03:17.000 --> 00:03:24.000]  於是在聖誕之前,一定有四個主日,有四支蠟燭,
[00:03:24.000 --> 00:03:30.000]  每一個星期就要點一支,一直預備聖誕節。
[00:03:30.000 --> 00:03:40.000]  是,沒錯,張臨期在教會歷史上,最早的記載是要去到公元第六世紀,
[00:03:40.000 --> 00:03:45.000]  我們才找到有很清楚的記載下來。
[00:03:45.000 --> 00:03:51.000]  因為要決定聖誕之後才有張臨期。
[00:03:51.000 --> 00:04:00.000]  今天我們的聖誕節是12月25號,我們都知道不是真的在那一天耶穌出世,
[00:04:00.000 --> 00:04:05.000]  因為我們根本沒辦法能夠查得到耶穌是幾多月幾多號出世。
[00:04:05.000 --> 00:04:13.000]  你想一下如果昨晚百里行之野地裡有牧羊的人,夜間按著耕刺掃雪,
[00:04:13.000 --> 00:04:22.000]  很痛苦的,是不是?所以是不是冬天12月都有很多人問這個問題。
[00:04:22.000 --> 00:04:27.000]  為什麼定12月25號?你有沒有印象我講過給你聽的?
[00:04:27.000 --> 00:04:36.000]  那個是當時羅馬人的太陽神的節日,
[00:04:36.000 --> 00:04:42.000]  是他們羅馬帝國最重要的一個節日。
[00:04:42.000 --> 00:04:47.000]  所以當羅馬成為了基督教的國家,
[00:04:47.000 --> 00:05:03.000]  於是他們就將這個節日就變成為耶穌基督聖誕的官方的生日,
[00:05:03.000 --> 00:05:09.000]  好像英女皇受神那樣,我們知道是官方的日子。
[00:05:09.000 --> 00:05:15.000]  12月25號為什麼定為太陽神的節日?
[00:05:15.000 --> 00:05:22.000]  也是因為那天照當時羅馬帝國的曆法來計算,
[00:05:22.000 --> 00:05:31.000]  他們計錯了,他們以為是12月25號是最短的一天,
[00:05:31.000 --> 00:05:36.000]  今天我們知道不是了,或者我們今天的曆法準確很多,
[00:05:36.000 --> 00:05:45.000]  我們是12月21日,我們說冬至的那一天是最短的。
[00:05:45.000 --> 00:05:53.000]  在最短的那一天,來慶祝光明的特性,
[00:05:53.000 --> 00:05:57.000]  以後日子就越來越光,越來越長了。
[00:05:57.000 --> 00:06:04.000]  這個背景有點複雜,不過這個也是歷史上的事實,
[00:06:04.000 --> 00:06:11.000]  所以不需要跟別人爭論12月25號是不是真正的聖誕節,
[00:06:11.000 --> 00:06:16.000]  耶穌降生是一個歷史的事實,
[00:06:16.000 --> 00:06:24.000]  而事實上教會每一年從章林奇第一個主日開始,
[00:06:24.000 --> 00:06:28.000]  我們不是預備過聖誕的。
[00:06:28.000 --> 00:06:32.000]  你有沒有留心剛才讀的啟應經文?
[00:06:32.000 --> 00:06:38.000]  那個啟應經文應該不是公元前第六世紀開始的傳統,
[00:06:38.000 --> 00:06:40.000]  那個應該是多謝關牧師預備的,
[00:06:40.000 --> 00:06:44.000]  不過你有沒有留意到這個啟應的經文,
[00:06:44.000 --> 00:06:54.000]  我們是預備等候基督的再來,而不是回憶,
[00:06:54.000 --> 00:07:01.000]  回到那個馬槽,哎呀,很有感覺,覺得很溫馨,
[00:07:01.000 --> 00:07:09.000]  唱聖誕詩抱著羊仔,哎呀,那種感覺,小朋友做聖景,
[00:07:09.000 --> 00:07:20.000]  不是呀,聖誕節其實章林奇基督的來臨不是一件過去的事實,
[00:07:20.000 --> 00:07:30.000]  而是一件我們等候,或者說我們需要預備的事實,
[00:07:30.000 --> 00:07:40.000]  預備耶穌基督的再來,是每一天我們都要做的事。
[00:07:40.000 --> 00:07:46.000]  教會就在每一年的開始,一年四個星期,
[00:07:46.000 --> 00:07:51.000]  就提醒每一個耶穌基督的門徒,
[00:07:51.000 --> 00:07:54.000]  我們有沒有在我們的生活當中,
[00:07:54.000 --> 00:08:03.000]  在我們每一天當中,我們預備好等候耶穌基督的再來。
[00:08:03.000 --> 00:08:09.000]  耶穌基督的再來不是用一個BB的方式出現的,
[00:08:09.000 --> 00:08:16.000]  沒有牧羊人的,沒有三博士的,不會唱聖誕歌的,
[00:08:16.000 --> 00:08:27.000]  耶穌基督的降臨,祂就是以神的兒子君王這樣的身份,
[00:08:27.000 --> 00:08:34.000]  再來作王,這個事實是我們需要預備的。
[00:08:34.000 --> 00:08:42.000]  聖經沒有提過章林奇,聖經也沒有提過聖誕節,
[00:08:42.000 --> 00:08:46.000]  是不是?不是啊,有很多聖誕的經文,
[00:08:46.000 --> 00:08:51.000]  你找聖誕兩個字給我看,沒有的,沒有的,
[00:08:51.000 --> 00:08:56.000]  但是聖經有說預備,有沒有留意到?
[00:08:56.000 --> 00:09:02.000]  我們喜歡在聖誕期間讀的聖經就是馬太福音,
[00:09:02.000 --> 00:09:07.000]  博士來到朝拜聖嬰,我們喜歡讀的是路加福音,
