
[00:00:00.000 --> 00:00:06.840]  好 我們今天就講《以司接記》
[00:00:06.840 --> 00:00:09.640]  《以司接記》有些人可能很熟悉這個故事
[00:00:09.640 --> 00:00:11.840]  有些人可能是不熟悉這本書的
[00:00:11.840 --> 00:00:14.600]  所以始終要和你說一個故事
[00:00:14.600 --> 00:00:17.640]  所以今天其實大部份時間和你說故事的
[00:00:17.640 --> 00:00:20.500]  不過最後就會帶出這個故事
[00:00:20.500 --> 00:00:22.680]  對我們今天的香港人
[00:00:22.680 --> 00:00:27.740]  特別香港信徒有什麼關聯、有什麼重要性
[00:00:27.740 --> 00:00:32.660]  由講故事開始 《以司接記》也是一個很有趣的故事
[00:00:32.660 --> 00:00:35.960]  如果大家喜歡看宮廷劇的話
[00:00:35.960 --> 00:00:39.580]  《以司接記》就是一個舊約中的宮廷劇
[00:00:39.580 --> 00:00:44.520]  有美女、有勾心鬥角、有壞人、有蠢皇帝
[00:00:44.520 --> 00:00:48.660]  全部宮廷劇的角色都在裏面
[00:00:48.660 --> 00:00:55.100]  故事其實發生在一個叫波斯帝國的國家裏面
[00:00:55.100 --> 00:00:57.940]  當然這些是真正的歷史
[00:00:57.940 --> 00:01:01.860]  不是好像無線的宮廷劇是虛構的
[00:01:01.860 --> 00:01:05.960]  發生在波斯帝國 波斯帝國類似今天伊朗的地方
[00:01:05.960 --> 00:01:07.460]  不過就再大一些
[00:01:07.460 --> 00:01:11.900]  總之你要記住當時的超級強國波斯帝國
[00:01:11.900 --> 00:01:16.460]  猶太人 猶太人 猶太人 今天叫猶太人
[00:01:16.460 --> 00:01:19.740]  是波斯帝國裏面一個被征服
[00:01:19.740 --> 00:01:22.240]  雖然不是波斯帝國征服 是巴比倫征服
[00:01:22.240 --> 00:01:23.360]  不過不要理會這些
[00:01:23.360 --> 00:01:27.960]  總之是波斯帝國裏面被征服的一個少數民族
[00:01:27.960 --> 00:01:31.560]  波斯你想像就是類似今天的中國、美國
[00:01:31.560 --> 00:01:32.880]  超級大國
[00:01:32.880 --> 00:01:36.200]  猶太人就是其中一個少數的一個
[00:01:36.200 --> 00:01:39.420]  minority 一個很少數的一個民族
[00:01:39.420 --> 00:01:43.260]  波斯帝國的故事都要講到當時的皇帝
[00:01:43.260 --> 00:01:45.760]  王合本就是亞哈徐老王
[00:01:45.760 --> 00:01:50.980]  但是一般的歷史書就叫他薩斯王
[00:01:50.980 --> 00:01:54.400]  這個薩斯一世
[00:01:54.400 --> 00:01:56.740]  出名的歷史書都有記載
[00:01:56.740 --> 00:02:01.880]  他是一個很霸道 也打仗很厲害的皇帝
[00:02:01.880 --> 00:02:04.280]  就是這個很極權的人
[00:02:04.280 --> 00:02:07.620]  就是薩斯王做的皇帝
[00:02:07.620 --> 00:02:11.300]  我們有時今天會說甚麼極權政府
[00:02:11.300 --> 00:02:14.320]  不過今天的極權政府跟當時比較
[00:02:14.320 --> 00:02:17.700]  應該是差很遠的 當時的和惡很多的
[00:02:17.700 --> 00:02:20.260]  我想可能就算今天北韓的胖子
[00:02:20.260 --> 00:02:22.760]  都沒有薩斯這麼惡的
[00:02:22.760 --> 00:02:24.540]  因為你的故事看下去都知道了
[00:02:24.540 --> 00:02:27.080]  薩斯說要殺光那些猶太人
[00:02:27.080 --> 00:02:29.120]  那猶太人就要死了
[00:02:29.120 --> 00:02:32.980]  今天我想沒有哪個獨裁者有這樣的權力的
[00:02:32.980 --> 00:02:35.920]  無論如何 總之這個故事有一個序幕
[00:02:35.920 --> 00:02:37.520]  有幾幕戲
[00:02:37.520 --> 00:02:40.340]  序幕就講這個霸道威水
[00:02:40.340 --> 00:02:43.300]  自己覺得自己很偉大的薩斯王
[00:02:43.300 --> 00:02:47.540]  有一次擺筵席 請了貴族來吃東西
[00:02:47.540 --> 00:02:51.860]  然後吃了幾天之後就想請個皇后出來
[00:02:51.860 --> 00:02:54.020]  那個皇后叫阿瑟提
[00:02:54.020 --> 00:02:56.620]  那為什麼要請個皇后出來呢?
[00:02:56.620 --> 00:02:58.540]  因為那個皇后很漂亮
[00:02:58.540 --> 00:03:01.540]  所以她要show off 英文叫做
[00:03:01.540 --> 00:03:04.240]  就是要給那些貴族看看
[00:03:04.240 --> 00:03:07.060]  我的老婆多漂亮
[00:03:07.060 --> 00:03:08.820]  所以如果你們來我家吃飯
[00:03:08.820 --> 00:03:11.540]  我一定要show off 我老婆給你看的
[00:03:11.540 --> 00:03:14.420]  好了 怎知道 不知道為什麼
[00:03:14.420 --> 00:03:17.020]  那個老婆就不肯出來
