
[00:00:00.000 --> 00:00:04.640]  各位電影姐妹 平安
[00:00:04.640 --> 00:00:06.520]  我們今天分享的題目是
[00:00:06.520 --> 00:00:11.400]  一個有關失去與尋找的比喻
[00:00:11.400 --> 00:00:14.760]  可能你會想為何我特別括著一個呢?
[00:00:14.760 --> 00:00:17.080]  為何我強調要一個呢?
[00:00:17.080 --> 00:00:20.000]  讓你看看今天會分享的經文
[00:00:20.000 --> 00:00:23.120]  你一看就說不是三個嗎?
[00:00:23.120 --> 00:00:24.480]  是一個嗎?
[00:00:24.480 --> 00:00:27.280]  在路加福音15章裏會說到
[00:00:27.280 --> 00:00:30.160]  這裏寫和合本給他的副題是
[00:00:30.160 --> 00:00:32.560]  「迷陽的比喻」
[00:00:32.560 --> 00:00:34.960]  「失淺的比喻」
[00:00:34.960 --> 00:00:37.480]  「浪子的比喻」
[00:00:37.480 --> 00:00:38.280]  你會說: 吓?
[00:00:38.280 --> 00:00:40.440]  那就是三個比喻
[00:00:40.440 --> 00:00:41.480]  為何你說一個呢?
[00:00:41.480 --> 00:00:44.520]  是否你想說其中一個呢?
[00:00:44.520 --> 00:00:48.280]  例如我們看路加福音15章3節
[00:00:48.280 --> 00:00:52.760]  耶穌就用比喻對他們說
[00:00:52.760 --> 00:00:56.760]  原來很多聖經學者或牧者提醒我們
[00:00:56.760 --> 00:00:59.680]  原來耶穌想說的是說
[00:00:59.680 --> 00:01:00.720]  多少個比喻呢?
[00:01:00.720 --> 00:01:02.200]  是單數
[00:01:02.200 --> 00:01:03.440]  原來這裏說明了
[00:01:03.440 --> 00:01:06.840]  耶穌會用一個比喻對他們說
[00:01:06.840 --> 00:01:08.680]  可能你現在還有些疑惑
[00:01:08.680 --> 00:01:10.320]  究竟是不是呢?
[00:01:10.320 --> 00:01:12.200]  讓我們今天一起思考
[00:01:12.200 --> 00:01:15.520]  耶穌所說的這個比喻裏面
[00:01:15.520 --> 00:01:18.880]  有三個故事
[00:01:18.880 --> 00:01:21.440]  比喻這個字在原文本身
[00:01:21.440 --> 00:01:24.960]  真的可以有單數和眾數
[00:01:24.960 --> 00:01:28.680]  所以你會看到parable和parables
[00:01:28.680 --> 00:01:31.640]  而你看不同的譯本聖經
[00:01:31.640 --> 00:01:33.640]  例如環球聖經新譯本
[00:01:33.640 --> 00:01:37.400]  耶穌對他們說了這個比喻
[00:01:37.400 --> 00:01:39.040]  是這個
[00:01:39.040 --> 00:01:41.840]  而英文你看NIV都是this parable
[00:01:41.840 --> 00:01:45.920]  你看NASB都是this parable
[00:01:45.920 --> 00:01:47.400]  所以有些人說
[00:01:47.400 --> 00:01:54.200]  這三個故事其實等於三部曲
[00:01:54.200 --> 00:01:55.600]  甚麼叫三部曲?
[00:01:55.600 --> 00:01:57.040]  即是真的有三個
[00:01:57.040 --> 00:01:59.720]  你可以說是story
[00:01:59.720 --> 00:02:02.040]  然後每一個都可以獨立
[00:02:02.040 --> 00:02:04.280]  不過如果你看完三個
[00:02:04.280 --> 00:02:05.680]  就會最完整
[00:02:05.680 --> 00:02:06.800]  所以這個設計
[00:02:06.800 --> 00:02:08.400]  三部和曲
[00:02:08.400 --> 00:02:11.240]  你會看到有條尾是連著的
[00:02:11.240 --> 00:02:14.200]  如果大家熟悉武俠小說
[00:02:14.200 --> 00:02:15.040]  有沒有聽過
[00:02:15.040 --> 00:02:17.120]  或者有沒有人說過
[00:02:17.120 --> 00:02:20.640]  是射雕都有三部曲呢?
[00:02:20.640 --> 00:02:21.600]  我問了我太太
[00:02:21.600 --> 00:02:24.840]  因為她很喜歡看金庸小說
[00:02:24.840 --> 00:02:27.320]  她說是哪幾個?
[00:02:27.320 --> 00:02:29.120]  是射雕英雄傳
[00:02:29.120 --> 00:02:30.480]  神雕俠侶
