
[00:00:00.000 --> 00:00:05.560]  各位網友 今天我們就來聊聊這個問題 請問一下
[00:00:05.560 --> 00:00:09.640]  現在有很多人在網上說 他們不想要香港的事件了
[00:00:09.640 --> 00:00:13.820]  他們不想要香港的事件了 他們不想要香港的事件了
[00:00:13.820 --> 00:00:17.660]  他們不想要香港的事件了 他們不想要香港的事件了
[00:00:17.660 --> 00:00:22.140]  他們不想要香港的事件了 他們不想要香港的事件了
[00:00:22.140 --> 00:00:25.460]  他們不想要香港的事件了 他們不想要香港的事件了
[00:00:25.460 --> 00:00:29.620]  可能是不怕 有些是不安或者焦慮
[00:00:29.620 --> 00:00:32.060]  但是我們從《羅馬書》第五章裏面
[00:00:32.060 --> 00:00:34.080]  保羅的教導給我們看到
[00:00:34.080 --> 00:00:37.720]  其實在患難當中 我們可以是歡歡喜喜的
[00:00:37.720 --> 00:00:41.960]  因為在困難裏面的時候 其實神也是坐著為王
[00:00:41.960 --> 00:00:46.000]  問題是我們怎樣去面對這個處境
[00:00:46.000 --> 00:00:51.800]  在新的一年2021 可能環境未必有一個很大的改變
[00:00:51.800 --> 00:00:55.400]  但是我們心境可以改變 靠著自己的恩典
[00:00:55.400 --> 00:00:59.700]  我們可以正面的 存著一個積極的心
[00:00:59.700 --> 00:01:02.480]  去面對這個時代的挑戰
[00:01:02.480 --> 00:01:06.260]  今天我想用另一個角度來跟大家去思想
[00:01:06.260 --> 00:01:10.180]  我們的主題是同心同行同路人
[00:01:10.180 --> 00:01:12.740]  我們不單止在心態上改變
[00:01:12.740 --> 00:01:17.880]  事實上在具體在行動上 我們也有可以改變的
[00:01:17.880 --> 00:01:24.240]  在John Maxwell 大家都很熟悉的一個港領導力的目者
[00:01:24.240 --> 00:01:28.780]  他在他的書《領導團隊的17法則》裏面講到
[00:01:28.780 --> 00:01:33.820]  單單改革是不足以看到教會增長的
[00:01:33.820 --> 00:01:36.160]  這個增長很多時候我們想到的只是數字
[00:01:36.160 --> 00:01:39.520]  但其實增長不只是數字 是各方面的
[00:01:39.520 --> 00:01:43.400]  包括靈性、鬼身各方面
[00:01:43.400 --> 00:01:46.200]  但是如果我們想盼望做得更好的話
[00:01:46.200 --> 00:01:48.700]  我們不單止需要去改
[00:01:48.700 --> 00:01:52.300]  並且我們要向一個正確的方向去改
[00:01:52.300 --> 00:01:55.160]  我相信危機也是一個轉機
[00:01:55.160 --> 00:01:57.360]  這個很多時候我們真的聽了很多
[00:01:57.360 --> 00:02:01.620]  甚至好像覺得是老身上塔 其實是真正的
[00:02:01.620 --> 00:02:05.680]  這次的疫情其實也帶來了一個機會
[00:02:05.680 --> 00:02:09.320]  讓我們去面對自己個人
[00:02:09.320 --> 00:02:12.320]  或者教會整體的一個轉變
[00:02:12.320 --> 00:02:14.980]  疫情很明顯是一個外在的因素
[00:02:14.980 --> 00:02:17.780]  但是我們也有我們自己的內在因素
[00:02:17.780 --> 00:02:21.280]  習近平這麼多年 我不知道你們成立了多少年
[00:02:21.280 --> 00:02:25.120]  有一段日子了 我們人事的改變
