
[00:00:00.000 --> 00:00:08.760]  今天我要和大家分享,究竟我們在天堂會做什麼事
[00:00:08.760 --> 00:00:13.160]  我叫今天的信息做天堂生活會無聊嗎?
[00:00:13.160 --> 00:00:16.200]  究竟天堂的生活會不會無聊呢?
[00:00:16.200 --> 00:00:20.500]  其實這就是我上一次想和大家分享的
[00:00:20.500 --> 00:00:23.120]  結果越想越多題材
[00:00:23.120 --> 00:00:26.560]  變成要把一個信息分開兩個信息
[00:00:26.560 --> 00:00:28.920]  你說天堂會不會沈悶呢?
[00:00:28.920 --> 00:00:30.920]  當然不會沈悶
[00:00:30.920 --> 00:00:34.720]  其實我在預備今天的信息的時候
[00:00:34.720 --> 00:00:37.280]  我又和Benny長老說大件事
[00:00:37.280 --> 00:00:39.680]  我又越想越多題材
[00:00:39.680 --> 00:00:43.760]  又想把今天的信息分開兩個
[00:00:43.760 --> 00:00:46.000]  但是後來想想也不好
[00:00:46.000 --> 00:00:50.880]  如果這樣的話,我相信今年全年我都會說
[00:00:50.880 --> 00:00:53.600]  我們將來在天堂會做什麼事
[00:00:53.600 --> 00:00:58.440]  如果這樣的話,我想粵語堂可能會炒我,我還沒聽
[00:00:58.440 --> 00:01:00.680]  所以我想想也不好
[00:01:00.680 --> 00:01:07.440]  每件事都簡短一點,重簡說出我們其餘在天堂會做什麼
[00:01:07.440 --> 00:01:15.040]  其實很多人都會覺得我們地上的生活很無聊
[00:01:15.040 --> 00:01:18.160]  你看看我們的子女,很多時候都會說
[00:01:18.160 --> 00:01:21.280]  爸爸媽媽,我很沈悶,怎麼辦
[00:01:21.280 --> 00:01:25.080]  美國每年都有很多很多的人
[00:01:25.080 --> 00:01:29.080]  因為生活無聊而去看心理學醫生
[00:01:29.080 --> 00:01:31.680]  你想想多大件事
[00:01:31.680 --> 00:01:36.800]  所以如果我們認為地上的生活都這麼無聊
[00:01:36.800 --> 00:01:43.480]  難怪有這麼多人,他們不會以為天堂的生活都會是無聊
[00:01:43.480 --> 00:01:46.480]  有兩條無無從在聊天
[00:01:46.480 --> 00:01:49.680]  一條無無從和另一條無無從說
[00:01:49.680 --> 00:01:52.160]  哎呀,他說我身近在作夢
[00:01:52.160 --> 00:01:55.560]  我想我很快就要吐屍結繭
[00:01:55.560 --> 00:01:57.680]  另外一條無無從和他說
[00:01:57.680 --> 00:02:01.360]  恭喜你了,你快吐屍結繭
[00:02:01.360 --> 00:02:03.800]  那條作夢的無無從說
[00:02:03.800 --> 00:02:05.560]  哎呀,有什麼好恭喜的
[00:02:05.560 --> 00:02:09.680]  我聽人說吐屍結繭將來破繭而出
[00:02:09.680 --> 00:02:11.800]  不是那麼好玩的
[00:02:11.800 --> 00:02:14.160]  現在我們喜歡吃綠葉
[00:02:14.160 --> 00:02:18.480]  將來破繭而出,沒有綠葉吃的
[00:02:18.480 --> 00:02:22.080]  另外一條無無從說,我最喜歡吃綠葉
[00:02:22.080 --> 00:02:25.480]  原來將來沒有綠葉吃的,怎麼辦
[00:02:25.480 --> 00:02:31.080]  那條作夢的無無從從說,不僅如此
[00:02:31.080 --> 00:02:34.280]  你看我們現在白足了這麼多腳,這麼多腳
[00:02:34.280 --> 00:02:36.680]  走路走得多方便
[00:02:36.680 --> 00:02:41.680]  將來破繭而出,只剩下六隻腳
[00:02:41.680 --> 00:02:45.000]  哇,他們兩個說,六隻腳怎麼走路
[00:02:45.000 --> 00:02:48.600]  你一句我一句,兩個害怕得不得了
[00:02:48.600 --> 00:02:54.000]  兩個都不想吐屍結繭將來變成蝴蝶
[00:02:54.000 --> 00:02:59.000]  其實變成蝴蝶,當然不可以吃綠葉
[00:02:59.000 --> 00:03:03.600]  但是你有更漂亮的花粉吃,都不知道多香甜
[00:03:03.600 --> 00:03:05.600]  變成只剩下六隻腳
[00:03:05.600 --> 00:03:10.000]  哎呀,不需要走路了,蝴蝶,你可以飛了
[00:03:10.000 --> 00:03:14.200]  其實這兩條無無從誤會將來的生活
[00:03:14.200 --> 00:03:19.000]  和我們誤會將來天堂的生活是一模一樣
[00:03:19.000 --> 00:03:22.600]  很多人都認為天堂的生活會無聊
[00:03:22.600 --> 00:03:25.200]  甚至我聽見有很多人說
[00:03:25.200 --> 00:03:29.800]  哎呀,我不想去天堂,我情願去地獄
[00:03:29.800 --> 00:03:31.600]  地獄都不知道多好玩
[00:03:31.600 --> 00:03:35.600]  我和我的朋友可以花天走地
