
[00:00:00.000 --> 00:00:06.000]  多謝主席的誇獎 實在不敢當
[00:00:06.000 --> 00:00:12.000]  快到聖誕節 預祝大家聖誕快樂
[00:00:12.000 --> 00:00:17.000]  今天是教會給我們機會在神學院的神學主日
[00:00:17.000 --> 00:00:24.000]  所以在這裡特別代表神學院向大家問安
[00:00:24.000 --> 00:00:30.000]  今天我想和大家分享的題目是欣賞與接納
[00:00:30.000 --> 00:00:36.000]  神學院訓練神學生 有兩個讀法
[00:00:36.000 --> 00:00:45.000]  一個是神學生 即是學習神學的學生
[00:00:45.000 --> 00:00:56.000]  另一個是神學生 即是學習上帝的學生
[00:00:56.000 --> 00:01:00.000]  當然兩者是不衝突的 兩者是並存的
[00:01:00.000 --> 00:01:07.000]  今天我想和後者講學習上帝的學生
[00:01:07.000 --> 00:01:13.000]  從這個角度來說 不單是在神學院讀書的人
[00:01:13.000 --> 00:01:16.000]  我們所有弟兄姊妹都是神學生
[00:01:16.000 --> 00:01:23.000]  我們從這個角度和大家分享欣賞與接納這個題目
[00:01:23.000 --> 00:01:27.000]  很容易我們想起耶穌的時候
[00:01:27.000 --> 00:01:33.000]  我們想如何對待他的學生 帶領他們上課
[00:01:33.000 --> 00:01:38.000]  中國有孔夫子萬世師表 其中一個教學的理念
[00:01:38.000 --> 00:01:42.000]  我非常欣賞 老實說到現在我都不知道如何實踐
[00:01:42.000 --> 00:01:47.000]  就是有教無慮 什麼人都可以教
[00:01:47.000 --> 00:01:52.000]  而且他的教學是遠遠超越了課室的
[00:01:52.000 --> 00:01:56.000]  在任何場合他都可以教 主耶穌類似這樣的情況
[00:01:56.000 --> 00:02:02.000]  他收的學生從來都沒有要求他們有什麼學歷的要求
[00:02:02.000 --> 00:02:06.000]  他都是按著每個人不同的特質建立他們的生命
[00:02:06.000 --> 00:02:11.000]  這個真是相當高超的教學 而且任何地方都成為他的教室
[00:02:11.000 --> 00:02:17.000]  在海邊 在山上 在路上 在困難的時間 在他們成功的時候
[00:02:17.000 --> 00:02:20.000]  主耶穌都可以和他們講天國的真理
[00:02:20.000 --> 00:02:23.000]  這個真是我非常非常羨慕學習的
[00:02:23.000 --> 00:02:29.000]  還有一個更難的地方就是他不單止是教一些內容
[00:02:29.000 --> 00:02:35.000]  他還可以做一些事情可以影響人的生命 改變人一生
[00:02:35.000 --> 00:02:40.000]  這個真正教育教學的最終目的
[00:02:40.000 --> 00:02:44.000]  真正教育教學的目的不是一些知識
[00:02:44.000 --> 00:02:47.000]  特別現在AI這麼流行
[00:02:47.000 --> 00:02:54.000]  真是傳統的學習 資料性的學習 基本上已經是過去的學習方式
[00:02:54.000 --> 00:02:58.000]  任何情況 可能一個十歲的小朋友在上電腦的時間
[00:02:58.000 --> 00:03:02.000]  他得到的知識遠遠超過一個博士所學的知識
[00:03:02.000 --> 00:03:07.000]  如果說教學最終影響一個人一生呢
[00:03:07.000 --> 00:03:14.000]  這個我相信是我們基督教 基督徒
