
[00:00:00.000 --> 00:00:03.000]  (主席)
[00:00:03.000 --> 00:00:07.000]  今天進到我們中令營的第二部分
[00:00:07.000 --> 00:00:10.000]  下半節的時候我們也感謝神
[00:00:10.000 --> 00:00:13.000]  神的說話不單要求我們尊祂為大
[00:00:13.000 --> 00:00:16.000]  我們也可以以祂為樂
[00:00:16.000 --> 00:00:20.000]  所以說到今早我就可以安樂一點了
[00:00:20.000 --> 00:00:23.000]  因為開始有一些安慰鼓勵的訊息
[00:00:23.000 --> 00:00:26.000]  就不用大家耍到立立零
[00:00:26.000 --> 00:00:30.000]  昨天有位弟子跟我說 臉都變了
[00:00:30.000 --> 00:00:33.000]  我們不是想這樣 神也不想這樣
[00:00:33.000 --> 00:00:37.000]  不過有時是除非我們看見自己的本相
[00:00:37.000 --> 00:00:40.000]  人很有趣 其實我們本性裏面是一種惰性
[00:00:40.000 --> 00:00:42.000]  我們本性裏面是一種自私性
[00:00:42.000 --> 00:00:44.000]  除非在神嚴厲的說話
[00:00:44.000 --> 00:00:46.000]  好像一個鏡子那樣光照我們
[00:00:46.000 --> 00:00:49.000]  你看見我們自己在神面前戰經
[00:00:49.000 --> 00:00:51.000]  我們生命才可以有個反彈
[00:00:51.000 --> 00:00:55.000]  其實神所說每樣那麼強硬的說話
[00:00:55.000 --> 00:00:57.000]  是出於祂的好意
[00:00:57.000 --> 00:01:00.000]  要我們回旋歸行 先回到我們的社會
[00:01:00.000 --> 00:01:03.000]  我們主要的神我們獻上感謝
[00:01:03.000 --> 00:01:05.000]  每次打開你自己的說話
[00:01:05.000 --> 00:01:09.000]  無論是提醒 無論是斥責 或者是安慰
[00:01:09.000 --> 00:01:12.000]  都是這麼寶貴 裏面充滿了豐富的教導
[00:01:12.000 --> 00:01:15.000]  在教導背後充滿了你自己的慈愛
[00:01:15.000 --> 00:01:19.000]  你自己的人靈 你自己的關懷 我們感謝你
[00:01:19.000 --> 00:01:21.000]  我們主要的神今早我們來到你面前
[00:01:21.000 --> 00:01:24.000]  戴著戰經的心又再打開正經
[00:01:24.000 --> 00:01:27.000]  聆聽你對我們說的話
[00:01:27.000 --> 00:01:31.000]  求祖在我們的心裏面製造一個安靜的心靈
[00:01:31.000 --> 00:01:35.000]  讓我們聽見你心中的微風
[00:01:35.000 --> 00:01:38.000]  讓我們知道我們前面的路
[00:01:38.000 --> 00:01:41.000]  如何跟隨你繼續走下去
[00:01:41.000 --> 00:01:43.000]  聽我們的祈禱 封夜
[00:01:43.000 --> 00:01:50.000]  今天我們進到馬拉基斯旅程的第四講
[00:01:50.000 --> 00:01:54.000]  我們特別在研究馬拉基斯的第二章
[00:01:54.000 --> 00:01:59.000]  由17節看到第3章的12節
[00:01:59.000 --> 00:02:02.000]  我們一起打開馬拉基斯
[00:02:02.000 --> 00:02:07.000]  2章17節至到3章的12節
[00:02:07.000 --> 00:02:10.000]  我剛才跟大家說 也一直跟大家提醒
[00:02:10.000 --> 00:02:14.000]  馬拉基斯是一個很嚴厲的書
[00:02:14.000 --> 00:02:17.000]  嚴厲的地步 我們都記得在過去的3天
[00:02:17.000 --> 00:02:20.000]  3堂的聚會當中我們都記得
[00:02:20.000 --> 00:02:22.000]  很多很嚴厲的斥責
[00:02:22.000 --> 00:02:26.000]  斥責我們有很多的錯誤 很多的失敗
[00:02:26.000 --> 00:02:29.000]  如果我們簡單數起來的時候你還記得
[00:02:29.000 --> 00:02:32.000]  說到我們如何人不知不覺間
[00:02:32.000 --> 00:02:36.000]  我們就失去了那份的警醒而墮落
[00:02:36.000 --> 00:02:38.000]  我們又看見神的斥責
[00:02:38.000 --> 00:02:41.000]  說我們是忘恩負義
[00:02:41.000 --> 00:02:45.000]  忘記了神懷疑神的愛
[00:02:45.000 --> 00:02:49.000]  我們記得我們在馬拉基斯書曾經提過
[00:02:49.000 --> 00:02:53.000]  我們失去了一份對神敬畏的心
[00:02:53.000 --> 00:02:55.000]  神是主 神是父
[00:02:55.000 --> 00:02:59.000]  但是我們沒有將神應有的尊重給他
[00:02:59.000 --> 00:03:01.000]  反而將那些次等的
[00:03:01.000 --> 00:03:03.000]  那些次貨的 殘疾的
[00:03:03.000 --> 00:03:05.000]  丟給他的祭壇
[00:03:05.000 --> 00:03:06.000]  要求他收貨
[00:03:06.000 --> 00:03:08.000]  神說你怎麼叫我收貨
[00:03:08.000 --> 00:03:10.000]  我不通看你的情面嗎
[00:03:10.000 --> 00:03:12.000]  你老闆也不看你的情面這樣做
