
[00:00:00.000 --> 00:00:05.000]   Good morning, everyone.
[00:00:05.000 --> 00:00:14.000]   A while ago, a colleague, who is actually half my boss, retired.
[00:00:14.000 --> 00:00:19.000]   He gave me a book titled "It is OK to be Average".
[00:00:19.000 --> 00:00:23.000]   It means, "It's OK to be average".
[00:00:23.000 --> 00:00:27.000]   If your boss gave you a book like this, what would you think?
[00:00:27.000 --> 00:00:30.000]   At first, I was wondering why there was a book like this.
[00:00:30.000 --> 00:00:37.000]   Because in university, you are usually told to be outstanding, to be number one, to get a certain award.
[00:00:37.000 --> 00:00:40.000]   But why did he give me a book titled "It is OK to be Average"?
[00:00:40.000 --> 00:00:43.000]   Does that mean I am really average?
[00:00:43.000 --> 00:00:46.000]   I opened the book and found it quite interesting.
[00:00:46.000 --> 00:00:50.000]   It was written by an old Chinese from Singapore,
[00:00:50.000 --> 00:00:53.000]   telling his life experience.
[00:00:53.000 --> 00:00:57.000]   He told a story that we are all familiar with,
[00:00:57.000 --> 00:00:59.000]   a story about a ugly duckling.
[00:00:59.000 --> 00:01:01.000]   Do you remember the story about the ugly duckling?
[00:01:01.000 --> 00:01:04.000]   Maybe some of you who are older would have heard of it.
[00:01:04.000 --> 00:01:09.000]   He said that there was a small duckling,
[00:01:09.000 --> 00:01:11.000]   black, very ugly.
[00:01:11.000 --> 00:01:15.000]   After it was born, its parents went missing.
[00:01:15.000 --> 00:01:22.000]   Then, it was very sad to see a group of white ducklings.
[00:01:22.000 --> 00:01:27.000]   Its mother took the ducklings with her and walked along.
[00:01:27.000 --> 00:01:33.000]   It followed the ducklings, hoping to find a mate.
[00:01:33.000 --> 00:01:40.000]   But it was ugly, so it was always laughed at.
[00:01:40.000 --> 00:01:46.000]   "Why are you so ugly? Everyone else is white, but you are black and ugly."
[00:01:46.000 --> 00:01:52.000]   It was very sad and cried, and complained,
[00:01:52.000 --> 00:01:55.000]   "Why am I so ugly?"
[00:01:55.000 --> 00:02:01.000]   Finally, as it grew up, it realized that it was a swan.
[00:02:01.000 --> 00:02:04.000]   It was more beautiful than the other ducks,
[00:02:04.000 --> 00:02:06.000]   and it could fly higher than them.
[00:02:06.000 --> 00:02:08.000]   It was a beautiful black swan,
[00:02:08.000 --> 00:02:10.000]   although it was a black swan.
[00:02:10.000 --> 00:02:12.000]   We are most afraid of white swans,
[00:02:12.000 --> 00:02:14.000]   but we were afraid of black swans.
[00:02:14.000 --> 00:02:18.000]   This story is very simple.
[00:02:18.000 --> 00:02:23.000]   It tells us that sometimes we feel that we are worse than others.
[00:02:23.000 --> 00:02:26.000]   We feel that we are not very special,
[00:02:26.000 --> 00:02:29.000]   or that we do not have special talents,
[00:02:29.000 --> 00:02:32.000]   or that we are not better than others.
[00:02:32.000 --> 00:02:36.000]   But how does God see us?
[00:02:36.000 --> 00:02:40.000]   Or what kind of people does God want to use?
[00:02:40.000 --> 00:02:44.000]   Are all the people He wants to use smart and capable?
[00:02:44.000 --> 00:02:48.000]   Do they all have a lot of degrees, books, and talents?
[00:02:48.000 --> 00:02:54.000]   Do they all have power and money?
[00:02:54.000 --> 00:03:00.000]   I remember the first chapter of the Bible in the Old Testament.
[00:03:00.000 --> 00:03:05.000]   It says, "Have you ever thought that among you people who are in the dream,
[00:03:05.000 --> 00:03:10.000]   there are not many people who are wise,
[00:03:10.000 --> 00:03:12.000]   who have a good eye for the flesh?"
[00:03:12.000 --> 00:03:14.000]   It means that you are not particularly smart.
[00:03:14.000 --> 00:03:16.000]   How many disciples have received the Bell of the Lord?
[00:03:16.000 --> 00:03:18.000]   I don't think there are many.
[00:03:18.000 --> 00:03:20.000]   It says, "There are not many people who are wise,
[00:03:20.000 --> 00:03:23.000]   who have power,
[00:03:23.000 --> 00:03:26.000]   who have money,
[00:03:26.000 --> 00:03:28.000]   and who are not very noble."
[00:03:28.000 --> 00:03:34.000]   But God chose these people to serve Him.
[00:03:34.000 --> 00:03:37.000]   This is the topic I will talk about today.
[00:03:37.000 --> 00:03:41.000]   It is okay to be an ordinary Christian.
[00:03:41.000 --> 00:03:46.000]   It may not be a bad thing to be an ordinary Christian.
[00:03:46.000 --> 00:03:52.000]   The Bible reminds us that God does not have to choose the best,
[00:03:52.000 --> 00:03:54.000]   or at least in the eyes of man,
[00:03:54.000 --> 00:03:56.000]   He can choose the best,
[00:03:56.000 --> 00:03:59.000]   the one with the most talents, the one with the most degrees,
[00:03:59.000 --> 00:04:03.000]   or the one who was born into a very dark family.
[00:04:03.000 --> 00:04:07.000]   God does not have to choose such people to serve Him.
[00:04:07.000 --> 00:04:11.000]   Instead, He chose ordinary people.
[00:04:11.000 --> 00:04:13.000]   What for?
[00:04:13.000 --> 00:04:16.000]   Here, He says a very special reason.
[00:04:16.000 --> 00:04:19.000]   He says, "So that you will not boast,
[00:04:19.000 --> 00:04:22.000]   that because I am very good,
[00:04:22.000 --> 00:04:25.000]   I can do these things for God.
[00:04:25.000 --> 00:04:27.000]   You cannot boast that because I am very good,
[00:04:27.000 --> 00:04:28.000]   I have read a lot of books,
[00:04:28.000 --> 00:04:30.000]   so I have such achievements,
[00:04:30.000 --> 00:04:33.000]   I can be a leader."
[00:04:33.000 --> 00:04:37.000]   Let's look at some examples in the Bible.
[00:04:37.000 --> 00:04:41.000]   Before talking about the examples,
