
[00:00:00.000 --> 00:00:13.880]  大家好 今天很高興能夠在主日的時候回來跟大家一起思考上帝話語
[00:00:13.880 --> 00:00:15.680]  敬拜上帝
[00:00:15.680 --> 00:00:19.520]  今天跟大家分享的經文
[00:00:19.520 --> 00:00:22.880]  剛才讀了的題目就是如何突破禁忌
[00:00:22.880 --> 00:00:24.160]  這個要解題的
[00:00:24.160 --> 00:00:29.120]  因為這個題目可以令人誤會
[00:00:29.120 --> 00:00:31.120]  不是所有禁忌都能夠突破
[00:00:31.120 --> 00:00:33.920]  或者不是所有禁忌都應該突破
[00:00:33.920 --> 00:00:37.120]  身體有問題 飲食禁忌都要突破
[00:00:37.120 --> 00:00:39.120]  你用自己的命教飛
[00:00:39.120 --> 00:00:42.560]  飲食禁忌很多都不要去突破
[00:00:42.560 --> 00:00:44.080]  要突破很容易
[00:00:44.080 --> 00:00:46.800]  你不能吃的東西就去買 特意買來吃就行了
[00:00:46.800 --> 00:00:50.080]  接著身體很快就出事了
[00:00:50.080 --> 00:00:54.480]  為自己好就沒理由不聽醫生說
[00:00:54.480 --> 00:00:56.960]  或者是常識
[00:00:56.960 --> 00:01:00.800]  明明是三高的食物
[00:01:00.800 --> 00:01:02.720]  明明是糖尿的
[00:01:02.720 --> 00:01:07.200]  還是吃高碳水化合物的食物
[00:01:07.200 --> 00:01:12.320]  這個就沒理由醫生犯險就去突破
[00:01:12.320 --> 00:01:14.320]  純粹是為自己好
[00:01:14.320 --> 00:01:17.520]  也有很多道德禁忌是不能突破的
[00:01:17.520 --> 00:01:18.960]  是不應該突破的
[00:01:18.960 --> 00:01:22.720]  因為突破就變成犯錯 犯罪
[00:01:22.720 --> 00:01:24.720]  不單止是得罪人
[00:01:24.720 --> 00:01:26.720]  可能是得罪自己的身體
[00:01:26.720 --> 00:01:28.720]  肯定是得罪上帝
[00:01:28.720 --> 00:01:31.280]  所以所謂如何突破禁忌
[00:01:31.280 --> 00:01:33.280]  不是什麼禁忌都可以突破
[00:01:33.280 --> 00:01:36.000]  千萬不要這樣想
[00:01:36.000 --> 00:01:43.520]  題目都是相應著那段經文來看
[00:01:43.520 --> 00:01:47.520]  我們剛才讀了那段經文
[00:01:47.520 --> 00:01:52.000]  有哪些弟兄姊妹是之前讀過的那段經文
[00:01:52.000 --> 00:01:54.000]  《四人段》第十章
[00:01:54.000 --> 00:01:56.000]  為什麼不夠一半
[00:01:56.000 --> 00:01:58.000]  這些很重要的經文
[00:01:58.000 --> 00:02:00.000]  我們看看
[00:02:00.000 --> 00:02:02.000]  習慣了這個 按這個會不會好一點
[00:02:02.000 --> 00:02:04.000]  是的
[00:02:04.000 --> 00:02:09.520]  《四人傳》第十章 第十一章
[00:02:09.520 --> 00:02:14.320]  所有聖經都是上帝所默示的
[00:02:14.320 --> 00:02:18.800]  叫做一粒字都不要改
[00:02:18.800 --> 00:02:20.800]  其實可以改的
[00:02:20.800 --> 00:02:25.440]  翻譯 重新翻譯和修版就改了很多粒字
[00:02:25.440 --> 00:02:28.960]  所謂不可以改就是不可以改變意思
[00:02:28.960 --> 00:02:30.960]  你明白 改變意思
[00:02:30.960 --> 00:02:32.960]  更新表達方式
[00:02:32.960 --> 00:02:36.960]  不能改變經文本身的意思
[00:02:36.960 --> 00:02:38.960]  所以每一段都這麼重要
[00:02:38.960 --> 00:02:42.960]  但某些地方仍然是比較重要
[00:02:42.960 --> 00:02:46.960]  這段只是講故事
