
[00:00:00.000 --> 00:00:03.000]  (請看影片描述)
[00:00:03.000 --> 00:00:05.320]  今天要繼續跟大家講的是
[00:00:05.320 --> 00:00:06.440]  《真言》的系列
[00:00:06.440 --> 00:00:07.880]  是第二講
[00:00:07.880 --> 00:00:10.680]  是聖潔的智慧
[00:00:10.680 --> 00:00:12.800]  甚麼叫聖潔的智慧?
[00:00:12.800 --> 00:00:14.520]  首先看看聖潔這個字
[00:00:14.520 --> 00:00:18.000]  聖潔的聖不是聖經的聖
[00:00:18.000 --> 00:00:20.560]  也不是神聖的聖
[00:00:20.560 --> 00:00:23.440]  聖潔的聖是聖愛的聖
[00:00:23.440 --> 00:00:28.040]  為甚麼我要叫它做聖潔的智慧呢?
[00:00:28.040 --> 00:00:30.440]  原來今天要講的其實是
[00:00:30.440 --> 00:00:32.000]  「貞潔」的智慧
[00:00:32.000 --> 00:00:35.800]  但是「貞潔」很多時候給人一個誤解
[00:00:35.800 --> 00:00:37.800]  就是覺得好像是講女人
[00:00:37.800 --> 00:00:40.680]  因為根據中國人的傳統「聖潔」
[00:00:40.680 --> 00:00:42.800]  這個「貞潔」都是給女人的
[00:00:42.800 --> 00:00:44.240]  女人要「貞潔」
[00:00:44.240 --> 00:00:46.080]  所謂「貞潔牌坊」
[00:00:46.080 --> 00:00:47.360]  男士呢?
[00:00:47.360 --> 00:00:48.800]  男人都是「貞」
[00:00:48.800 --> 00:00:50.800]  但是是「貞中報國」
[00:00:50.800 --> 00:00:53.160]  所以我們看到
[00:00:53.160 --> 00:00:57.040]  中國其實是一個重男輕女的古時
[00:00:57.040 --> 00:01:00.560]  所以說到男人就可以三妻四妾
[00:01:00.560 --> 00:01:03.560]  但是女人就要從一而終
[00:01:03.560 --> 00:01:05.040]  還要「貞潔」
[00:01:05.040 --> 00:01:06.560]  還要有「貞節」
[00:01:06.560 --> 00:01:08.280]  所以這裡避免
[00:01:08.280 --> 00:01:12.600]  別人以為我在講的是女子的貞節
[00:01:12.600 --> 00:01:15.040]  是女子的聖潔
[00:01:15.040 --> 00:01:18.720]  所以我是用到「聖潔」這個名字
[00:01:18.720 --> 00:01:20.280]  來代替「貞潔」
[00:01:20.280 --> 00:01:22.280]  無論是男是女
[00:01:22.280 --> 00:01:26.280]  我們都要保持我們的「聖潔」
[00:01:27.080 --> 00:01:31.280]  其實今天這個課題
[00:01:31.280 --> 00:01:34.680]  這個題目是我非常非常之怕講
[00:01:34.680 --> 00:01:37.280]  為甚麼怕講你還要講?
[00:01:37.280 --> 00:01:41.880]  原因是因為這是一個非常重要的訊息
[00:01:41.880 --> 00:01:43.880]  講到男女的關係
[00:01:43.880 --> 00:01:46.280]  講到這些是性的事
[00:01:46.280 --> 00:01:48.280]  令到我很尷尬很多時
[00:01:48.280 --> 00:01:49.480]  不想講
[00:01:49.480 --> 00:01:51.080]  但是我們看到
[00:01:51.080 --> 00:01:54.080]  在「真言」裏面是一個非常重要的教導
[00:01:54.080 --> 00:01:57.480]  在道中「真言」的一章至九章
