
[00:00:00.000 --> 00:00:07.000]  在新年期間,無論是中文電視台還是英文電視台,
[00:00:07.000 --> 00:00:14.000]  都會訪問風水佬,我發覺到現在,越來越多。
[00:00:14.000 --> 00:00:19.000]  你看到今天的人對前途非常感興趣,
[00:00:19.000 --> 00:00:24.000]  但另一方面,你也看到人對前面的路非常沒有安全感,
[00:00:24.000 --> 00:00:26.000]  他們很想有些東西能夠抓得緊,
[00:00:26.000 --> 00:00:30.000]  以致他們有些安全感,能夠安慰自己。
[00:00:30.000 --> 00:00:36.000]  我們看到這些占卜也好,解籤也好,
[00:00:36.000 --> 00:00:39.000]  轉風車也好,然後投柱香也好,
[00:00:39.000 --> 00:00:42.000]  今天早上不是最早是我們告訴大家,
[00:00:42.000 --> 00:00:46.000]  最早是黃大仙那裡,天未亮已經在那裡等,
[00:00:46.000 --> 00:00:49.000]  排排長龍在那裡等,為什麼要等呢?
[00:00:49.000 --> 00:00:52.000]  因為拿投柱香,衝得快,他們覺得很世界,
[00:00:52.000 --> 00:00:55.000]  衝進去的時候,一插插進去,然後許個願,就走了。
[00:00:55.000 --> 00:00:59.000]  不管其他人怎樣,總之推倒別人也要去,
[00:00:59.000 --> 00:01:02.000]  這是今天香港一些很特別,
[00:01:02.000 --> 00:01:08.000]  但另一方面,我們也看到一般人的信仰是為誰?
[00:01:08.000 --> 00:01:15.000]  是為自己,是要整頓別人,抬高自己,保護自己,保障自己。
[00:01:15.000 --> 00:01:20.000]  但我們看回聖經,從頭到尾都要告訴我們,
[00:01:20.000 --> 00:01:25.000]  施比受,更為有福。
[00:01:25.000 --> 00:01:30.000]  我看見一個神,如果是真的神,
[00:01:30.000 --> 00:01:34.000]  他應該讓給別人,如果是好東西就讓給別人,
[00:01:34.000 --> 00:01:38.000]  你先去,你先去,可以坐嗎?你先坐吧。
[00:01:38.000 --> 00:01:43.000]  這是聖經裡面的教導,施比受,更為有福。
[00:01:43.000 --> 00:01:45.000]  我們今天來看看,
[00:01:45.000 --> 00:01:55.000]  預言這種風氣,繼續不斷瀰漫著整個2012年後半年時間,
[00:01:55.000 --> 00:02:01.000]  報紙經常賣到2012年12月21日,過了。
[00:02:01.000 --> 00:02:05.000]  他們說那天是什麼?世界末日,沒有了。
[00:02:05.000 --> 00:02:09.000]  但沒有了,會不會令這些預言沒有了呢?不會。
[00:02:09.000 --> 00:02:15.000]  你聽聽聖上學家占卜的人,
[00:02:15.000 --> 00:02:19.000]  繼續不斷說,未來這一年會怎樣怎樣。
[00:02:19.000 --> 00:02:23.000]  但我們奇怪的是,這些預言,
[00:02:23.000 --> 00:02:29.000]  竟然繼續不斷在教會裡面,越來越流行。
[00:02:29.000 --> 00:02:35.000]  而帶來的結果,就是越來越多的教派成為異端,成為邪教。
[00:02:35.000 --> 00:02:40.000]  而今天,令我們更加擔心,就是比較極端的靈恩教會,
[00:02:40.000 --> 00:02:44.000]  也越來越多的目者在講預言。
[00:02:44.000 --> 00:02:50.000]  當今東南亞,當今世上,最偉大的預言家,
[00:02:50.000 --> 00:02:53.000]  來香港舉行報道大會。
[00:02:53.000 --> 00:03:00.000]  這些的招牌,令我們有種震驚和不安。
[00:03:00.000 --> 00:03:07.000]  換句話來說,我們回顧一下,今天越來越多的極端靈恩教會,
[00:03:07.000 --> 00:03:16.000]  已經將占卜、觀笑、求籤、風水,這些東西,洋化了。
[00:03:16.000 --> 00:03:24.000]  以致到今天,變成一個西方洋人的迷信開始出現。
[00:03:24.000 --> 00:03:29.000]  我現在就給大家看看,這些洋人的迷信,和預言有關的。
[00:03:29.000 --> 00:03:31.000]  都是這樣。
[00:03:31.000 --> 00:03:37.000]  他們一般都是這樣的,他說我每天都和神傾談。
[00:03:37.000 --> 00:03:41.000]  然後就說,神告訴我會有些什麼事情發生。
[00:03:41.000 --> 00:03:43.000]  神告訴我會有些什麼事情發生。
[00:03:43.000 --> 00:03:48.000]  左邊,上角,第一個,基督復臨安息日會,
[00:03:48.000 --> 00:03:56.000]  創辦人叫做William Miller,他曾經作過很多不同的預言。
[00:03:56.000 --> 00:04:01.000]  其中一個,是令到他當時正在服侍的浸信會,
[00:04:01.000 --> 00:04:03.000]  沒有辦法留他在那裡的,
[00:04:03.000 --> 00:04:09.000]  就是因為他的預言,耶穌會在1842年再來。
[00:04:09.000 --> 00:04:11.000]  全部都過了。
[00:04:11.000 --> 00:04:16.000]  另一方面,又說美國會出現被提,
[00:04:16.000 --> 00:04:18.000]  結果兩件事都不中。
[00:04:18.000 --> 00:04:25.000]  因為不中,美國浸信會當面就開除了他的牧師,解除了牧師的職責。
