
[00:00:00.000 --> 00:00:04.000]  各位親愛的朋友
[00:00:04.000 --> 00:00:12.000]  我不知道大家對最近世界上發生的事有什麼看法
[00:00:12.000 --> 00:00:14.000]  看看這張照片
[00:00:14.000 --> 00:00:18.000]  是出乎大部分人意料之外
[00:00:18.000 --> 00:00:24.000]  特朗普在很多人看淡的成就裏面
[00:00:24.000 --> 00:00:28.000]  贏盡今次的選舉
[00:00:28.000 --> 00:00:32.000]  他贏盡不單止是選舉人票
[00:00:32.000 --> 00:00:36.000]  他贏了大部分的選舉人票
[00:00:36.000 --> 00:00:40.000]  連總人數都贏了
[00:00:40.000 --> 00:00:44.000]  不單止總人數總統選舉贏了
[00:00:44.000 --> 00:00:48.000]  連選舉委員那邊都贏了
[00:00:48.000 --> 00:00:52.000]  然後代表也贏了
[00:00:52.000 --> 00:00:55.000]  上下議院全部都贏了
[00:00:55.000 --> 00:01:01.000]  是因為這樣其實他可以玩完
[00:01:01.000 --> 00:01:04.000]  所以根本都未上台
[00:01:04.000 --> 00:01:07.000]  很多事是出乎意料
[00:01:07.000 --> 00:01:10.000]  我們今天看看他要找的人
[00:01:10.000 --> 00:01:14.000]  你就知道他未上台
[00:01:14.000 --> 00:01:20.000]  他已經說因為過去他不在總統的位
[00:01:20.000 --> 00:01:30.000]  所以那個鵝窩的戰爭才打得成
[00:01:30.000 --> 00:01:36.000]  如果他在位是不可能出現這場戰爭
[00:01:36.000 --> 00:01:40.000]  以巴一樣如果我在位
[00:01:40.000 --> 00:01:42.000]  我不會這樣的
[00:01:42.000 --> 00:01:44.000]  是一早已經停了
[00:01:44.000 --> 00:01:48.000]  另一方面他一上台已經說
[00:01:48.000 --> 00:01:55.000]  他要讓美國再一次成為最強大的國家
[00:01:55.000 --> 00:01:58.000]  然後你去看他找的人
[00:01:58.000 --> 00:02:00.000]  你真是很奇怪
[00:02:00.000 --> 00:02:03.000]  那些人從來沒有從政的經驗
[00:02:03.000 --> 00:02:05.000]  他找一個生意人
[00:02:05.000 --> 00:02:08.000]  這個生意人上場的時候
[00:02:08.000 --> 00:02:10.000]  就是Tesla的總裁
[00:02:10.000 --> 00:02:13.000]  他說我不要薪水
[00:02:13.000 --> 00:02:19.000]  找我做你那麼多的幕僚長
[00:02:19.000 --> 00:02:21.000]  其實差不多是打息那一個
[00:02:21.000 --> 00:02:25.000]  最近有一張圖給大家看到
[00:02:25.000 --> 00:02:33.000]  就是他和副總統和Tesla的總裁馬斯克一起拍
[00:02:33.000 --> 00:02:36.000]  直接報紙上都賣了出來
[00:02:36.000 --> 00:02:43.000]  其實幕後的影子的總統不是特朗普
[00:02:43.000 --> 00:02:46.000]  是這個生意人
[00:02:46.000 --> 00:02:49.000]  是他自己打了息
[00:02:49.000 --> 00:02:51.000]  我們試一試看
[00:02:51.000 --> 00:02:56.000]  他打的息被特朗普的獻策到底是關於什麼呢
[00:02:56.000 --> 00:03:00.000]  有很多賺不到錢的地方
[00:03:00.000 --> 00:03:04.000]  他叫特朗普你不要玩下去了
[00:03:04.000 --> 00:03:06.000]  斷了他
[00:03:06.000 --> 00:03:08.000]  所以還沒上場他已經說了
[00:03:08.000 --> 00:03:10.000]  我上場的第一天
[00:03:10.000 --> 00:03:12.000]  我任總統的第一天
[00:03:12.000 --> 00:03:14.000]  我會退出世衛
[00:03:14.000 --> 00:03:15.000]  為什麼
[00:03:15.000 --> 00:03:18.000]  世衛是我們一直注錢下去
[00:03:18.000 --> 00:03:20.000]  但是沒得賺
[00:03:20.000 --> 00:03:22.000]  沒得回頭
[00:03:22.000 --> 00:03:24.000]  是沒用的
[00:03:24.000 --> 00:03:26.000]  你支持一個這樣的機構
[00:03:26.000 --> 00:03:28.000]  倒不如省點錢
[00:03:28.000 --> 00:03:33.000]  另外我們更加看到
[00:03:33.000 --> 00:03:36.000]  他對歐洲的看法
[00:03:36.000 --> 00:03:38.000]  他講到明
[00:03:38.000 --> 00:03:40.000]  他上任之後
[00:03:40.000 --> 00:03:48.000]  他一定要加重所有歐盟進口去美國的貨品
[00:03:48.000 --> 00:03:49.000]  加重誰
[00:03:49.000 --> 00:03:51.000]  除非他們做什麼呢
[00:03:51.000 --> 00:03:58.000]  除非他們加大購買美國原油的產品
[00:03:58.000 --> 00:03:59.000]  為什麼
[00:03:59.000 --> 00:04:07.000]  因為歐盟過去各國從歐洲進口去美國的
[00:04:07.000 --> 00:04:11.000]  是每年有5533億美元
[00:04:11.000 --> 00:04:13.000]  這是2022年
[00:04:13.000 --> 00:04:17.000]  5533億美元
[00:04:17.000 --> 00:04:21.000]  但是對歐盟的出口
[00:04:21.000 --> 00:04:27.000]  美國只得賬3508億
[00:04:27.000 --> 00:04:29.000]  換句話說
[00:04:29.000 --> 00:04:31.000]  他們的貿易差額
[00:04:31.000 --> 00:04:38.000]  2022年是2025億美元
[00:04:38.000 --> 00:04:40.000]  是因為這個原因
[00:04:40.000 --> 00:04:42.000]  特朗普還沒上場
[00:04:42.000 --> 00:04:44.000]  他看完這些數據
[00:04:44.000 --> 00:04:49.000]  特斯拉的總裁馬斯克看完這些數據
[00:04:49.000 --> 00:04:51.000]  他說這些生意
[00:04:51.000 --> 00:04:53.000]  你要想辦法
[00:04:53.000 --> 00:04:55.000]  因為他講到明
[00:04:55.000 --> 00:04:57.000]  我上場之後
[00:04:57.000 --> 00:05:01.000]  歐盟除非你加大購買美國的產品
[00:05:01.000 --> 00:05:07.000]  否則我會大幅增加你們的入口關稅
[00:05:07.000 --> 00:05:09.000]  另外對中國一樣
