
[00:00:00.000 --> 00:00:09.000]  但是我很想知道 講侍奉不只是講給Pastor Benson和Roland聽
[00:00:09.000 --> 00:00:11.000]  其實是講給大家聽
[00:00:11.000 --> 00:00:15.000]  我用的經文羅馬書十二章大家都非常非常熟悉
[00:00:15.000 --> 00:00:19.000]  所以我很簡單 只是針對一個很簡單的信息
[00:00:19.000 --> 00:00:23.000]  我重點是放在第十二章第一節的下半節
[00:00:23.000 --> 00:00:30.000]  下半節裡面他說 你們如此侍奉 怎麼說呢?
[00:00:30.000 --> 00:00:32.000]  乃是理所當然的
[00:00:32.000 --> 00:00:35.000]  我們如此侍奉 乃是理所當然的
[00:00:35.000 --> 00:00:41.000]  問題就是 你們是針對什麼呢?
[00:00:41.000 --> 00:00:42.000]  你有沒有想到?
[00:00:42.000 --> 00:00:47.000]  你可能想到 今天Pastor Benson和Roland就職
[00:00:47.000 --> 00:00:50.000]  他們侍奉是理所當然的
[00:00:50.000 --> 00:00:57.000]  或者你可能想到 長老、執事 特別教會最近很多的轉變
[00:00:57.000 --> 00:01:00.000]  我看到長老都很辛苦 是吧?
[00:01:00.000 --> 00:01:03.000]  你做長老嘛 理所當然
[00:01:03.000 --> 00:01:08.000]  我們清楚知道 保羅所講的理門 如此侍奉的理門
[00:01:08.000 --> 00:01:10.000]  不只是少數的人
[00:01:10.000 --> 00:01:16.000]  不只是牧師 不只是長老或者執事
[00:01:16.000 --> 00:01:21.000]  保羅所講的理門 這個侍奉的呼召是所有的人
[00:01:21.000 --> 00:01:22.000]  怎麼說呢?
[00:01:22.000 --> 00:01:27.000]  羅馬書十二章我們知道 其實是第一章到十一章的反思
[00:01:27.000 --> 00:01:29.000]  一個回應
[00:01:29.000 --> 00:01:31.000]  保羅在羅馬書第一章到十一章是講什麼?
[00:01:31.000 --> 00:01:34.000]  是講一個神偉大的救恩
[00:01:34.000 --> 00:01:39.000]  是一個救恩的神學 是無懈可擊的
[00:01:39.000 --> 00:01:42.000]  從創造、從猶太人、從外邦人
[00:01:42.000 --> 00:01:45.000]  你怎樣爭拗、怎樣說都好
[00:01:45.000 --> 00:01:48.000]  神的救恩是無懈可擊
