
[00:00:00.000 --> 00:00:14.900]  我想問一問過去一年有多少人感覺到生活逼人物價越來越高,可否舉手?
[00:00:14.900 --> 00:00:25.900]  有感覺,我前天去看醫生,去擦腳,整身都要擦,
[00:00:25.900 --> 00:00:38.000]  那個物理治療師叫我為他討告,其實平時他幫我擦身體,我就開口幫他講福音,
[00:00:38.000 --> 00:00:43.800]  有兩個幫我醫過的人其實都信得住,來我們教會,
[00:00:43.800 --> 00:00:58.700]  這個其實他都已經在大概四個月前跟我說,牧師我很想找一天請你喝茶,然後正正式式你帶我去做治療,
[00:00:58.700 --> 00:01:09.700]  我們要等這麼久,不用喝茶去治療,現在吧,你幫我做,講一句,這樣就行了,我幫你做,
[00:01:09.700 --> 00:01:19.100]  他說不行的,我要真的嚴肅一點,正經一點,還有另一方面,他說還有一個牧師,都是跟我說過福音,
[00:01:19.100 --> 00:01:31.600]  我又不想只你幫我做,但他又沒有在場,我也想他分享一下這份喜樂,心裏面很開心,其實他的心已經有了,
[00:01:31.600 --> 00:01:41.500]  這個就是一個儀式,然後有的時候開始約,約到現在都沒有一個時間,是我和那個牧師都可以match到,
[00:01:41.500 --> 00:01:52.500]  那個是博神的院長,剛剛回來兩個多月,然後馬不停蹄,丁姐妹,他跟我分享的時候,
[00:01:52.500 --> 00:02:04.400]  我希望你為我討告的一件事,就是他現在在用的地方,是賣了出去,但是賣了出去之後,新的業主不知道肯不肯繼續租給他,
[00:02:04.400 --> 00:02:13.400]  花了這麼多錢,幾十萬來裝修,如果是這樣,要搬到別處又要裝修過,他就怕很辛苦,
[00:02:13.400 --> 00:02:27.300]  我為他祈禱,在我祈禱的時候,他叫他太太和新的業主和舊的業主來談,談完了之後,他臨走前跟我說,
[00:02:27.300 --> 00:02:40.300]  都談好了,他肯繼續租給我,不過租金就貴了一倍,我聽完之後,我就問他實際多少錢,
[00:02:40.300 --> 00:02:55.200]  我聽完之後,我就說都比市價差不多,所以都不是特別離譜,我跟他說,我們東九那邊是13元一呎,加到30元一呎,
[00:02:55.200 --> 00:03:10.100]  他那邊本來大概是四百多五百呎的地方,本來七千多元就很便宜,現在加到一萬三千多元,其實現在一般都是這麼貴,
[00:03:10.100 --> 00:03:21.100]  我就說都為你祈禱,生意多一些,以至你不用憂心尋覓,我都為這個物理治療師感恩,
[00:03:21.100 --> 00:03:32.000]  因為他都想著會繼續,他都知道過去的業主收少了他的租金,他都有一個感恩的心,
[00:03:32.000 --> 00:03:48.000]  苦難,逆境,將會繼續不斷出現,同不同意嗎?我想問問大家,有些人在過去一個月的裏面有遇到逆境苦難,
[00:03:48.000 --> 00:04:00.900]  我聽你舉手,遇到逆境不開心的,舉那些說,馬岸山是不是安復呢?很安樂地享受這個福,
[00:04:00.900 --> 00:04:12.900]  鄭博賢,如果大家有留意新聞的報導,你有沒有看見,其實這個整個世界性的苦難是越來越多,
[00:04:12.900 --> 00:04:24.800]  到底苦難從何來呢?一般的人分析是兩樣,從兩個來源,第一個來源是天災,
[00:04:24.800 --> 00:04:34.800]  我們一起去看一看,這些天災包括中國的地震,日本的地震,印尼接連三個地震,
[00:04:34.800 --> 00:04:47.700]  還有很多不同的地方發生的地震,第二暴雨,風,特別菲律賓,住在那裏的人我們真的不知道他們怎麼叫,
[00:04:47.700 --> 00:05:01.700]  一顆美元又一顆,那裏是風暴的起源,繼續不斷有很多風在那裏,暴雨,上海剛剛昨天收到弟兄的電話,
[00:05:01.700 --> 00:05:13.600]  突然之間好像黑雨一樣,以至全部的街水浸街,汽車死火,很多很多的問題出現,龍捲風呢?
[00:05:13.600 --> 00:05:26.600]  美國的龍捲風是每年都繼續不斷增加,不知道為什麼,是越來越大,越來越多,連日本都有,台灣也有,中國大陸都有,
[00:05:26.600 --> 00:05:37.500]  另一方面我們再來看看另一種苦難的來源,我們叫它做人禍,同不同意嗎?
[00:05:37.500 --> 00:05:58.400]  很多的苦難是從人禍而來,看看最近的化武問題,聯合國去調查,美國就說一定要介入,制止這些化武繼續去傷害人,
[00:05:58.400 --> 00:06:11.300]  他說我們不是世界警察,但我們為了美國人的安全,世界人民的安全,我們一定要介入,但我們的介入是不會出兵的,
[00:06:11.300 --> 00:06:21.300]  我們就是去炸它,用飛彈炸它,用飛機炸它,所以他就說國民你們應該放心,我們不會出兵,
[00:06:21.300 --> 00:06:37.200]  不會讓美國陷在一個戰爭的苦難當中,但我剛剛兩天前收到的電郵,就是美國那邊的教會,群起一起集體聯署一封信給美國的總統,
[00:06:37.200 --> 00:06:53.100]  要他停止介入敘利亞這個戰爭,原因在哪裏呢,你就說不會影響我們,你就說我是炸它的,炸完之後我們不派兵的,所以我們不用死人,
[00:06:53.100 --> 00:07:06.000]  但那封信裏面,跟我說得很清楚,死人不一定是派兵去那個地方死,死人是你炸完人之後,人家打回來,
[00:07:06.000 --> 00:07:21.000]  911不是在伊朗,不是在伊拉克,不是在阿富汗發生,911死幾千人,是在美國的本土發生,是在紐約發生,
[00:07:21.000 --> 00:07:33.900]  所以他們反對,因為主要原因在哪裏呢,化武肯定是存在,但是這個化武是哪些人發動的呢,
[00:07:33.900 --> 00:07:46.900]  政府軍就說是反對派,反對派就說是政府軍,聯合國的調查已經有資料顯示兩邊的人都有份,
[00:07:46.900 --> 00:08:01.800]  所以我們看得見,其實敘利亞這裏的人,最痛苦的一樣東西,是自己人打自己人,而且是用一些最毒的手段來打自己人,
[00:08:01.800 --> 00:08:18.700]  你同不同意嗎,今天世界上絕大部分的國家,死的人不是死在外國人的手,而是死在自己人的手,
[00:08:18.700 --> 00:08:33.600]  中國,不要以為日本人殺中國人是殺得最多,錯了,中國人是死在中國人的手死得最多,
[00:08:33.600 --> 00:08:49.500]  蘇聯人在蘇聯的時代,是死在自己人的手死得最多,絕對不是外面的人,現在的伊拉克死在自己人手裏面的人是死得最多,
[00:08:49.500 --> 00:09:04.400]  美國人是死在自己人的手死得最多,原因在哪裏,因為每天都有槍殺,而這些槍殺死亡者,是遠比伊拉克的戰爭,阿富汗的戰爭死得更加多,
[00:09:04.400 --> 00:09:19.300]  人和,同不同意嗎,有幾個人同意,可不可以舉手,現在我又做了,從另一個角度和大家分享一下,苦從何來,一些例子,
