
[00:00:00.000 --> 00:00:07.000]  今天我們會繼續講天堂的系列
[00:00:07.000 --> 00:00:12.000]  有關天堂的信息差不多已經講完了
[00:00:12.000 --> 00:00:16.000]  靜樂黎只有三個信息想交代一下
[00:00:16.000 --> 00:00:21.000]  其中一個就是人死後會去哪裡
[00:00:21.000 --> 00:00:26.000]  我後來又想了一下這個題目似乎不太貼切
[00:00:26.000 --> 00:00:33.000]  所以我最後可能會改了這個題目做人死後的全部歷程會是怎樣
[00:00:33.000 --> 00:00:37.000]  包括我們的靈魂,包括我們的身體
[00:00:37.000 --> 00:00:42.000]  因為我今天要講的不是單單人死後的目的地在哪裡
[00:00:42.000 --> 00:00:50.000]  而是整個歷程直至到天堂或者地獄的歷程會怎樣
[00:00:50.000 --> 00:00:54.000]  有一個是超過一百年以上的墓碑
[00:00:54.000 --> 00:00:57.000]  這個墓碑上刻著說
[00:00:57.000 --> 00:01:03.000]  朋友,當你經過我的時候請你留步,請你留下
[00:01:03.000 --> 00:01:06.000]  我以前都是跟你一樣的
[00:01:06.000 --> 00:01:09.000]  你將來也會跟我一樣
[00:01:09.000 --> 00:01:12.000]  你準備來跟從我吧
[00:01:12.000 --> 00:01:16.000]  過了很多年,有人在這個墓碑上加上幾行字
[00:01:16.000 --> 00:01:19.000]  就是說,跟隨你,別搞我
[00:01:19.000 --> 00:01:23.000]  讓我搞清楚你去了哪邊
[00:01:23.000 --> 00:01:29.000]  的確,有很多人,尤其是未認識耶穌基督
[00:01:29.000 --> 00:01:32.000]  真的不知道死後會去哪裡
[00:01:32.000 --> 00:01:36.000]  有兩個很大的問題對於人類
[00:01:36.000 --> 00:01:39.000]  就是親朋戚友死後他們會去哪裡
[00:01:39.000 --> 00:01:41.000]  究竟他們好不好
[00:01:41.000 --> 00:01:45.000]  今天我就會根據聖經的教導來看
[00:01:45.000 --> 00:01:49.000]  究竟一個人死後他的歷程會是怎樣
[00:01:49.000 --> 00:01:55.000]  這亦包括所有舊弱的人和新弱的人
[00:01:55.000 --> 00:02:01.000]  我們知道每個人都有兩個部份在我們身上
[00:02:01.000 --> 00:02:04.000]  就是我們的身體和靈魂
[00:02:04.000 --> 00:02:09.000]  俗世的人認為我們的身體才是真正的我
[00:02:09.000 --> 00:02:13.000]  我們的靈魂只不過是附在我們身體的上高
[00:02:13.000 --> 00:02:18.000]  當一個人死後,靈魂就會煙消灰滅
[00:02:18.000 --> 00:02:20.000]  但基督徒不是這樣想的
[00:02:20.000 --> 00:02:24.000]  基督徒知道我們的靈魂才是真正的我
[00:02:24.000 --> 00:02:26.000]  我們的靈魂是不滅的
[00:02:26.000 --> 00:02:31.000]  我們的靈魂只不過是暫時住在我們身體裏
[00:02:31.000 --> 00:02:37.000]  保羅告訴我們,我們的身體就像一個帳篷一樣
[00:02:37.000 --> 00:02:39.000]  在哥倫多後書的五章一節
[00:02:39.000 --> 00:02:45.000]  說我們原知道我們在地上的帳篷若拆毀了
[00:02:45.000 --> 00:02:48.000]  必得神所做,不是人手所做
[00:02:48.000 --> 00:02:51.000]  在天上永存的房屋
[00:02:51.000 --> 00:02:56.000]  當我們地上的帳篷,我們的身體越來越舊
[00:02:56.000 --> 00:02:58.000]  甚至我們的死亡
[00:02:58.000 --> 00:03:01.000]  我們將來在天上,如果我們接受耶穌基督的話
[00:03:01.000 --> 00:03:04.000]  我們將會有永遠的房屋
[00:03:04.000 --> 00:03:07.000]  這就是我們將會有榮耀的身體
[00:03:07.000 --> 00:03:11.000]  有完美的身體,能夠永遠與神同在
[00:03:11.000 --> 00:03:12.000]  所以保羅說
[00:03:12.000 --> 00:03:18.000]  我們坦言無懼,是更願意離開身體與主同住
[00:03:18.000 --> 00:03:23.000]  我們將來是會去到與神一起永遠的同在
[00:03:23.000 --> 00:03:25.000]  我們死了之後
[00:03:25.000 --> 00:03:30.000]  我們知道我們的身體和靈魂都會去到不同的地方
[00:03:30.000 --> 00:03:34.000]  索羅門王傳道書的作者很有智慧
[00:03:34.000 --> 00:03:36.000]  在十二章的七節
[00:03:36.000 --> 00:03:42.000]  他說,塵土仍歸於地,靈仍歸於次靈的神
[00:03:42.000 --> 00:03:46.000]  每個人死了之後都會塵歸塵土歸土
[00:03:46.000 --> 00:03:51.000]  但是,一個屬神的人,我們的靈魂卻會出自歸於神
[00:03:51.000 --> 00:03:54.000]  所以這個解答了一個問題
[00:03:54.000 --> 00:03:57.000]  無論是新約的人,舊約的人
[00:03:57.000 --> 00:03:59.000]  我們死了之後的身體會怎樣
[00:03:59.000 --> 00:04:02.000]  都是塵歸塵土歸土
[00:04:02.000 --> 00:04:05.000]  那我們的靈魂呢?
[00:04:05.000 --> 00:04:07.000]  我們一起來看看
[00:04:07.000 --> 00:04:09.000]  究竟舊約的人死了之後
[00:04:09.000 --> 00:04:11.000]  他們的靈魂會去到哪裡?
[00:04:11.000 --> 00:04:15.000]  我們一起來看看路加福音第十六章
[00:04:15.000 --> 00:04:19.000]  告訴我們有財主和拉薩路的故事
[00:04:19.000 --> 00:04:23.000]  有人說,你又說看舊約的人的靈魂去了哪裡?
[00:04:23.000 --> 00:04:27.000]  路加福音第十六章在說新約
[00:04:27.000 --> 00:04:31.000]  其實你看看這個故事的主角之一
[00:04:31.000 --> 00:04:33.000]  是阿伯拉罕
[00:04:33.000 --> 00:04:36.000]  通常新約和舊約的轉捩點
[00:04:36.000 --> 00:04:39.000]  是和施洗約的死有關
[00:04:39.000 --> 00:04:42.000]  在馬太福音的十一章十三節
[00:04:42.000 --> 00:04:45.000]  或者路加福音的十六章十六節
[00:04:45.000 --> 00:04:47.000]  但是你今天所說的
[00:04:47.000 --> 00:04:49.000]  是和耶穌基督的死有關
[00:04:49.000 --> 00:04:51.000]  等一會我會交代
[00:04:51.000 --> 00:04:54.000]  首先看看路加福音十六章
[00:04:54.000 --> 00:04:56.000]  所說的財主和拉薩路的故事
[00:04:56.000 --> 00:04:58.000]  不是一個比喻
[00:04:58.000 --> 00:05:01.000]  比喻是沒有名字,沒有名稱
[00:05:01.000 --> 00:05:05.000]  這裡我們看到拉薩路有阿伯拉罕的名字
[00:05:05.000 --> 00:05:09.000]  很明顯這裡是說一件真實的故事
[00:05:09.000 --> 00:05:13.000]  財主和拉薩路兩個死了之後
[00:05:13.000 --> 00:05:17.000]  聖經告訴我們他們去了兩個不同的地方
[00:05:17.000 --> 00:05:21.000]  拉薩路被天使帶到舊約信心之父
[00:05:21.000 --> 00:05:23.000]  阿伯拉罕的懷抱那裡
[00:05:23.000 --> 00:05:26.000]  享受,是一個享受的地方
[00:05:26.000 --> 00:05:28.000]  財主呢?
[00:05:28.000 --> 00:05:30.000]  財主死了之後被埋葬
[00:05:30.000 --> 00:05:34.000]  他的靈魂被帶到陰間來受苦
[00:05:34.000 --> 00:05:38.000]  有人說阿伯拉罕的懷抱
[00:05:38.000 --> 00:05:41.000]  拉薩路所去到的地方就是天堂
[00:05:41.000 --> 00:05:44.000]  我不同意這個說法
[00:05:44.000 --> 00:05:47.000]  因為聖經是不會有矛盾
[00:05:47.000 --> 00:05:50.000]  在啟示六的二十一章四節告訴我們
[00:05:50.000 --> 00:05:54.000]  天堂是沒有悲哀,沒有哭號,沒有痛苦
[00:05:54.000 --> 00:05:59.000]  如果在天堂的人能夠好像拉薩路那樣
[00:05:59.000 --> 00:06:03.000]  能夠看到財主在陰間受折磨
[00:06:03.000 --> 00:06:08.000]  你想想,如果你有一個親朋戚友是你所喜愛的
[00:06:08.000 --> 00:06:13.000]  你每天看到他在陰間受折磨,你會不會有喜樂?
[00:06:13.000 --> 00:06:16.000]  我相信你會有傷心,又痛苦
[00:06:16.000 --> 00:06:20.000]  所以我認為聖經是不會彼此的矛盾
[00:06:20.000 --> 00:06:24.000]  所以我相信拉薩路和阿伯拉罕所在的地方
[00:06:24.000 --> 00:06:27.000]  不是在說天堂
[00:06:27.000 --> 00:06:33.000]  也有一個馬來西亞的姊妹曾經問過這個問題
[00:06:33.000 --> 00:06:36.000]  她說她自己是接受了耶穌基督
[00:06:36.000 --> 00:06:39.000]  她說她的弟弟是沒有接受到耶穌基督
[00:06:39.000 --> 00:06:41.000]  怎樣也不肯接受
[00:06:41.000 --> 00:06:43.000]  最後她的弟弟是死了
[00:06:43.000 --> 00:06:45.000]  她說她很傷心
[00:06:45.000 --> 00:06:51.000]  她說糟了,將來我在天堂天天看到我的弟弟在陰間受折磨
[00:06:51.000 --> 00:06:53.000]  她說我一定會很傷心
