
[00:00:00.000 --> 00:00:04.520]  各位電視節目平安
[00:00:04.520 --> 00:00:08.000]  從今日開始
[00:00:08.000 --> 00:00:13.240]  我將會和大家分享出埃及記的訊息
[00:00:13.240 --> 00:00:21.760]  我們看到現在以巴仍然繼續不斷打仗
[00:00:21.760 --> 00:00:27.240]  傷的人死的人是繼續不斷增加
[00:00:27.240 --> 00:00:30.480]  到底出路在哪裏呢?
[00:00:30.480 --> 00:00:39.240]  我今天首先想帶大家來看以色列在昔日
[00:00:39.240 --> 00:00:44.560]  如何在埃及被人當作奴隸
[00:00:44.560 --> 00:00:46.960]  如何受苦
[00:00:46.960 --> 00:00:50.960]  整個國家如何開始
[00:00:50.960 --> 00:00:54.560]  來做一種反省
[00:00:54.560 --> 00:00:57.360]  不只是我們去反省
[00:00:57.360 --> 00:01:01.360]  我盼望以色列都可以反省
[00:01:01.360 --> 00:01:05.360]  第一次我和大家分享的
[00:01:05.360 --> 00:01:09.360]  是一個絕處逢生的以色列
[00:01:09.360 --> 00:01:16.360]  出埃及的一章一節第一個字
[00:01:16.360 --> 00:01:23.360]  就是「和」、「這些」、「就是」、「明」字等等
[00:01:23.360 --> 00:01:28.360]  當我們留意到這個字「和這些」
[00:01:28.360 --> 00:01:32.360]  「和」、「這些」這個字
[00:01:32.360 --> 00:01:39.360]  第一個字母就是「和」
[00:01:39.360 --> 00:01:45.360]  這個希伯來的字母你可以將它翻譯成「和」
[00:01:45.360 --> 00:01:55.360]  你可能會很奇怪為何一本書開頭第一個字是用「和」呢?
[00:01:55.360 --> 00:02:02.360]  很明顯這本書一定有上文作為依據
[00:02:02.360 --> 00:02:05.360]  這個上文在哪裏呢?
[00:02:05.360 --> 00:02:12.360]  一定是緊接作者上一次所寫的內容
[00:02:12.360 --> 00:02:19.360]  我們看看作者上一次所說的內容是甚麼呢?
[00:02:19.360 --> 00:02:24.360]  原來最後一節《創世紀》50章26節
[00:02:24.360 --> 00:02:26.360]  那裏就交代了
[00:02:26.360 --> 00:02:31.360]  若失死了,正一百一十歲
[00:02:31.360 --> 00:02:34.360]  人用香料將他分了
[00:02:34.360 --> 00:02:39.360]  把他收殮在棺材裏,停在埃及
[00:02:39.360 --> 00:02:43.360]  我們從這裏可以清楚看到
[00:02:43.360 --> 00:02:47.360]  《創世紀》和《出埃及記》是緊扣在一起
[00:02:47.360 --> 00:02:49.360]  是分不開的
[00:02:49.360 --> 00:02:53.360]  換句話說,它不單止告訴我們
[00:02:53.360 --> 00:02:58.360]  摩世不只是《出埃及記》的作者
[00:02:58.360 --> 00:03:02.360]  他同時也是《創世紀》的作者
[00:03:02.360 --> 00:03:08.360]  因此我們看得見《創世紀》前面交代的內容
[00:03:08.360 --> 00:03:13.360]  《出埃及記》是緊緊承接著
[00:03:13.360 --> 00:03:15.360]  這是很重要的
[00:03:15.360 --> 00:03:22.360]  今天我們第一次開始《出埃及記》的訊息的時候
[00:03:22.360 --> 00:03:26.360]  想跟大家重溫一下
[00:03:26.360 --> 00:03:33.360]  歷史上有哪個國家是亡國了仍然可以復國的呢?
[00:03:33.360 --> 00:03:40.360]  有哪個民族差點全族滅絕
[00:03:40.360 --> 00:03:47.360]  但仍然可以以國家的身份來存在呢?
[00:03:47.360 --> 00:03:53.360]  我們首先來看看
[00:03:53.360 --> 00:03:58.360]  約瑟死後有新的法老上來
[00:03:58.360 --> 00:04:02.360]  而這個新的法老是不認識約瑟的
[00:04:02.360 --> 00:04:06.360]  大家知道我在說《創世紀》的時候
[00:04:06.360 --> 00:04:09.360]  都說到約瑟死的時候
[00:04:09.360 --> 00:04:13.360]  他臨死前留下一個吩咐
[00:04:13.360 --> 00:04:21.360]  這個吩咐就是要將他的屍骸一定要運回神給以色列的應許地
[00:04:21.360 --> 00:04:24.360]  就是迦南的美地
[00:04:24.360 --> 00:04:29.360]  是因為這個原因你看不到任何跡象
[00:04:29.360 --> 00:04:33.360]  約瑟曾經在埃及做過宰相
[00:04:33.360 --> 00:04:39.360]  你看不到任何跡象約瑟想埃及的人都去紀念他
[00:04:39.360 --> 00:04:42.360]  他就封宮毀跡
[00:04:42.360 --> 00:04:51.360]  約瑟甚至不想他的名字仍然留在埃及地
[00:04:51.360 --> 00:04:54.360]  是因為這個原因我們看得見
[00:04:54.360 --> 00:05:02.360]  在埃及的考古裡找不到任何這樣的痕跡
[00:05:02.360 --> 00:05:06.360]  我現在就想和大家來看看
[00:05:06.360 --> 00:05:12.360]  當這個新的法老上來他不認識約瑟
[00:05:12.360 --> 00:05:17.360]  對以色列人採取了什麼態度呢?
[00:05:17.360 --> 00:05:24.360]  日正七節開始
[00:05:24.360 --> 00:05:26.360]  以色列人生養眾多
[00:05:26.360 --> 00:05:28.360]  凡言昌盛
[00:05:28.360 --> 00:05:30.360]  極其強盛
[00:05:30.360 --> 00:05:32.360]  遍滿了那地
[00:05:32.360 --> 00:05:35.360]  有一位不認識約瑟的新王兄起
[00:05:35.360 --> 00:05:36.360]  孔子埃及
[00:05:36.360 --> 00:05:38.360]  他對自己的白石說
[00:05:38.360 --> 00:05:42.360]  看啊!以色列人的百姓比我們重要多
[00:05:42.360 --> 00:05:44.360]  又比我們強盛
[00:05:44.360 --> 00:05:49.360]  我們用技巧的方法來對待他們
[00:05:49.360 --> 00:05:52.360]  恐怕他們增多起來
[00:05:52.360 --> 00:05:54.360]  將來如果有戰爭
[00:05:54.360 --> 00:05:57.360]  他們就聯合我們的仇敵來攻擊我們
[00:05:57.360 --> 00:06:01.360]  然後離開這地去了
[00:06:01.360 --> 00:06:06.360]  於是埃及人就派監工管轄他們
[00:06:06.360 --> 00:06:08.360]  用奴役虎待他們
[00:06:08.360 --> 00:06:12.360]  他們為法老建造諸貨城
[00:06:12.360 --> 00:06:15.360]  又是比東和蘭才
[00:06:15.360 --> 00:06:18.360]  那時越是虎待他們
[00:06:18.360 --> 00:06:21.360]  他們就越是人多
