
[00:00:00.000 --> 00:00:06.880]  今天我們查以色列書第14和第15章
[00:00:06.880 --> 00:00:10.320]  加起來只有30多節的經文
[00:00:10.320 --> 00:00:14.080]  因為第15章是相當短的
[00:00:14.080 --> 00:00:17.760]  所以我們今天可能會簡短一點
[00:00:17.760 --> 00:00:22.720]  我們首先開始看第14章
[00:00:22.720 --> 00:00:30.960]  第14章第一節似乎是提醒我們以色列書第8章
[00:00:30.960 --> 00:00:34.240]  就是以色列和那些長老在一起
[00:00:34.240 --> 00:00:38.160]  這些長老是什麼長老呢?
[00:00:38.160 --> 00:00:42.160]  這裡說有幾個以色列長老
[00:00:42.160 --> 00:00:45.920]  如果以色列的長老應該是在耶路撒冷
[00:00:45.920 --> 00:00:47.680]  在以色列地
[00:00:47.680 --> 00:00:50.080]  為什麼會在這裡呢?
[00:00:50.080 --> 00:00:53.440]  因為我們現在到第14章的時候
[00:00:53.440 --> 00:01:01.280]  我相信以色列的長老其實不是在耶路撒冷的長老
[00:01:01.280 --> 00:01:07.360]  因為那時候耶路撒冷去巴比倫是需要幾天的時間
[00:01:07.360 --> 00:01:12.800]  不會說耶路撒冷的長老去巴比倫探望他們
[00:01:12.800 --> 00:01:15.280]  就來探望以色列來他們家裡聊天
[00:01:15.280 --> 00:01:16.960]  絕對沒有這樣的事情
[00:01:16.960 --> 00:01:19.200]  這一群人是被擄
[00:01:19.200 --> 00:01:23.040]  是反對他們的願意抓了他們
[00:01:23.040 --> 00:01:27.040]  去了600多700里以外巴比倫的地方
[00:01:27.040 --> 00:01:29.920]  所以第二批他們被擄的時候
[00:01:29.920 --> 00:01:33.920]  有些教會領袖就是這一群長老
[00:01:33.920 --> 00:01:36.080]  都是一起去到巴比倫的
[00:01:36.080 --> 00:01:41.200]  所以這一群長老就好像第8章的長老
[00:01:41.200 --> 00:01:44.800]  是被擄去巴比倫的長老
[00:01:44.800 --> 00:01:47.760]  絕對不是耶路撒冷的宗教領袖
[00:01:47.760 --> 00:01:49.600]  但是這些都是宗教領袖
[00:01:49.600 --> 00:01:50.960]  所以都是叫做長老
[00:01:50.960 --> 00:01:52.800]  他都有長老的身份
[00:01:52.800 --> 00:01:55.360]  這一群是宗教的領袖
[00:01:55.360 --> 00:01:58.800]  他們來到以色列的家裡
[00:01:58.800 --> 00:02:01.200]  是和他來聊天
[00:02:01.200 --> 00:02:03.360]  坐在他面前
[00:02:03.360 --> 00:02:07.440]  究竟他來找以色列
[00:02:07.440 --> 00:02:10.720]  是和他聊什麼呢?
[00:02:10.720 --> 00:02:14.080]  底下有20多節的經文
[00:02:14.080 --> 00:02:18.400]  都是神吩咐以色列和他們說的話
[00:02:18.400 --> 00:02:23.040]  第二節耶和華的話就臨到我說
[00:02:23.040 --> 00:02:25.040]  底下說的那些東西
[00:02:25.040 --> 00:02:29.120]  是叫以色列和長老說的
[00:02:29.120 --> 00:02:33.440]  那些長老來到是和以色列說什麼呢?
[00:02:33.440 --> 00:02:35.280]  在這裡沒有說
[00:02:35.280 --> 00:02:36.880]  第二節一開始就說
[00:02:36.880 --> 00:02:39.840]  神就吩咐以色列和他們說話
[00:02:39.840 --> 00:02:43.200]  究竟這群人來是和以色列說什麼呢?
[00:02:43.200 --> 00:02:46.160]  我不相信是一來到一坐下
[00:02:46.160 --> 00:02:48.640]  神就開始吩咐以色列和他們說話
[00:02:48.640 --> 00:02:50.640]  前面當然有說話的
[00:02:50.640 --> 00:02:53.280]  給我們看到一些蛛絲馬跡
[00:02:53.280 --> 00:02:58.160]  就是他們來到是求問的
[00:02:58.160 --> 00:02:59.200]  是求問的
[00:02:59.200 --> 00:03:00.480]  你看看第三節
[00:03:00.480 --> 00:03:02.000]  第三節尾
[00:03:02.000 --> 00:03:04.560]  神和他們說的話
[00:03:04.560 --> 00:03:08.640]  尾段第三節是求問
[00:03:08.640 --> 00:03:10.720]  他們是求問
[00:03:10.720 --> 00:03:13.040]  然後你再看下去
[00:03:13.040 --> 00:03:20.000]  第四節尾在他所求的事上
[00:03:20.000 --> 00:03:21.120]  又是求
[00:03:21.120 --> 00:03:22.480]  一個是求問
[00:03:22.480 --> 00:03:24.720]  一個是求一些的事
[00:03:24.720 --> 00:03:30.000]  然後第七節尾那一句
[00:03:30.000 --> 00:03:37.200]  「又就了先知要來為自己的事來求問我」
[00:03:37.200 --> 00:03:42.400]  就是這群長老來到以色列
[00:03:42.400 --> 00:03:44.880]  是來求問一些事的
[00:03:44.880 --> 00:03:48.640]  不是只是來探訪吃飯
[00:03:48.640 --> 00:03:50.320]  社交一下的
[00:03:50.320 --> 00:03:55.840]  他們是有些事要來見以色列
[00:03:55.840 --> 00:03:58.880]  而且這些事是一個求問
[00:03:58.880 --> 00:04:00.960]  求問和求
[00:04:00.960 --> 00:04:03.840]  就是包括他們想要一些事
[00:04:03.840 --> 00:04:06.320]  或者想知道一些事
[00:04:06.320 --> 00:04:08.240]  到底是什麼呢?
[00:04:08.240 --> 00:04:09.760]  這裡沒有說
[00:04:09.760 --> 00:04:13.520]  但是你記不記得第十二章
[00:04:13.520 --> 00:04:17.520]  神叫以西傑告訴他們
[00:04:17.520 --> 00:04:21.360]  我們有查六件事
[00:04:21.360 --> 00:04:24.400]  他要說他要做出來
[00:04:24.400 --> 00:04:29.600]  那個主子就是要告訴當時那群人
