
[00:00:00.000 --> 00:00:05.000]  各位大兄姊妹
[00:00:05.000 --> 00:00:08.000]  相信大家安坐在家中
[00:00:08.000 --> 00:00:12.000]  或者是對著手機或者對著ipad
[00:00:12.000 --> 00:00:14.000]  或者對著電視機
[00:00:14.000 --> 00:00:16.000]  來到聆聽的時候
[00:00:16.000 --> 00:00:19.000]  這是我們生命裡很特別的經驗
[00:00:19.000 --> 00:00:23.000]  這個會成為你日後不斷會
[00:00:23.000 --> 00:00:26.000]  記憶起的一段片段
[00:00:26.000 --> 00:00:29.000]  在疫情很嚴峻的時刻裡
[00:00:29.000 --> 00:00:32.000]  我們仍然想辦法藉著科技
[00:00:32.000 --> 00:00:34.000]  讓我們可以一起來敬拜
[00:00:34.000 --> 00:00:38.000]  雖然我們見不到眾多弟兄姊妹在教會裡
[00:00:38.000 --> 00:00:40.000]  雖然我們好像很孤單
[00:00:40.000 --> 00:00:45.000]  但是我們雖然見不到你
[00:00:45.000 --> 00:00:48.000]  但是我們同心合意的敬拜
[00:00:48.000 --> 00:00:51.000]  各位我們似乎又見不到的上帝
[00:00:51.000 --> 00:00:56.000]  但是卻活在我們生命中的神
[00:00:56.000 --> 00:01:00.000]  我所讀的這段聖經約翰福音第21章
[00:01:00.000 --> 00:01:03.000]  是大家很熟悉的一段經文
[00:01:03.000 --> 00:01:06.000]  熟悉因為是在書的結尾那一句
[00:01:06.000 --> 00:01:10.000]  耶穌基督問彼得那三個問題
[00:01:10.000 --> 00:01:13.000]  無論在講台上或者我們查經的時候
[00:01:13.000 --> 00:01:19.000]  我們都很著緊耶穌基督和彼得之間的一段對話
[00:01:19.000 --> 00:01:22.000]  你愛我比這些更深
[00:01:22.000 --> 00:01:25.000]  你知道我愛你
[00:01:25.000 --> 00:01:29.000]  你餵養你牧養我小養
[00:01:29.000 --> 00:01:32.000]  我們都記得這些說話
[00:01:32.000 --> 00:01:36.000]  但是這些說話是在什麼背景下講的呢?
[00:01:36.000 --> 00:01:44.000]  那個背景對我們今天的生命又有什麼提醒呢?
[00:01:44.000 --> 00:01:48.000]  我今天給的題目是撫平記憶的傷痕
[00:01:48.000 --> 00:01:52.000]  如果大家熟悉一些神學著作的話
[00:01:52.000 --> 00:01:56.000]  在先幾年上一任聖公會的大主教
[00:01:56.000 --> 00:01:59.000]  英國的聖公會的大主教Rowan Williams
[00:01:59.000 --> 00:02:04.000]  寫過一本書叫知識的傷痕
[00:02:04.000 --> 00:02:09.000]  實際上裡面講的是靈修神學裡面
[00:02:09.000 --> 00:02:14.000]  討論的一些不同的思考
