
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹 早安
[00:00:02.000 --> 00:00:05.000]  介紹自己 我是第一次來
[00:00:05.000 --> 00:00:08.000]  我的名稱叫明謙
[00:00:08.000 --> 00:00:11.000]  在見道裏面教書
[00:00:11.000 --> 00:00:14.000]  我甚麼都不懂 我只懂舊約
[00:00:14.000 --> 00:00:17.000]  所以我今天帶了一段舊約的經文
[00:00:17.000 --> 00:00:20.000]  比較冷門 就是以斯拉記
[00:00:20.000 --> 00:00:24.000]  我很感恩可以來到這裏和大家一起去敬拜
[00:00:24.000 --> 00:00:27.000]  因為你們叫我靜怡姐
[00:00:27.000 --> 00:00:30.000]  我叫她做Chinmi 其實是我的同班同學
[00:00:30.000 --> 00:00:33.000]  她是我中神讀書的時候
[00:00:33.000 --> 00:00:36.000]  一起的同班同學和一起做Good Project
[00:00:36.000 --> 00:00:39.000]  我靠她才能得到高分
[00:00:39.000 --> 00:00:42.000]  所以都是非常之感恩
[00:00:42.000 --> 00:00:45.000]  我現在有一個老婆和一個女兒
[00:00:45.000 --> 00:00:49.000]  我們一家人就住在長洲見道神學院裏面
[00:00:49.000 --> 00:00:53.000]  歡迎你進來吃大大粒魚蛋和芒果糯米糍的時候
[00:00:53.000 --> 00:00:56.000]  可以在這裏和我們一起敬拜
[00:00:56.000 --> 00:00:59.000]  我可以走上山頂道
[00:00:59.000 --> 00:01:03.000]  其實不是香港的山頂道 是長洲的山頂道
[00:01:03.000 --> 00:01:06.000]  我都算是住在山頂道
[00:01:06.000 --> 00:01:09.000]  在那裏一間村屋裏面
[00:01:09.000 --> 00:01:12.000]  我們在院有140多位學生
[00:01:12.000 --> 00:01:15.000]  我們正在服侍的
[00:01:15.000 --> 00:01:20.000]  市區校園在灣仔那裏有1400位校外學生
[00:01:20.000 --> 00:01:24.000]  我們大陸用自由行的課程
[00:01:24.000 --> 00:01:27.000]  每年辦10次的intensive
[00:01:27.000 --> 00:01:29.000]  一個星期的密集課程
[00:01:29.000 --> 00:01:32.000]  我們內地有800位的學生
[00:01:32.000 --> 00:01:35.000]  我們的學生群大概服務了這麼多
[00:01:35.000 --> 00:01:38.000]  我們懷著謙卑 恭敬的心
[00:01:38.000 --> 00:01:42.000]  為未來的教會 培訓的未來傳道人和宣教士
[00:01:42.000 --> 00:01:45.000]  這就是我們主要的任務
[00:01:45.000 --> 00:01:48.000]  我們都很想一起聽到支持
[00:01:48.000 --> 00:01:50.000]  去到一起祈禱
[00:01:50.000 --> 00:01:53.000]  讚美天父 祢啟示祢的話語
[00:01:53.000 --> 00:01:57.000]  讓我們每一個人因著祢的話語得著更新和改變
[00:01:57.000 --> 00:02:00.000]  我們很想透過以色列記
[00:02:00.000 --> 00:02:04.000]  去到再次明瞭怎樣去到重建我們對祢的敬拜
[00:02:04.000 --> 00:02:09.000]  不單止透過祢的話語增加我們的知識
[00:02:09.000 --> 00:02:11.000]  主啊 求祢改變我們的生命
[00:02:11.000 --> 00:02:14.000]  以致我們不是聽了就忘了
[00:02:14.000 --> 00:02:18.000]  而是能夠可以轉化我們黑暗的人生
