
[00:00:00.000 --> 00:00:05.500]  今晚我們去到以西傑書第25章
[00:00:05.500 --> 00:00:07.500]  以西傑書是有48章的
[00:00:07.500 --> 00:00:10.500]  我們已經進入第二個部分了
[00:00:10.500 --> 00:00:15.500]  你記得以西傑書開始那三章的時候
[00:00:15.500 --> 00:00:19.000]  就是講到以西傑蒙詔
[00:00:19.000 --> 00:00:22.500]  第一章他已經是看到異象
[00:00:22.500 --> 00:00:25.500]  然後他蒙詔就被猜險
[00:00:25.500 --> 00:00:28.500]  這個是開頭那三章的
[00:00:28.500 --> 00:00:32.500]  第4章至到第23章
[00:00:32.500 --> 00:00:35.500]  那個焦點都是在猶大
[00:00:35.500 --> 00:00:38.500]  猶大國就是南國
[00:00:38.500 --> 00:00:43.500]  以西傑當時人已經是被擄到巴比倫的了
[00:00:43.500 --> 00:00:45.500]  他是第二批被擄的
[00:00:45.500 --> 00:00:48.500]  第一批就是但爾利
[00:00:48.500 --> 00:00:51.500]  第二批就是那個皇帝
[00:00:51.500 --> 00:00:54.500]  兼以西傑先知
[00:00:54.500 --> 00:00:58.500]  第三批就快要被擄了
[00:00:58.500 --> 00:01:00.500]  而第三批被擄
[00:01:00.500 --> 00:01:02.500]  我們歷史上看回
[00:01:02.500 --> 00:01:05.500]  是主前的586年
[00:01:05.500 --> 00:01:08.500]  巴比倫攻入耶路撒冷
[00:01:08.500 --> 00:01:12.500]  就將大部分的人拿到巴比倫
[00:01:12.500 --> 00:01:15.500]  南國就滅亡了
[00:01:15.500 --> 00:01:18.500]  所以第4章至到第23章
[00:01:18.500 --> 00:01:21.500]  都是神透過以西傑
[00:01:21.500 --> 00:01:25.500]  來對當時的猶太人一個警告
[00:01:25.500 --> 00:01:29.500]  裏面說他們快要審判來了
[00:01:29.500 --> 00:01:31.500]  因為他們的罪是很大
[00:01:31.500 --> 00:01:36.500]  在聖殿那裏都公然在那裏拜偶像
[00:01:36.500 --> 00:01:40.500]  只有一小班人沒有拜偶像
