
[00:00:00.000 --> 00:00:02.000]  今天我們繼續思想羅家夫音的訊息
[00:00:02.000 --> 00:00:04.000]  請我們再一次同心低頭 同祈禱
[00:00:04.000 --> 00:00:06.000]  天父我們再一次感謝你
[00:00:06.000 --> 00:00:08.000]  給你寶貴的話語作為我們生命的指引
[00:00:08.000 --> 00:00:10.000]  求你藉著你的話語去提醒
[00:00:10.000 --> 00:00:16.000]  勸勉 安慰 督察 鼓勵 改變我們
[00:00:16.000 --> 00:00:20.000]  亦向我們每個人心底裏面說你要所說的話
[00:00:20.000 --> 00:00:22.000]  奉耶穌基督的名求 阿們
[00:00:22.000 --> 00:00:24.000]  在1907年9月7日
[00:00:24.000 --> 00:00:26.000]  在美國有一艘商船
[00:00:26.000 --> 00:00:28.000]  環過太平洋
[00:00:28.000 --> 00:00:30.000]  去到澳門的地方
[00:00:30.000 --> 00:00:32.000]  這艘船載著一個
[00:00:32.000 --> 00:00:34.000]  很出名的年青的傳教士
[00:00:34.000 --> 00:00:36.000]  叫做馬勵信
[00:00:36.000 --> 00:00:38.000]  在航行期間
[00:00:38.000 --> 00:00:40.000]  船長問這個年青人
[00:00:40.000 --> 00:00:42.000]  馬勵信
[00:00:42.000 --> 00:00:44.000]  為何不去澳門
[00:00:44.000 --> 00:00:46.000]  馬勵信回答說
[00:00:46.000 --> 00:00:48.000]  因為他在澳門
[00:00:48.000 --> 00:00:50.000]  他在澳門的船上
[00:00:50.000 --> 00:00:52.000]  這個年青人馬勵信
[00:00:52.000 --> 00:00:54.000]  問他為何要去中國
[00:00:54.000 --> 00:00:56.000]  他說他要去中國傳教
[00:00:56.000 --> 00:00:58.000]  這個船長就說
[00:00:58.000 --> 00:01:00.000]  去傳教?
[00:01:00.000 --> 00:01:02.000]  你知不知道
[00:01:02.000 --> 00:01:04.000]  你不能改變中國人
[00:01:04.000 --> 00:01:06.000]  去扮偶像
[00:01:06.000 --> 00:01:08.000]  馬勵信
[00:01:08.000 --> 00:01:10.000]  他就這樣回答
[00:01:10.000 --> 00:01:12.000]  我知道我不能
[00:01:12.000 --> 00:01:14.000]  但我相信
[00:01:14.000 --> 00:01:16.000]  神能夠做一切的事
