
[00:00:00.000 --> 00:00:08.120]  大家好 歡迎大家參與我們三藩市報道會
[00:00:08.120 --> 00:00:10.120]  網上五堂崇拜
[00:00:10.120 --> 00:00:14.000]  今天我們繼續思想《時詩記》的訊息
[00:00:14.000 --> 00:00:19.880]  《亂世皆疑》系列第五講《聖經》的歷史觀
[00:00:19.880 --> 00:00:24.760]  經文記載在《時詩記》第三章一節第十一節
[00:00:24.760 --> 00:00:27.400]  未開始思想這段《聖經》之前
[00:00:27.400 --> 00:00:29.400]  給我同心一同的禱告
[00:00:29.400 --> 00:00:33.400]  慈悲人或天父 我們滿心多謝你
[00:00:33.400 --> 00:00:37.400]  因為你不單是我們的救主
[00:00:37.400 --> 00:00:42.400]  亦都是萬事萬物和歷史的主宰
[00:00:42.400 --> 00:00:45.400]  你是擁有絕對的主權
[00:00:45.400 --> 00:00:50.400]  求你教導我們能夠用你的眼光
[00:00:50.400 --> 00:00:56.400]  來看過往的歷史和現今所發生的事
[00:00:56.400 --> 00:01:02.400]  以致我們能夠有聰明智慧明白你的心意
[00:01:02.400 --> 00:01:08.400]  求你用你的話語去提醒、怨勉、教導、安慰、督責我們
[00:01:08.400 --> 00:01:13.400]  我們這樣禱告那是奉耶穌基督命求 阿們
[00:01:13.400 --> 00:01:15.400]  什麼叫做歷史呢?
[00:01:15.400 --> 00:01:19.400]  我相信99%的人都會這樣回答
[00:01:19.400 --> 00:01:22.400]  昔日所發生的事不就是歷史嗎?
[00:01:22.400 --> 00:01:26.400]  看來沒有人會爭論這個答案
[00:01:26.400 --> 00:01:30.400]  但事實上又不是那麼簡單
[00:01:30.400 --> 00:01:33.400]  接著我們會問兩個大問題
[00:01:33.400 --> 00:01:35.400]  第一個問題就是
[00:01:35.400 --> 00:01:39.400]  我怎知道某些事情是真真正正在過去發生過
[00:01:39.400 --> 00:01:42.400]  抑或這只不過是編造出來
[00:01:42.400 --> 00:01:44.400]  或者只不過是神話故事
[00:01:44.400 --> 00:01:47.400]  而不是一個真正歷史呢?
[00:01:47.400 --> 00:01:49.400]  答案似乎很簡單
[00:01:49.400 --> 00:01:53.400]  專門研究歷史的人就會考據得清清楚楚
[00:01:53.400 --> 00:01:56.400]  就算不是100%準確
[00:01:56.400 --> 00:01:58.400]  誰不中疑不願意呢?
[00:01:58.400 --> 00:02:00.400]  如果這樣看來
[00:02:00.400 --> 00:02:04.400]  我們相信某個記載是屬於歷史事實
[00:02:04.400 --> 00:02:08.400]  就因為我們信得過那些歷史學家的研究
[00:02:08.400 --> 00:02:10.400]  問題就更加複雜了
[00:02:10.400 --> 00:02:13.400]  歷史學家又怎知道某些是事實
[00:02:13.400 --> 00:02:15.400]  某些不是事實呢?
[00:02:15.400 --> 00:02:18.400]  在歷史學這一門裏
[00:02:18.400 --> 00:02:20.400]  他們有一個金科約律
[00:02:20.400 --> 00:02:24.400]  叫做The Principle of Analogy of History
[00:02:24.400 --> 00:02:27.400]  所謂The Principle of Analogy of History
[00:02:27.400 --> 00:02:29.400]  是指某一件事情
[00:02:29.400 --> 00:02:31.400]  例如耶穌復活這件事
[00:02:31.400 --> 00:02:33.400]  在今天的世界裏
[00:02:33.400 --> 00:02:37.400]  如果找不到同樣的事情
[00:02:37.400 --> 00:02:39.400]  歷史學家就會否定
[00:02:39.400 --> 00:02:43.400]  例如你找到一些歷史證據
[00:02:43.400 --> 00:02:47.400]  證明某個人可以飛天遁地
[00:02:47.400 --> 00:02:50.400]  你看看今天都沒有人飛天遁地
[00:02:50.400 --> 00:02:54.400]  即是說你找到這些歷史文獻
[00:02:54.400 --> 00:02:57.400]  來證明這個人能夠飛天遁地
