
[00:00:00.000 --> 00:00:04.000]  大家好 吃了飯了
[00:00:04.000 --> 00:00:09.400]  其實很難的 在香港7點半開始都很困難
[00:00:09.400 --> 00:00:13.200]  我想這裡大家開車很辛苦 很遠 多謝你
[00:00:13.200 --> 00:00:17.080]  多謝教會給我一個機會去介紹一些
[00:00:17.080 --> 00:00:20.800]  可能你聽過的名字 但可能不太知道什麼的東西
[00:00:20.800 --> 00:00:26.200]  叫做EQ 和教會講聖經有什麼關係呢
[00:00:26.200 --> 00:00:28.560]  一會兒你聽了就知道了
[00:00:28.560 --> 00:00:35.800]  聖經很強調說 我們人很容易做錯事
[00:00:35.800 --> 00:00:41.200]  EQ都說人一直都想做對的事 但做不到
[00:00:41.200 --> 00:00:47.400]  就是自制力 比如別人問你不要吃太多東西
[00:00:47.400 --> 00:00:50.960]  膽固醇 吃完這餐吧
[00:00:50.960 --> 00:00:54.080]  你的自制力就不行了
[00:00:54.080 --> 00:00:59.520]  自制就是你能夠不做一些不好做的事
[00:00:59.520 --> 00:01:02.160]  但偏偏你做了 自制力就不好
[00:01:02.160 --> 00:01:05.320]  所以你的小朋友很多時候都說
[00:01:05.320 --> 00:01:10.080]  做功課就快到了 就快到那裡都沒有做
[00:01:10.080 --> 00:01:15.160]  因為他不懂自制 但自制力好的人都不等於好的
[00:01:15.160 --> 00:01:18.640]  比如他說我很安靜的 我不說話
[00:01:18.640 --> 00:01:22.920]  到你叫他有沒有意見呢 我現在自制的
[00:01:22.920 --> 00:01:26.360]  所以你說他沒有參與 我在美國讀書
[00:01:26.360 --> 00:01:30.040]  大家知道最重要的是參與的分數
[00:01:30.040 --> 00:01:35.760]  如果他一直都是自制 那就不行了 他要學自律
[00:01:35.760 --> 00:01:40.000]  自律是什麼呢 其實就是有些東西很值得做的
[00:01:40.000 --> 00:01:44.520]  你一定要去做 值得做
[00:01:44.520 --> 00:01:48.480]  有些東西一定要做的 比如早起床
[00:01:48.480 --> 00:01:51.400]  你真的有好習慣 這些是自律很厲害的人
[00:01:51.400 --> 00:01:54.560]  游泳 這些是自律很厲害的人
[00:01:54.560 --> 00:01:58.960]  有多少個好習慣你在人生做到呢
[00:01:58.960 --> 00:02:01.680]  不是很多 真的不是很多
