
[00:00:00.000 --> 00:00:08.000]  今天跟大家繼續講傳道書第十一堂
[00:00:08.000 --> 00:00:10.400]  還有三堂就講完
[00:00:10.400 --> 00:00:15.600]  下個星期就會講第十二堂
[00:00:15.600 --> 00:00:27.040]  就是必死、冷散與勤勞
[00:00:27.040 --> 00:00:32.360]  最後兩堂就是光明與黑暗和結局和總結
[00:00:32.360 --> 00:00:34.200]  講完傳道書
[00:00:34.200 --> 00:00:40.800]  終於在12月4日的堂
[00:00:40.800 --> 00:00:42.400]  我應該在香港
[00:00:42.400 --> 00:00:45.720]  所以同時進行
[00:00:45.720 --> 00:00:48.480]  不用太晚跟大家講
[00:00:48.480 --> 00:00:53.080]  但我本來也很想和大家實體聚會
[00:00:53.080 --> 00:00:57.960]  但我相信仍然有困難
[00:00:57.960 --> 00:01:03.640]  所以繼續在線上跟大家分享
[00:01:03.640 --> 00:01:08.120]  今天是人生智慧語言會第二講
[00:01:08.120 --> 00:01:09.640]  如果大家有聖經的話
[00:01:09.640 --> 00:01:12.840]  希望大家打開傳道書第九章
[00:01:12.840 --> 00:01:16.280]  今天會有十三節到十章十五節
[00:01:16.280 --> 00:01:19.000]  打開聖經比較容易跟進
[00:01:19.000 --> 00:01:21.000]  我會有大綱給大家
[00:01:21.000 --> 00:01:23.400]  大家可以跟著大綱來看
[00:01:23.400 --> 00:01:27.960]  這樣會比較容易明白
[00:01:27.960 --> 00:01:32.880]  在7月31日跟大家講了第一篇人生智慧語言會
[00:01:32.880 --> 00:01:34.520]  第七章
[00:01:34.520 --> 00:01:36.760]  有三點講了三件事
[00:01:36.760 --> 00:01:39.800]  第一人生要有智慧
[00:01:39.800 --> 00:01:41.480]  不要愚昧
[00:01:41.480 --> 00:01:44.360]  以致我們選擇的東西選得對
[00:01:44.360 --> 00:01:46.600]  知道的東西會做
[00:01:46.600 --> 00:01:48.280]  改要快
[00:01:48.280 --> 00:01:49.880]  選擇的東西要對
[00:01:49.880 --> 00:01:50.840]  知道的東西要做
[00:01:50.840 --> 00:01:51.880]  改的東西要快
[00:01:51.880 --> 00:01:55.160]  今天講九章十三節到十章十五節
[00:01:55.160 --> 00:01:58.840]  如果你看一看經文
[00:01:58.840 --> 00:02:00.280]  你會發現
[00:02:00.280 --> 00:02:02.280]  單看第一段
