
[00:00:00.000 --> 00:00:07.000]  和大家一起思想一個題目
[00:00:07.000 --> 00:00:16.000]  這個題目有點奇怪,因為在教會裏面可能比較少人思想的
[00:00:16.000 --> 00:00:21.000]  比較少人說的,但是在坊間外面的社會還說得多
[00:00:21.000 --> 00:00:26.000]  這個就是天士的課題
[00:00:26.000 --> 00:00:34.000]  天士有人說,在上一個世紀90年代之後,到今天
[00:00:34.000 --> 00:00:40.000]  從來人類歷史都沒有試過這麼流行的熱潮
[00:00:40.000 --> 00:00:44.000]  香港可能沒有那麼多,在亞洲沒有那麼多
[00:00:44.000 --> 00:00:53.000]  如果去到歐美的地方,在書局,在很多生活的產品或者商品裏面
[00:00:53.000 --> 00:00:56.000]  天士都是一個很重要的主角
[00:00:56.000 --> 00:01:02.000]  出了很多書,甚至每一個人都會有一個護衛天士
[00:01:02.000 --> 00:01:08.000]  或者叫Guardian Angel,你看不到,但是它在裏面
[00:01:08.000 --> 00:01:14.000]  如果你有什麼不同顏色的石,到需要的時候摸一摸它
[00:01:14.000 --> 00:01:17.000]  那個顏色就出了天士的說法
[00:01:17.000 --> 00:01:22.000]  當然這些是很迷信的東西,或者可能因為這麼迷信
[00:01:22.000 --> 00:01:27.000]  以致我們教會對於天士的課題都很少人說
[00:01:27.000 --> 00:01:31.000]  就免得混在別人的迷信
[00:01:31.000 --> 00:01:36.000]  為什麼這麼流行天士呢?我相信現在一個這麼現代的社會
[00:01:36.000 --> 00:01:41.000]  雖然是很科學,其實心裏面很多恐懼
[00:01:41.000 --> 00:01:45.000]  尤其是這個不可預料的世界,越來越多事情發生
[00:01:45.000 --> 00:01:52.000]  有一隻超能力小精靈,其實都很爽,都很溫馨
[00:01:52.000 --> 00:01:58.000]  你看不到它,它一直在,幫幫你,陪陪你
[00:01:58.000 --> 00:02:02.000]  可能這個緣故,大家都很嚮往天士
[00:02:02.000 --> 00:02:09.000]  好了,不說那些,我們說回聖經裏面,究竟有沒有說天士?
[00:02:09.000 --> 00:02:11.000]  肯定有
[00:02:11.000 --> 00:02:18.000]  如果你看打開聖經的時候,聖經有很多地方直接提到有天士
[00:02:18.000 --> 00:02:22.000]  神的使者,主的使者
[00:02:22.000 --> 00:02:28.000]  使者這個字,Malak,舊約,希伯萊文,新約的Angelo,即是angel這個字的來源
[00:02:28.000 --> 00:02:35.000]  在聖經裏面,你知道出現了多少次嗎?273次
[00:02:35.000 --> 00:02:37.000]  相當多的,你不可以說沒有
[00:02:37.000 --> 00:02:42.000]  聖經如果有,舊約到新約,我們說有66卷聖經
[00:02:42.000 --> 00:02:48.000]  其中有34卷,即是剛剛一半以上,都有記載有天士
[00:02:48.000 --> 00:02:51.000]  大家印象當中可能都記得很多
[00:02:51.000 --> 00:02:54.000]  在達爾利書有,舊約的撒加利亞書有
[00:02:54.000 --> 00:02:57.000]  新約當然立刻會記起啟示六有
[00:02:57.000 --> 00:03:01.000]  但是其實耶穌的生平裏面都出現了很多次天士
[00:03:01.000 --> 00:03:03.000]  只能轉有天士
[00:03:03.000 --> 00:03:09.000]  所以聖經裏面,神的話語肯定是有天士這回事的,不是一個迷信
[00:03:09.000 --> 00:03:13.000]  如果聖經是神的話,我們相信是神的話有講到天士
[00:03:13.000 --> 00:03:15.000]  今天我們就用天士作為一個主題
[00:03:15.000 --> 00:03:20.000]  不過我們不只是留意理解天士一回什麼的事
[00:03:20.000 --> 00:03:22.000]  我們也會交代一點點從聖經的真理
[00:03:22.000 --> 00:03:28.000]  但是更加重要的,因為天士在耶穌基督當日出生的時候
[00:03:28.000 --> 00:03:30.000]  即是2000年前
[00:03:30.000 --> 00:03:36.000]  曾經多次的出現,帶來信息,與不同的人說了不同的話
[00:03:36.000 --> 00:03:40.000]  今天我們更加重視的就是透過天士當時
[00:03:40.000 --> 00:03:44.000]  我們選了四個,四段的說話
[00:03:44.000 --> 00:03:49.000]  來反射出,派他來那位天士的神
[00:03:49.000 --> 00:03:52.000]  對你和我,對當時的人的心意是怎樣
[00:03:52.000 --> 00:03:55.000]  我相信這個才是更加重要的
[00:03:55.000 --> 00:03:58.000]  所以今天我就寫了一個比較長的大綱
[00:03:58.000 --> 00:04:03.000]  等著大家的程序單裡面,大家可以打開
[00:04:03.000 --> 00:04:05.000]  有些地方我會跳快一點講
[00:04:05.000 --> 00:04:08.000]  回去你就可以自己看回所有的經文
[00:04:08.000 --> 00:04:16.000]  我和大家一起思想關於這個聖誕節的天士的課題
[00:04:16.000 --> 00:04:23.000]  剛才我們說天士、聖經肯定是相信是有
[00:04:23.000 --> 00:04:25.000]  我們都相信會是有
[00:04:25.000 --> 00:04:31.000]  究竟為什麼要天士這一樣神所創造的靈體呢
[00:04:31.000 --> 00:04:36.000]  希伯來書第一章十四節就做了一個挺好的總結
[00:04:36.000 --> 00:04:39.000]  他說天士都是服役的靈
[00:04:39.000 --> 00:04:46.000]  逢猜遣為那些要承受救恩的人效勞的
[00:04:46.000 --> 00:04:50.000]  即是說天士第一個最重要的
[00:04:50.000 --> 00:04:55.000]  他是神所差派來,有些責任要做的
[00:04:55.000 --> 00:04:57.000]  所以他是神的使者
[00:04:57.000 --> 00:05:00.000]  即是說他有職責要完成的
[00:05:00.000 --> 00:05:03.000]  神差派他的,不是我們差派他的
[00:05:03.000 --> 00:05:06.000]  不是我們點他的,等下我們慢慢講
[00:05:06.000 --> 00:05:09.000]  是神差派他的
[00:05:09.000 --> 00:05:11.000]  第二,他是有職責的
[00:05:11.000 --> 00:05:14.000]  他的職責是要,我很感恩
[00:05:14.000 --> 00:05:19.000]  是為了那些神所愛的人,即是你和我,來效勞的
[00:05:19.000 --> 00:05:23.000]  雖然天士的靈體比我們強
[00:05:23.000 --> 00:05:28.000]  但是他的責任是神差派他來完成
[00:05:28.000 --> 00:05:34.000]  幫助我們神自己所創造的靈體
[00:05:34.000 --> 00:05:38.000]  究竟在什麼時間要做什麼呢
[00:05:38.000 --> 00:05:41.000]  當然聖經裏面有很多出現不同的時刻
[00:05:41.000 --> 00:05:44.000]  但是我們將它較為總結
[00:05:44.000 --> 00:05:49.000]  天士的出現,我們大概可以說是當人類
[00:05:49.000 --> 00:05:52.000]  或者是每一個個人生命裏面
[00:05:52.000 --> 00:05:56.000]  有一些很重要的時刻,一些轉折的時間
[00:05:56.000 --> 00:06:00.000]  那時候天士就會是神派他來出現的
[00:06:00.000 --> 00:06:02.000]  那出現做什麼呢
[00:06:02.000 --> 00:06:07.000]  在人類的歷史,或者你和我個人生命轉折的時候
[00:06:07.000 --> 00:06:10.000]  通常出現的時候就是
[00:06:10.000 --> 00:06:15.000]  要麼他是代表神來向我們傳遞信息
[00:06:15.000 --> 00:06:17.000]  待會我們會看到
[00:06:17.000 --> 00:06:21.000]  或者當我們有危難的時候,有危險的時候
[00:06:21.000 --> 00:06:26.000]  他是來保護神所愛的人
[00:06:26.000 --> 00:06:29.000]  這兩樣東西在天士經常出現的時候
[00:06:29.000 --> 00:06:32.000]  在聖經裏面記載我們看到的情況
[00:06:32.000 --> 00:06:38.000]  還有一些天士,他是在天上是經拜神的
[00:06:38.000 --> 00:06:43.000]  聖經裏面記載有四個天士是有名的
