
[00:00:00.000 --> 00:00:07.420]  我們不再讀了 剛才主席已經讀了
[00:00:07.420 --> 00:00:10.960]  因為經文就講到有一個不義的管家
[00:00:10.960 --> 00:00:14.680]  他就浪費資材 主人要解僱他
[00:00:14.680 --> 00:00:19.280]  他就知道要交代 這樣就很害怕
[00:00:19.280 --> 00:00:22.080]  於是他就做了一件很出位的事
[00:00:22.080 --> 00:00:27.300]  這件很出位的事 他就叫那些欠債的來
[00:00:27.300 --> 00:00:30.700]  100牛油就寫50
[00:00:30.700 --> 00:00:33.400]  110物質寫80
[00:00:33.400 --> 00:00:39.900]  我想問你 你讀了經文之後 你感覺怎樣?
[00:00:39.900 --> 00:00:46.120]  耶穌用這個比喻 主人就稱讚這個管家聰明
[00:00:46.120 --> 00:00:51.820]  你憑良心說 你做主人 你的手下這樣做
[00:00:51.820 --> 00:00:54.520]  你會不會稱讚他?
[00:00:54.520 --> 00:00:58.060]  不會 開始越來越多人敢說不會
[00:00:58.060 --> 00:01:05.140]  耶穌用這個比喻 都沒有人說他不對
[00:01:05.140 --> 00:01:10.220]  為什麼我們讀完這麼不舒服呢?
[00:01:10.220 --> 00:01:12.320]  如果按照今天的標準來說
[00:01:12.320 --> 00:01:15.600]  這個管家你不單不會稱讚他
[00:01:15.600 --> 00:01:18.920]  你會立刻報警抓他 對不對?
[00:01:18.920 --> 00:01:19.760]  怎麼搞的?
[00:01:19.760 --> 00:01:27.400]  這樣來將主人的欠債 為了退休不擇手段去做
[00:01:27.400 --> 00:01:29.200]  是不是不合理?
[00:01:29.200 --> 00:01:32.920]  讀聖經有時候就會想到
[00:01:32.920 --> 00:01:34.720]  當耶穌講這個比喻的時候
[00:01:34.720 --> 00:01:38.720]  當時的門徒就沒有覺得有問題
[00:01:38.720 --> 00:01:41.960]  當時的人聽了之後都好像很明白
[00:01:41.960 --> 00:01:44.800]  但今天我們讀 我們覺得有問題
[00:01:44.800 --> 00:01:47.640]  並且我們覺得很不舒服
[00:01:47.640 --> 00:01:51.520]  我們雖然很相信耶穌講的東西很有道理
[00:01:51.520 --> 00:01:56.480]  但始終過不了我們的理智
[00:01:56.480 --> 00:02:01.160]  我們就明白 原來當時的人聽耶穌講這個比喻
[00:02:01.160 --> 00:02:03.680]  和我們今天聽 再看經文
[00:02:03.680 --> 00:02:08.480]  是一個很大的認知上的落差
[00:02:08.480 --> 00:02:12.040]  為什麼當時的人聽了之後覺得沒有問題呢?
[00:02:12.040 --> 00:02:13.640]  我們先看
[00:02:13.640 --> 00:02:18.280]  首先這個管家和主人之間所做的生意
[00:02:18.280 --> 00:02:20.720]  是一個很大的生意
[00:02:20.720 --> 00:02:24.760]  100劉油減50是2000公升
[00:02:24.760 --> 00:02:27.560]  大概是6萬加幣
[00:02:27.560 --> 00:02:32.720]  100石墨紙減了20 200
[00:02:32.720 --> 00:02:35.880]  也是差不多6萬加幣
[00:02:35.880 --> 00:02:42.760]  就是說他所拿走的加起來是12萬加幣
[00:02:42.760 --> 00:02:46.920]  是一個人三年的人工 多不多?
[00:02:46.920 --> 00:02:50.320]  很多的 所以這個是大生意來的
[00:02:50.320 --> 00:02:54.400]  並且這個管家是一個很本事的管家
[00:02:54.400 --> 00:02:56.680]  所以他管理這麼大的生意
[00:02:56.680 --> 00:03:02.800]  但問題就是他這樣將這個債項私下的減少
[00:03:02.800 --> 00:03:04.640]  有沒有不合法的地方
[00:03:04.640 --> 00:03:07.000]  還有為什麼當時的人聽到
[00:03:07.000 --> 00:03:10.360]  竟然沒有問題 而主人還讚他
[00:03:10.360 --> 00:03:13.400]  這個真是我們要去明白
[00:03:13.400 --> 00:03:18.160]  首先在當時的管家和主人的關係
[00:03:18.160 --> 00:03:20.000]  和今天可能有些不同
[00:03:20.000 --> 00:03:25.280]  那個關係就是管家是代表主人去出去找生意的
[00:03:25.280 --> 00:03:27.280]  而他能夠找到這麼大的生意
[00:03:27.280 --> 00:03:29.680]  這個管家相當本事
[00:03:29.680 --> 00:03:34.640]  當這個生意那些人拿了錢去做生意
[00:03:34.640 --> 00:03:38.720]  他要償還給主人有三份的錢
[00:03:38.720 --> 00:03:43.400]  第一份就是本金 第二份就是利息
[00:03:43.400 --> 00:03:48.360]  第三份就不是給主人 是給管家的佣金
[00:03:48.360 --> 00:03:51.640]  這個佣金是完全合法的
[00:03:51.640 --> 00:03:57.000]  聖經沒有說這個管家他退還那六萬元
[00:03:57.000 --> 00:04:00.520]  再六萬元裏面有多少是利息
[00:04:00.520 --> 00:04:02.760]  多少是佣金 聖經沒有說
[00:04:02.760 --> 00:04:07.360]  通常如果那個生意風險很高的
[00:04:07.360 --> 00:04:11.240]  佣金是高的 利息是低的
[00:04:11.240 --> 00:04:13.640]  如果是一個很普通的生意
[00:04:13.640 --> 00:04:18.040]  佣金是低的 利息是高的
[00:04:18.040 --> 00:04:19.960]  雖然聖經沒有這樣說
[00:04:19.960 --> 00:04:23.800]  但是我們相信這個管家
[00:04:23.800 --> 00:04:29.480]  他是將利息和佣金這部分的錢退還了
[00:04:29.480 --> 00:04:30.960]  所以是有不同的
[00:04:30.960 --> 00:04:34.280]  一個是一半 一個是20%
[00:04:34.280 --> 00:04:38.600]  裏面是包含了利息和佣金
[00:04:38.600 --> 00:04:43.840]  剛才我說佣金是歸管家的
[00:04:43.840 --> 00:04:47.280]  所以當管家將錢退還的時候
[00:04:47.280 --> 00:04:50.560]  這個管家有沒有損失呢 是有的
[00:04:50.560 --> 00:04:55.480]  因為他這個損失所導致他將來退休
[00:04:55.480 --> 00:04:56.760]  或者他沒有工作
[00:04:56.760 --> 00:04:58.840]  那些人是願意接待他
[00:04:58.840 --> 00:05:01.840]  因為他不是完全將主人的錢
[00:05:01.840 --> 00:05:05.440]  來任意的妨礙他人
[00:05:05.440 --> 00:05:08.240]  他是有損失的 他損失了佣金
[00:05:08.240 --> 00:05:11.880]  第二 利息
[00:05:11.880 --> 00:05:14.760]  利息他都退還了
[00:05:14.760 --> 00:05:17.440]  利息是給主人的
[00:05:17.440 --> 00:05:21.120]  但是主人沒有因為他退還利息而罵他
[00:05:21.120 --> 00:05:23.640]  反而讚他 為什麼呢
[00:05:23.640 --> 00:05:26.000]  因為主人不能罵他
[00:05:26.000 --> 00:05:27.720]  為什麼這樣說呢
[00:05:27.720 --> 00:05:34.440]  因為利息按照當時猶太人做生意的潛規矩
[00:05:34.440 --> 00:05:38.120]  因為聖經上是不可以收利息的
[00:05:38.120 --> 00:05:40.960]  但是如果不收利息就不用做生意
[00:05:40.960 --> 00:05:43.800]  潛規矩就是聖經是這樣教導
[00:05:43.800 --> 00:05:45.880]  我照樣收利息
[00:05:45.880 --> 00:05:49.200]  如果你要借錢
[00:05:49.200 --> 00:05:51.000]  你不給利息我就不借給你
[00:05:51.000 --> 00:05:52.320]  那就是沒有辦法
[00:05:52.320 --> 00:05:55.880]  所以他都要借錢 都要給利息
[00:05:55.880 --> 00:06:00.360]  但是現在這個管家將利息都退還
[00:06:00.360 --> 00:06:02.280]  主人可不可以罵他
[00:06:02.280 --> 00:06:03.400]  是不可以罵他
[00:06:03.400 --> 00:06:07.080]  因為他按照聖經來說
[00:06:07.080 --> 00:06:08.640]  當他按照聖經來說
[00:06:08.640 --> 00:06:10.560]  主人是氣得很大
[00:06:10.560 --> 00:06:11.880]  雖然裡面很生氣
[00:06:11.880 --> 00:06:13.960]  但是又不能罵他
[00:06:13.960 --> 00:06:17.400]  不過當他退還利息之後
[00:06:17.400 --> 00:06:19.160]  這個主人有沒有損失呢
[00:06:19.160 --> 00:06:24.520]  沒有 因為他在社區上得到一個很高的聲譽
[00:06:24.520 --> 00:06:26.880]  他連利息都不要
[00:06:26.880 --> 00:06:29.800]  完全遵從聖經
[00:06:29.800 --> 00:06:32.840]  主人最初是因為管家做得不好
[00:06:32.840 --> 00:06:36.080]  在社區上損失了聲譽
[00:06:36.080 --> 00:06:38.040]  現在當他退還利息之後
[00:06:38.040 --> 00:06:42.600]  主人是恢復在社區上的聲譽
[00:06:42.600 --> 00:06:44.800]  所以他損失了利息
[00:06:44.800 --> 00:06:46.200]  但是他得到聲譽
[00:06:46.200 --> 00:06:49.240]  他也沒有完全損失
[00:06:49.240 --> 00:06:50.520]  是交換了
[00:06:50.520 --> 00:06:54.080]  因此主人沒有罵他
[00:06:54.080 --> 00:06:56.160]  就說他聰明
[00:06:56.160 --> 00:06:57.560]  是為自己聰明
[00:06:57.560 --> 00:07:00.600]  耶穌就用這樣的例子說
