
[00:00:00.000 --> 00:00:08.000]  天地揭秘,到今天是最後的一個信息
[00:00:08.000 --> 00:00:16.000]  我說這個信息主要是要來鼓勵大興姐妹,讓大家知道天堂究竟是怎樣
[00:00:16.000 --> 00:00:20.000]  能夠在日常生活得到鼓勵
[00:00:20.000 --> 00:00:24.000]  但是最後仍然要說一個關於地獄的信息
[00:00:24.000 --> 00:00:29.000]  因為耶穌基督自己說地獄比說天堂多
[00:00:29.000 --> 00:00:33.000]  所以無論如何都要說一個地獄的信息
[00:00:33.000 --> 00:00:37.000]  我叫今天的信息做地獄無門理別闖進來
[00:00:37.000 --> 00:00:42.000]  很有趣,地獄不是為了人而設計
[00:00:42.000 --> 00:00:46.000]  人去到地獄是自己的揀選
[00:00:46.000 --> 00:00:50.000]  一會兒我會和大家回來看這一點
[00:00:50.000 --> 00:01:02.000]  在很久以前美國的調查數字,超過90%的美國人都相信有天堂和地獄
[00:01:02.000 --> 00:01:06.000]  而且相信有天堂和地獄的人差不多
[00:01:06.000 --> 00:01:10.000]  90%
[00:01:10.000 --> 00:01:14.000]  但是在5年前又做了一個調查
[00:01:14.000 --> 00:01:19.000]  根據這個調查只有72%的人相信有天堂
[00:01:19.000 --> 00:01:24.000]  而只有58%的人相信有地獄
[00:01:24.000 --> 00:01:30.000]  我們看到相信有地獄的人比相信有天堂的人少很多
[00:01:30.000 --> 00:01:36.000]  而只有1%的人相信自己會去到地獄
[00:01:36.000 --> 00:01:40.000]  不單相信地獄的存在的人越來越少
[00:01:40.000 --> 00:01:45.000]  相信地獄真實性的人也越來越少
[00:01:45.000 --> 00:01:52.000]  我們一起看看為什麼這麼多人不相信有地獄的存在
[00:01:52.000 --> 00:01:55.000]  可以歸納三點
[00:01:55.000 --> 00:01:58.000]  第一點就是逃避現實
[00:01:58.000 --> 00:02:03.000]  因為聖經告訴我們,地獄是一個這麼恐怖的地方
[00:02:03.000 --> 00:02:07.000]  很多人都拒絕去相信有地獄
[00:02:07.000 --> 00:02:13.000]  當然也有很多的無神論者,他們是不相信有地獄的存在
[00:02:13.000 --> 00:02:18.000]  就算接受耶穌基督信神的人
[00:02:18.000 --> 00:02:26.000]  也有很多人說,一位愛人的神怎麼可能把人打到地獄里
[00:02:26.000 --> 00:02:32.000]  所以很多接受耶穌基督信神的人也不相信有地獄
[00:02:32.000 --> 00:02:37.000]  但無論你接受也好,你不接受也好
[00:02:37.000 --> 00:02:40.000]  地獄是真實的,地獄是存在的
[00:02:40.000 --> 00:02:46.000]  你不相信有地獄,很多人就像玩火一樣
[00:02:46.000 --> 00:02:48.000]  玩火是很危險的
[00:02:48.000 --> 00:02:52.000]  你說,我不會被火燒了,我繼續玩火
[00:02:52.000 --> 00:02:57.000]  你可以繼續你的生活,沒有照跳馬照跑
[00:02:57.000 --> 00:03:02.000]  但是你發覺有一天你會面對地獄的審判
[00:03:02.000 --> 00:03:09.000]  我們逃避現實,不等於我們可以改變現實
[00:03:09.000 --> 00:03:15.000]  我們不相信地獄的存在,不等於沒有了地獄這回事
[00:03:15.000 --> 00:03:17.000]  地獄是真實的
[00:03:17.000 --> 00:03:22.000]  所以我們見到第一點,為什麼越來越少人相信地獄
[00:03:22.000 --> 00:03:24.000]  就是他們逃避現實
[00:03:24.000 --> 00:03:28.000]  第二個原因就是政治的正確
[00:03:28.000 --> 00:03:31.000]  英文是politically correct
[00:03:31.000 --> 00:03:36.000]  我們知道這個不是一個很好的翻譯,這是直接的翻譯
[00:03:36.000 --> 00:03:41.000]  政治正確是什麼意思才可以的,和政治無關
[00:03:41.000 --> 00:03:45.000]  這樣說人家politically incorrect
[00:03:45.000 --> 00:03:50.000]  就是說你說出來的話是有偏見的,歧視人的
[00:03:50.000 --> 00:03:56.000]  你說出來的話是傷害人的感受,不合聽
[00:03:56.000 --> 00:03:58.000]  你就最好不要說了
[00:03:58.000 --> 00:04:02.000]  無論你說的是事實或者真理
[00:04:02.000 --> 00:04:08.000]  只要人家認為你是偏見歧視人,不合聽,你就最好不要說了
[00:04:08.000 --> 00:04:13.000]  地獄被很多人認為是審判人的話
[00:04:13.000 --> 00:04:19.000]  所以沒有人喜歡聽地獄的審判,沒有人喜歡聽這些信息
[00:04:19.000 --> 00:04:27.000]  而搞到教會很多牧師傳道人都不敢說地獄
[00:04:27.000 --> 00:04:31.000]  這個就帶我們去到第三點
[00:04:31.000 --> 00:04:33.000]  就是逃避責任
[00:04:33.000 --> 00:04:37.000]  有很多教會牧師都是逃避責任
[00:04:37.000 --> 00:04:42.000]  因為人家不喜歡聽地獄的信息,不喜歡聽審判的信息
[00:04:42.000 --> 00:04:44.000]  他們就不去說
[00:04:44.000 --> 00:04:49.000]  在1985年,有一個叫Martin Marty的人
[00:04:49.000 --> 00:04:53.000]  在哈佛大學寫了一篇論文
[00:04:53.000 --> 00:05:00.000]  這篇論文的題目是"地獄不見了,竟沒有人注意到"
[00:05:00.000 --> 00:05:03.000]  "地獄不見了,竟沒有人注意到"
[00:05:03.000 --> 00:05:06.000]  他是挑戰福音派的領袖
