
[00:00:00.000 --> 00:00:07.000]  話說有一個人叫做Larry Stewart
[00:00:07.000 --> 00:00:08.440]  我們叫他Larry
[00:00:08.440 --> 00:00:12.600]  Larry在我們的故事開始的時候
[00:00:12.600 --> 00:00:14.200]  他失業了
[00:00:14.200 --> 00:00:16.000]  失業在美國
[00:00:16.000 --> 00:00:19.600]  他失業了之後連房子都沒有了
[00:00:19.600 --> 00:00:23.200]  他就住在唐車那裡
[00:00:23.200 --> 00:00:26.200]  我知道香港人覺得很奇怪
[00:00:26.200 --> 00:00:28.000]  失業了還有唐車
[00:00:28.000 --> 00:00:29.800]  在美國實在很少見
[00:00:29.800 --> 00:00:32.400]  他就住在唐車那裡
[00:00:32.400 --> 00:00:36.600]  早上他起來就覺得很餓
[00:00:36.600 --> 00:00:41.600]  他就去一間餐館叫東西吃
[00:00:41.600 --> 00:00:42.800]  他就這樣想的
[00:00:42.800 --> 00:00:44.000]  他的主意就是
[00:00:44.000 --> 00:00:45.600]  付錢的那一刻
[00:00:45.600 --> 00:00:46.600]  他就說對不起
[00:00:46.600 --> 00:00:48.800]  我忘記帶我的錢包
[00:00:48.800 --> 00:00:50.800]  或者到處找錢包
[00:00:50.800 --> 00:00:55.600]  他就叫了一個很大的早餐
[00:00:55.600 --> 00:00:58.600]  吃完之後他真的就這樣做
[00:00:58.600 --> 00:01:02.200]  對不起 我忘記帶錢包
[00:01:02.200 --> 00:01:04.800]  店主人看到他這樣的時候
[00:01:04.800 --> 00:01:06.200]  就走到那裡
[00:01:06.200 --> 00:01:09.200]  一下蹲下就從地上撿了一些東西
[00:01:09.200 --> 00:01:12.800]  跟著說Sara你好像掉了20元
[00:01:12.800 --> 00:01:14.200]  給你20元
[00:01:14.200 --> 00:01:19.400]  他就用那20元給了他那頓飯的錢
[00:01:19.400 --> 00:01:22.400]  Larry就決定
[00:01:22.400 --> 00:01:24.600]  如果第二天我有機會
[00:01:24.600 --> 00:01:28.000]  我一定會幫別人有需要的人
[00:01:28.000 --> 00:01:30.600]  他就去了另一個城市
[00:01:30.600 --> 00:01:33.200]  叫做Kansas City
[00:01:33.200 --> 00:01:37.200]  他做生意真的讓他賺到錢
[00:01:37.200 --> 00:01:42.200]  他沒有忘記自己的願
[00:01:42.200 --> 00:01:43.200]  他怎麼做呢
[00:01:43.200 --> 00:01:46.600]  每個聖誕節他就去那些地方
[00:01:46.600 --> 00:01:50.200]  他覺得會有些窮人
[00:01:50.200 --> 00:01:52.200]  或者需要人的地方
[00:01:52.200 --> 00:01:56.200]  他就很安靜地去幫他們
[00:01:56.200 --> 00:01:58.200]  他叫自己做什麼呢
[00:01:58.200 --> 00:01:59.200]  Secret Santa
[00:01:59.200 --> 00:02:01.200]  大家看過沒有
[00:02:01.200 --> 00:02:03.200]  秘密的聖誕老人
[00:02:03.200 --> 00:02:05.200]  他有一個條件
[00:02:05.200 --> 00:02:06.200]  就是去幫那些人
[00:02:06.200 --> 00:02:07.200]  他就跟他們說
[00:02:07.200 --> 00:02:11.200]  如果你有機會你就幫別人
[00:02:11.200 --> 00:02:13.200]  他就做了很多年
[00:02:13.200 --> 00:02:18.200]  他在2006年離世
[00:02:18.200 --> 00:02:20.200]  離世那一刻
[00:02:20.200 --> 00:02:23.200]  你猜他給過多少錢給別人
[00:02:23.200 --> 00:02:26.200]  原來是130萬美金
[00:02:26.200 --> 00:02:29.200]  一直給他
[00:02:29.200 --> 00:02:31.200]  到他去世那一天
[00:02:31.200 --> 00:02:35.200]  他就給了130萬美金
[00:02:35.200 --> 00:02:37.200]  他去世之前
[00:02:37.200 --> 00:02:38.200]  他有個朋友在那
[00:02:38.200 --> 00:02:39.200]  跟他朋友聊天
[00:02:39.200 --> 00:02:41.200]  他就跟他朋友說了這件事
[00:02:41.200 --> 00:02:44.200]  他的朋友就很感動
[00:02:44.200 --> 00:02:46.200]  所以他朋友就拿了
[00:02:46.200 --> 00:02:48.200]  這個Secret Santa
[00:02:48.200 --> 00:02:50.200]  這個概念
[00:02:50.200 --> 00:02:52.200]  他自己去做
[00:02:52.200 --> 00:02:54.200]  所以一直做就越來越多
[00:02:54.200 --> 00:02:56.200]  這些秘密聖誕老人
[00:02:56.200 --> 00:02:59.200]  現在如果你上網站
[00:02:59.200 --> 00:03:02.200]  實在有個叫Secret Santa USA.com
[00:03:02.200 --> 00:03:04.200]  是說這件事的
[00:03:04.200 --> 00:03:06.200]  所以你可能聽過
