
[00:00:00.000 --> 00:00:05.500]  各位大宣傳媒各位朋友你們好
[00:00:05.500 --> 00:00:08.220]  歡迎大家參與我們三藩市報道會
[00:00:08.220 --> 00:00:10.420]  網上的五堂十拜
[00:00:10.420 --> 00:00:15.060]  今天我們繼續思想論盡人生這個系列
[00:00:15.060 --> 00:00:18.900]  我們來到第33講題目叫做
[00:00:18.900 --> 00:00:22.160]  恰而不一 一而不合
[00:00:22.160 --> 00:00:28.360]  經文是記載在創世紀第十一章一節至九節
[00:00:28.360 --> 00:00:31.300]  未開始思想這段聖經之前
[00:00:31.300 --> 00:00:34.980]  儘量同心低頭或同禱告
[00:00:34.980 --> 00:00:37.060]  慈悲人的天父
[00:00:37.060 --> 00:00:40.640]  我們見到在整個世界的局勢
[00:00:40.640 --> 00:00:45.780]  好像是四分五裂 亂七八糟
[00:00:45.780 --> 00:00:50.780]  這裏又有仗打 那裏又有爭執
[00:00:50.780 --> 00:00:57.180]  家庭也有很多暴力和紛爭的問題
[00:00:57.180 --> 00:01:04.560]  甚至在教會里合一很多時候成爲我們的口號
[00:01:04.560 --> 00:01:10.100]  我們不是真的活出耶穌基督吩咐我們
[00:01:10.100 --> 00:01:13.920]  在基督裏有合一的心
[00:01:13.920 --> 00:01:16.100]  求禰赦免我們的罪
[00:01:16.100 --> 00:01:18.860]  求禰饒恕我們的過犯
[00:01:18.860 --> 00:01:22.100]  今天我們在聖經裏面看看
[00:01:22.100 --> 00:01:24.700]  你怎麼看合一的問題
[00:01:24.700 --> 00:01:30.860]  求禰看顧我們 改變我們 安慰我們
[00:01:30.860 --> 00:01:35.660]  直接用話語去提醒 勸勉教徒安慰督寨
[00:01:35.660 --> 00:01:38.220]  以致我們的生命可以有改變
[00:01:38.220 --> 00:01:43.660]  我們這麼禱告納系奉耶穌基督 阿們
[00:01:43.660 --> 00:01:49.060]  英國作家克斯裏寫過一本非常正經的小說
[00:01:49.060 --> 00:01:51.060]  叫做Brave New World
[00:01:51.060 --> 00:01:53.060]  話說很多年之後
[00:01:53.060 --> 00:01:57.540]  英國倫敦是一個非常發達、先進和太平的國家
[00:01:57.540 --> 00:02:01.120]  它自覺知道有三方面
[00:02:01.120 --> 00:02:03.120]  第一是穩定(stability)
[00:02:03.120 --> 00:02:05.860]  第二是社羣(community)
[00:02:05.860 --> 00:02:08.340]  第三是身份(identity)
[00:02:08.340 --> 00:02:14.440]  爲了要將三個自覺知道具體應用在新世界的政制上
[00:02:14.440 --> 00:02:16.440]  他們透過科技
[00:02:16.440 --> 00:02:19.060]  所有人都是從工廠製造出來的
[00:02:19.060 --> 00:02:21.640]  而不是從媽媽的肚子裏生出來的
[00:02:21.640 --> 00:02:26.260]  既無生育、家庭和婚姻也沒有這個必要
[00:02:26.260 --> 00:02:32.460]  一切因家庭和婚姻而帶來的問題和矛盾也都避開了
[00:02:32.460 --> 00:02:34.460]  既無婚姻制度
[00:02:34.460 --> 00:02:38.980]  這個新世界的人對性的觀念也很開放
[00:02:38.980 --> 00:02:41.980]  男女關係只是逢場作戲
[00:02:41.980 --> 00:02:43.980]  沒有任何毀身的必要
[00:02:43.980 --> 00:02:46.700]  因爲人是從試管大量生產
[00:02:46.700 --> 00:02:50.780]  所以人的智商、樣貌、身材都可以控制
[00:02:50.780 --> 00:02:53.980]  他們的樣貌和智商都是一模一樣
[00:02:53.980 --> 00:02:56.600]  完全是identical(相同)的
[00:02:56.600 --> 00:03:00.480]  如此就可以減少因爲競爭而帶來的衝突
[00:03:00.480 --> 00:03:03.820]  而個人主義的觀念也都完全抹殺了
[00:03:03.820 --> 00:03:07.220]  既無個人就只有社羣(community)
[00:03:07.220 --> 00:03:10.260]  在這個世界裏就容易管理得多
[00:03:10.260 --> 00:03:12.260]  但是如果人人都平等
[00:03:12.260 --> 00:03:15.020]  一樣無分尊卑、無分高下
[00:03:15.020 --> 00:03:18.180]  這樣的社會很難生存的
[00:03:18.180 --> 00:03:22.020]  因爲沒有等級的order就沒有秩序了
[00:03:22.020 --> 00:03:25.020]  所以沒有order就沒有order了
[00:03:25.020 --> 00:03:27.780]  所以在製造胎兒的過程裏
[00:03:27.780 --> 00:03:33.060]  利用生物科技將人們分爲A、B、C、D四類
[00:03:33.060 --> 00:03:35.860]  屬A級的是最優秀的一羣
[00:03:35.860 --> 00:03:39.540]  凡屬A類都是一樣聰明、一樣漂亮
[00:03:39.540 --> 00:03:41.540]  B類就是次之
[00:03:41.540 --> 00:03:44.580]  再下一級就是C,最低級就是D
[00:03:44.580 --> 00:03:47.620]  爲了維繫這些等級制度
[00:03:47.620 --> 00:03:51.660]  這些人們從小就要接受所謂的sleep teaching
[00:03:51.660 --> 00:03:53.660]  就是我們今天所說的洗腦
[00:03:53.660 --> 00:03:57.460]  至少要接受這套等級制度
[00:03:57.460 --> 00:03:59.460]  不敢違抗
[00:03:59.460 --> 00:04:01.460]  或者有些下等人士
[00:04:01.460 --> 00:04:05.580]  屢受上級虐待而導致情緒不穩的時候
[00:04:05.580 --> 00:04:08.940]  政府就提供一些叫SOMA給他們服用
[00:04:08.940 --> 00:04:12.820]  這些SOMA就好像今天那些LSD之類的毒品
[00:04:12.820 --> 00:04:16.180]  喫了之後就忘記一切煩惱和痛苦
[00:04:16.180 --> 00:04:20.060]  同時也可以繼續安於低下層的位置
[00:04:20.060 --> 00:04:24.580]  並且幫助這個國家擔負一些低微和卑賤的工作
[00:04:24.580 --> 00:04:28.860]  這個政府就是依賴這種嚴密操控的管制模式
[00:04:28.860 --> 00:04:30.860]  來穩定整個社會
[00:04:30.860 --> 00:04:33.180]  所以在這個新世界裏面
[00:04:33.180 --> 00:04:40.060]  沒有打仗、沒有爭執、沒有示威、沒有流淚、沒有痛苦
[00:04:40.060 --> 00:04:46.340]  整個社會完全操縱在一個所謂首長的獨裁者的手中
[00:04:46.340 --> 00:04:49.540]  故事講到一個屬A級的人士
[00:04:49.540 --> 00:04:53.820]  帶着女朋友來到未開化的墨西哥旅行
[00:04:53.820 --> 00:04:56.580]  誰知道迷失了路
[00:04:56.580 --> 00:04:58.580]  男的更加意外身亡
[00:04:58.580 --> 00:05:03.260]  剩下女朋友被墨西哥人救起
[00:05:03.260 --> 00:05:06.620]  他發覺因爲沒有帶避孕丸
[00:05:06.620 --> 00:05:10.940]  竟然身懷六甲 最後誕生了一個男孩子
[00:05:10.940 --> 00:05:14.140]  母子二人流落在墨西哥國內
[00:05:14.140 --> 00:05:16.140]  由於他對性的開放
[00:05:16.140 --> 00:05:18.740]  當地人就當他是妓女
[00:05:18.740 --> 00:05:21.100]  是一個被社會遺棄的人
[00:05:21.100 --> 00:05:25.660]  而他的兒子就在一個這麼傳統道德觀念的社會里長大
[00:05:25.660 --> 00:05:28.140]  長期被輕悍和壓迫
[00:05:28.140 --> 00:05:34.340]  他唯一的安慰就是聽他媽媽講倫敦是一個多先進、多幸福的樂土
[00:05:34.340 --> 00:05:40.420]  所以他朝思暮想都希望回到倫敦這個文明的世界
[00:05:40.420 --> 00:05:44.420]  過着一些靜靜息息、平安的日子
[00:05:44.420 --> 00:05:46.900]  果然王天不負有心人
[00:05:46.900 --> 00:05:49.700]  他終於被文明的倫敦政府發覺
[00:05:49.700 --> 00:05:54.500]  這個名叫約翰的年輕人就和他媽媽一起回到倫敦
[00:05:54.500 --> 00:05:56.500]  回到倫敦之後
[00:05:56.500 --> 00:05:59.700]  發覺整個社會真的非常先進
[00:05:59.700 --> 00:06:04.220]  井井有條、有紀律、毫無爭執
[00:06:04.220 --> 00:06:09.820]  但沒多久他發覺社會有幾種等級和對下級的人欺壓的情況
[00:06:09.820 --> 00:06:14.060]  他在墨西哥長大的時候曾經有機會讀過聖經
[00:06:14.060 --> 00:06:15.500]  在我聖經裏所講
[00:06:15.500 --> 00:06:17.500]  人是神形象所造的
[00:06:17.500 --> 00:06:21.900]  在神的眼中人人平等享有同等的權利和尊嚴
[00:06:21.900 --> 00:06:26.300]  但在眼前卻是一個不平等和剝削的社會
[00:06:26.300 --> 00:06:29.660]  他看到D級的人被欺負、看不過眼
[00:06:29.660 --> 00:06:34.540]  有一天當他見到D級的奴隸排隊去領取蘇瑪的時候
