
[00:00:00.000 --> 00:00:04.360]  各位新年快樂
[00:00:04.360 --> 00:00:09.480]  好像還未讀完
[00:00:09.480 --> 00:00:14.340]  43應該讀到49節
[00:00:14.340 --> 00:00:16.380]  我寫漏了
[00:00:16.380 --> 00:00:19.960]  所以讀完後面的幾節
[00:00:19.960 --> 00:00:21.760]  因為後面的幾節都很精彩
[00:00:21.760 --> 00:00:26.360]  44至49節
[00:00:26.360 --> 00:00:28.680]  那時若有五正
[00:00:29.180 --> 00:00:31.220]  遍地都黑暗了直到身錯
[00:00:31.220 --> 00:00:32.760]  一頭變黑了
[00:00:32.760 --> 00:00:35.840]  見女的萬子從當中列為兩半
[00:00:35.840 --> 00:00:38.140]  耶穌大聲喊著說父啊
[00:00:38.140 --> 00:00:40.200]  我將我的靈魂交在你手裡
[00:00:40.200 --> 00:00:41.980]  說了者話氣就斷了
[00:00:41.980 --> 00:00:44.280]  白膚長看見所成的事
[00:00:44.280 --> 00:00:46.080]  就歸榮耀於神說
[00:00:46.080 --> 00:00:47.360]  這真是個異人
[00:00:47.360 --> 00:00:48.900]  聚集觀看的人
[00:00:48.900 --> 00:00:52.220]  的眾人見了所成的事
[00:00:52.220 --> 00:00:54.020]  就隨著空回去了
[00:00:54.020 --> 00:00:56.320]  還有一切與耶穌熟悉的人
[00:00:56.580 --> 00:00:59.140]  我從加利利跟著他來的婦女們
[00:00:59.140 --> 00:01:00.920]  都遠遠的站著
[00:01:00.920 --> 00:01:02.460]  看這些事
[00:01:02.460 --> 00:01:04.760]  將我同心我同祈禱
[00:01:04.760 --> 00:01:10.920]  天父我們再次感謝你給你寶貴話語作為我們生命的指引求你藉著你的話語提醒
[00:01:10.920 --> 00:01:12.460]  勸勉教導
[00:01:12.460 --> 00:01:13.480]  督責
[00:01:13.480 --> 00:01:14.240]  改變我們
[00:01:14.240 --> 00:01:16.040]  奉耶穌基督命教
[00:01:16.040 --> 00:01:16.800]  阿門
[00:01:16.800 --> 00:01:24.480]  1998年著名的美國導演Steven Spielberg拍了一套非常出色的電影
[00:01:24.740 --> 00:01:27.800]  叫Saving Private Ryan 我想問有多少人看過這套電影
[00:01:27.800 --> 00:01:30.120]  Saving Private Ryan
[00:01:30.120 --> 00:01:32.680]  沒有看過值得回去再看
[00:01:32.680 --> 00:01:37.800]  這套電影表面上是講一些好血腥
[00:01:37.800 --> 00:01:39.340]  殘酷的戰爭片
[00:01:39.340 --> 00:01:42.660]  但骨主裏面是討論一個非常嚴肅的問題
[00:01:42.660 --> 00:01:44.200]  就是人生的意義
[00:01:44.200 --> 00:01:48.300]  故事開始的時候1944年6月6日的D-Day
[00:01:48.300 --> 00:01:51.360]  美國的部隊在奧馬哈比特登陸
[00:01:51.360 --> 00:01:52.900]  進攻德國
[00:01:53.420 --> 00:01:55.720]  遇到德軍頑強的抵抗
[00:01:55.720 --> 00:01:58.280]  最終他們仍然是成功登陸
[00:01:58.280 --> 00:02:01.100]  但是損失就非常慘重
[00:02:01.100 --> 00:02:03.140]  登陸了三天之後
[00:02:03.140 --> 00:02:08.000]  其中一個帶領部隊去登陸的叫Captain Miller
[00:02:08.000 --> 00:02:10.320]  收到一個特別的
[00:02:10.320 --> 00:02:11.600]  使命
[00:02:11.600 --> 00:02:15.440]  是要他帶領七個的部隊七個的士兵
[00:02:15.440 --> 00:02:18.000]  深入這個德軍的陣地
[00:02:18.000 --> 00:02:20.560]  去尋找一個美國的散兵
[00:02:20.560 --> 00:02:21.840]  James Ryan
[00:02:21.840 --> 00:02:23.380]  為什麼呢
[00:02:23.580 --> 00:02:27.940]  原來當時美國最高的統帥General George Marshall
[00:02:27.940 --> 00:02:29.220]  去獲得通知
[00:02:29.220 --> 00:02:32.540]  美國一個寡婦有四個兒子
