
[00:00:00.000 --> 00:00:06.400]  今晚我們一個小時內要探討很多事情
[00:00:06.400 --> 00:00:07.920]  有四個方面
[00:00:07.920 --> 00:00:11.200]  第一個方面第一晚我們有說
[00:00:11.200 --> 00:00:16.000]  摩西的一生是被神所用
[00:00:16.000 --> 00:00:23.040]  他也是忠心耿耿地造成神要他做成的工作
[00:00:23.040 --> 00:00:26.240]  但是似乎他的結局不是很好
[00:00:26.240 --> 00:00:30.080]  我們也會為他打抱不平
[00:00:30.080 --> 00:00:32.640]  為什麼神會對他這麼嚴厲呢
[00:00:32.640 --> 00:00:35.840]  他的一生到底是成功還是失敗呢
[00:00:35.840 --> 00:00:38.800]  還有他有沒有進入迦南呢
[00:00:38.800 --> 00:00:43.040]  我們明天會去約旦河
[00:00:43.040 --> 00:00:47.520]  我也要提一提施洗約翰
[00:00:47.520 --> 00:00:51.600]  施洗約翰的下場也是相當悲慘的
[00:00:51.600 --> 00:00:55.360]  他到最後連生命也失去
[00:00:55.360 --> 00:00:58.160]  我們也要問同樣的問題
[00:00:58.160 --> 00:01:00.160]  為什麼神這麼嚴厲
[00:01:00.160 --> 00:01:03.920]  這麼無情對他這麼忠心的僕人呢
[00:01:03.920 --> 00:01:08.640]  摩西和施洗約翰的一生可不可以叫做失敗呢
[00:01:08.640 --> 00:01:09.920]  一會兒我們要來看
[00:01:09.920 --> 00:01:12.560]  用四分一的時間來看這件事
[00:01:12.560 --> 00:01:17.920]  第二方面我們現在在以色列的北部
[00:01:17.920 --> 00:01:20.160]  明天我們就向南走
[00:01:20.160 --> 00:01:22.960]  我們會經過中部撒瑪利亞地
[00:01:22.960 --> 00:01:27.600]  明天晚上我們就會去南邊
[00:01:27.600 --> 00:01:29.040]  就是耶路撒冷
[00:01:29.040 --> 00:01:31.680]  所以我也想再提一提
[00:01:31.680 --> 00:01:36.000]  我們北邊到底有什麼歷史背景
[00:01:36.000 --> 00:01:40.560]  讓我們看到耶穌基督在北邊長大
[00:01:40.560 --> 00:01:42.320]  有什麼重要
[00:01:42.320 --> 00:01:45.760]  讓我們看到神的屬性是怎麼樣
[00:01:45.760 --> 00:01:50.480]  第三方面我們今天去到蓋薩尼亞菲勒比
[00:01:50.480 --> 00:01:54.480]  在上面兩位導遊也幫我們讀了
[00:01:54.480 --> 00:01:56.480]  馬太福音第十六章
[00:01:56.480 --> 00:02:00.480]  但是在這一章的經節
[00:02:00.480 --> 00:02:04.080]  是有講到主耶穌和彼得說
[00:02:04.080 --> 00:02:08.160]  說我要將我的教會建在盤石上面
[00:02:08.160 --> 00:02:12.720]  我知道兩位導遊說的也有些不同
[00:02:12.720 --> 00:02:15.200]  所以一會兒我們會提一提
[00:02:15.200 --> 00:02:20.560]  到底耶穌基督指的盤石是指誰呢?
[00:02:20.560 --> 00:02:24.800]  到底是指彼得還是指他自己呢?
[00:02:24.800 --> 00:02:28.000]  這是一個不容易的問題
[00:02:28.000 --> 00:02:29.040]  一會兒我們會提一提
[00:02:29.040 --> 00:02:34.560]  最後我們沒有去彼得受職堂
