
[00:00:00.000 --> 00:00:06.600]  早晨,祝大家聖誕快樂
[00:00:06.600 --> 00:00:11.040]  我們今天繼續思想傳道書的信息
[00:00:11.040 --> 00:00:16.680]  生之謎,人生真的有很多東西我們不明白
[00:00:16.680 --> 00:00:21.560]  怎樣查究好像,剛才傳道書說怎樣查究都是不知道
[00:00:21.560 --> 00:00:28.520]  究竟人生有什麼迷惘的地方,今天我們要思想的題目
[00:00:28.520 --> 00:00:31.000]  請我們同心,我們一起祈禱
[00:00:31.000 --> 00:00:35.120]  天王再次多謝你,給你寶貴華語作為我們生命的指引
[00:00:35.120 --> 00:00:39.840]  求聖靈去引導我們,明白你意我們明白的
[00:00:39.840 --> 00:00:43.840]  要接受我們有些東西我們真的根本不知道
[00:00:43.840 --> 00:00:48.280]  求你叫我們能夠有一個敬畏的心,祝福我們
[00:00:48.280 --> 00:00:53.560]  向我們每個人講你所說的話,奉耶穌基督命求
[00:00:53.560 --> 00:00:56.160]  我們還沒看這個傳道書信息的時候
[00:00:56.160 --> 00:01:02.600]  我就想講一個真實的故事,和大家分享一下
[00:01:02.600 --> 00:01:07.840]  一個年輕美貌,受過高深教育的女孩子
[00:01:07.840 --> 00:01:14.520]  有一天就和她媽媽說,她說媽媽,我喜歡做一個男孩
[00:01:14.520 --> 00:01:17.640]  我們準備結婚
[00:01:17.640 --> 00:01:20.640]  這個媽媽是認識這個男孩的
[00:01:20.640 --> 00:01:25.800]  她就很嚴肅的,又很擔心的,和她女兒說
[00:01:25.800 --> 00:01:31.200]  乖女兒,我絕對不贊成這一頭的婚事
[00:01:31.200 --> 00:01:34.760]  因為我知道如果你們結婚之後,你們不會有幸福
[00:01:34.760 --> 00:01:38.200]  很快就會離婚
[00:01:38.200 --> 00:01:41.640]  如果你真的要嫁他的時候,請你考慮清楚
[00:01:41.640 --> 00:01:46.640]  你要付出的什麼代價
[00:01:46.640 --> 00:01:54.720]  你們會坐牢,你生的孩子會自殺
[00:01:54.720 --> 00:02:02.840]  我有很強烈的感覺,你不會開心
[00:02:02.840 --> 00:02:10.920]  但是,如果你要她這樣做,我也沒辦法,願上帝祝福你們
[00:02:10.920 --> 00:02:17.800]  這個女孩沒有聽她媽媽說,一意孤行,就嫁給了這個男子
[00:02:17.800 --> 00:02:21.920]  你聽過這個故事,你一定以為這個男孩,肯定是大奸大惡
[00:02:21.920 --> 00:02:25.640]  唯非作歹,一個華人
[00:02:25.640 --> 00:02:29.760]  如果你這樣做,你這樣想,你是大錯特錯
[00:02:29.760 --> 00:02:36.400]  這個男孩就是中國頂頂大名的翻譯家,文學家,楊憲益
[00:02:36.400 --> 00:02:43.440]  這個女孩,我剛才所說的年輕美貌,又受過高深教育的女孩
[00:02:43.440 --> 00:02:49.200]  叫大奶蝶,是一個英國人,英文名叫Gladys Margaret Taylor
[00:02:49.200 --> 00:02:53.320]  她爸爸媽媽是來中國的傳教士
[00:02:53.320 --> 00:02:57.280]  他們很有學問,就在北京大學做教授
[00:02:57.280 --> 00:03:02.600]  Gladys媽媽的意言,真是不幸而重之
[00:03:02.600 --> 00:03:05.440]  但是他們沒有離婚
[00:03:05.440 --> 00:03:11.600]  他們在很長的時間,來中國,在中國的監獄裏面
[00:03:11.600 --> 00:03:16.600]  但是,不是同一個監獄,彼此不得見面
[00:03:16.600 --> 00:03:19.920]  當他們出獄的時候,她媽媽就發覺
[00:03:19.920 --> 00:03:23.720]  她兒子真是自焚而死,自殺死
[00:03:23.720 --> 00:03:29.920]  很不幸,她媽媽所說的意言,全部都中殺
[00:03:29.920 --> 00:03:34.200]  他們夫婦,楊憲益兩夫婦
[00:03:34.200 --> 00:03:41.840]  研究中國文學,研究中國翻譯的人,一定會認識他們的名字
[00:03:41.840 --> 00:03:47.760]  他們在文學和翻譯學裏面,對中國是一個極大的貢獻
[00:03:47.760 --> 00:03:51.920]  可以說是前無古人,後無來者
[00:03:51.920 --> 00:03:58.760]  他們夫婦兩人合作,是將不少中國著名的文學作品,翻譯成英文
[00:03:58.760 --> 00:04:04.400]  包括,屈原的《離蘇》,楚原,司馬遷的《史記》
[00:04:04.400 --> 00:04:09.520]  《紅樓夢》,《長生電》,《御林外史》,《百無女》,《附用鎮》
[00:04:09.520 --> 00:04:14.000]  《水滸傳》,《老殘遊記》,《老信選擇》
[00:04:14.000 --> 00:04:18.800]  你想想,只要你翻譯《離蘇》,我們看都看不明白
[00:04:18.800 --> 00:04:24.960]  竟然之間,是可以將它翻譯成英文
